entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-10-14,2024-10-11,15,"MAZDOCK,BANDHANBNK,RECLTD,GRSE,TARIL,LAURUSLABS,CEMPRO,BDL,JWL,SWANCORP,FACT,DATAPATTNS,MEDANTA,NAM-INDIA,OLECTRA",20.35684687246849,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2024-10-15,2024-10-14,15,"RECLTD,MAZDOCK,BANDHANBNK,FACT,GRSE,CEMPRO,TARIL,BDL,SWANCORP,NAM-INDIA,JWL,LAURUSLABS,IRCON,OLECTRA,VIJAYA",18.786681416641464,"{""continuation"": 8, ""fresh_breakout"": 1, ""pullback_reversal"": 6}"
2024-10-16,2024-10-15,15,"AEGISLOG,RECLTD,MAZDOCK,BEML,BANDHANBNK,FACT,TARIL,GRSE,CEMPRO,ABREL,PAYTM,BDL,SWANCORP,JWL,LAURUSLABS",19.10148833855251,"{""continuation"": 10, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 3}"
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,TARIL,CEMPRO,ABREL,GRSE,BDL,SWANCORP,NAM-INDIA,JWL,VIJAYA",17.627032912148124,"{""continuation"": 11, ""fresh_breakout"": 1, ""pullback_reversal"": 3}"
2024-10-18,2024-10-17,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,BANDHANBNK,FACT,CEMPRO,TARIL,BDL,GRSE,ABREL,SWANCORP,LAURUSLABS,JWL",17.65083941232152,"{""continuation"": 10, ""pullback_reversal"": 4, ""recovery"": 1}"
2024-10-21,2024-10-18,15,"BEML,AEGISLOG,TITAGARH,MAZDOCK,RECLTD,FIVESTAR,BANDHANBNK,FACT,CEMPRO,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP,ABREL",17.58368304916355,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}"
2024-10-22,2024-10-21,15,"BEML,TITAGARH,HINDPETRO,AEGISLOG,RECLTD,MAZDOCK,BANDHANBNK,FACT,CEMPRO,FIVESTAR,TARIL,GRSE,BDL,ANANDRATHI,SWANCORP",17.298849486034733,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}"
2024-10-23,2024-10-22,15,"CUB,SONACOMS,BEML,COFORGE,DEEPAKFERT,TITAGARH,MAZDOCK,RECLTD,HINDPETRO,BANDHANBNK,CEMPRO,PERSISTENT,FACT,TARIL,AEGISLOG",17.06032590699076,"{""continuation"": 6, ""pullback_reversal"": 8, ""recovery"": 1}"
2024-10-24,2024-10-23,15,"COFORGE,SONACOMS,CUB,PERSISTENT,RPOWER,BEML,RECLTD,MAZDOCK,CEMPRO,HINDPETRO,FACT,ZENSARTECH,BANDHANBNK,TITAGARH,GRSE",16.29747963966583,"{""continuation"": 7, ""fresh_breakout"": 1, ""pullback_reversal"": 7}"
2024-10-25,2024-10-24,15,"SONACOMS,CUB,COFORGE,ASTERDM,PERSISTENT,IDBI,RPOWER,BEML,RECLTD,CEMPRO,MAZDOCK,FACT,TITAGARH,BANDHANBNK,HINDPETRO",16.119365273938552,"{""continuation"": 9, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 3}"
2024-10-28,2024-10-25,15,"SONACOMS,CUB,ASTERDM,MFSL,COFORGE,BEML,RPOWER,IDBI,MAZDOCK,PERSISTENT,CEMPRO,RECLTD,BANDHANBNK,FACT,HINDPETRO",15.944978698777325,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-10-29,2024-10-28,15,"CUB,COFORGE,SONACOMS,PERSISTENT,ZENSARTECH,BEML,MAZDOCK,CEMPRO,RECLTD,BANDHANBNK,FACT,GRSE,BDL,TARIL,TITAGARH",15.210312414723166,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 3, ""recovery"": 3}"
2024-10-30,2024-10-29,15,"PHOENIXLTD,CUB,MAHABANK,COFORGE,SONACOMS,ZENSARTECH,PERSISTENT,ESCORTS,MAZDOCK,CEMPRO,RECLTD,BANDHANBNK,FACT,BEML,GRSE",15.695891145550162,"{""continuation"": 6, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 3, ""recovery"": 4}"
2024-10-31,2024-10-30,15,"GPIL,FACT,EMAMILTD,PHOENIXLTD,CUB,NBCC,IFCI,RVNL,MAHABANK,COFORGE,SONACOMS,PERSISTENT,ARE&M,ZENSARTECH,JWL",17.90144124227148,"{""continuation"": 10, ""pullback_reversal"": 3, ""recovery"": 2}"
2024-11-01,2024-10-31,15,"GPIL,FACT,PHOENIXLTD,BHEL,NBCC,GRAVITA,EMAMILTD,INDIANB,CUB,IFCI,RVNL,COFORGE,SONACOMS,HUDCO,MAHABANK",18.27511409111138,"{""continuation"": 12, ""pullback_reversal"": 3}"
2024-11-04,2024-11-01,15,"BHEL,IFCI,NBCC,FACT,GPIL,GRAVITA,CEMPRO,EMAMILTD,CUB,DATAPATTNS,PHOENIXLTD,RVNL,PERSISTENT,SONACOMS,COFORGE",18.29997302271528,"{""continuation"": 10, ""pullback_reversal"": 4, ""recovery"": 1}"
2024-11-05,2024-11-04,15,"IFCI,NBCC,BHEL,FACT,GPIL,EMAMILTD,GRAVITA,CEMPRO,CUB,ZENSARTECH,COFORGE,SONACOMS,PHOENIXLTD,INDIANB,ARE&M",17.775178187272953,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}"
2024-11-06,2024-11-05,15,"GLAND,SUPREMEIND,IFCI,NBCC,VOLTAS,ITI,BHEL,FACT,COROMANDEL,CEMPRO,EMAMILTD,GPIL,GRAVITA,CUB,SONACOMS",16.279892590450952,"{""continuation"": 12, ""pullback_reversal"": 2, ""recovery"": 1}"
2024-11-07,2024-11-06,15,"GLAND,ITI,SUPREMEIND,MAPMYINDIA,DCMSHRIRAM,INDHOTEL,VOLTAS,DIXON,NBCC,PGEL,BHEL,JSWENERGY,CEMPRO,IFCI,EMAMILTD",17.207952554325708,"{""continuation"": 12, ""dryup_compression"": 1, ""pullback_reversal"": 2}"
2024-11-08,2024-11-07,15,"GLAND,SUPREMEIND,ITI,MAPMYINDIA,INDHOTEL,VOLTAS,DIXON,PGEL,NBCC,DCMSHRIRAM,IFCI,BHEL,EMAMILTD,CEMPRO,JSWENERGY",16.820125189664157,"{""continuation"": 12, ""fresh_breakout"": 1, ""pullback_reversal"": 2}"
2024-11-11,2024-11-08,15,"INDHOTEL,GLAND,PGEL,ITI,CARTRADE,MAPMYINDIA,DCMSHRIRAM,DIXON,SUPREMEIND,PAYTM,IFCI,NBCC,BHEL,FACT,JSWENERGY",16.358278553957515,"{""continuation"": 11, ""fresh_breakout"": 3, ""pullback_reversal"": 1}"
2024-11-12,2024-11-11,15,"GLAND,SUPREMEIND,INDHOTEL,JSWENERGY,PGEL,CARTRADE,ITI,MAPMYINDIA,NBCC,PAYTM,IFCI,FACT,CEMPRO,BHEL,CUB",16.174568584582634,"{""continuation"": 6, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 7}"
