entry_month,best_lane,best_tier_proto,selected_count
2024-10,continuation,BASELINE,58
2024-10,continuation,DRYUP,32
2024-10,continuation,GOLD,31
2024-10,dryup_compression,DRYUP,5
2024-10,dryup_compression,GOLD,1
2024-10,fresh_breakout,BASELINE,10
2024-10,pullback_reversal,BASELINE,8
2024-10,pullback_reversal,DRYUP,49
2024-10,pullback_reversal,GOLD,2
2024-10,pullback_reversal,PULLBACK,3
2024-10,recovery,DRYUP,7
2024-10,recovery,GOLD,4
2024-11,continuation,BASELINE,100
2024-11,continuation,DRYUP,42
2024-11,continuation,GOLD,43
2024-11,dryup_compression,BASELINE,1
2024-11,dryup_compression,DRYUP,5
2024-11,fresh_breakout,BASELINE,8
2024-11,pullback_reversal,BASELINE,9
2024-11,pullback_reversal,DRYUP,58
2024-11,pullback_reversal,GOLD,6
2024-11,pullback_reversal,PULLBACK,1
2024-11,recovery,DRYUP,3
2024-11,recovery,GOLD,9
2024-12,continuation,BASELINE,113
2024-12,continuation,DRYUP,41
2024-12,continuation,GOLD,42
2024-12,dryup_compression,DRYUP,4
2024-12,fresh_breakout,BASELINE,29
2024-12,pullback_reversal,BASELINE,17
2024-12,pullback_reversal,DRYUP,64
2024-12,pullback_reversal,GOLD,4
2024-12,recovery,GOLD,1
2025-01,continuation,BASELINE,110
2025-01,continuation,COMPRESSION,1
2025-01,continuation,DRYUP,49
2025-01,continuation,GOLD,50
2025-01,dryup_compression,DRYUP,17
2025-01,fresh_breakout,BASELINE,6
2025-01,pullback_reversal,BASELINE,5
2025-01,pullback_reversal,COMPRESSION,1
2025-01,pullback_reversal,DRYUP,83
2025-01,pullback_reversal,GOLD,6
2025-01,pullback_reversal,PULLBACK,7
2025-01,recovery,COMPRESSION,1
2025-01,recovery,DRYUP,4
2025-01,recovery,GOLD,5
2025-02,continuation,BASELINE,71
2025-02,continuation,COMPRESSION,3
2025-02,continuation,DRYUP,51
2025-02,continuation,GOLD,42
2025-02,dryup_compression,COMPRESSION,2
2025-02,dryup_compression,DRYUP,7
2025-02,fresh_breakout,BASELINE,1
2025-02,pullback_reversal,BASELINE,3
2025-02,pullback_reversal,COMPRESSION,1
2025-02,pullback_reversal,DRYUP,57
2025-02,pullback_reversal,GOLD,14
2025-02,pullback_reversal,PULLBACK,22
2025-02,recovery,COMPRESSION,1
2025-02,recovery,DRYUP,11
2025-02,recovery,GOLD,13
2025-02,recovery,PULLBACK,1
2025-03,continuation,BASELINE,90
2025-03,continuation,COMPRESSION,1
2025-03,continuation,DRYUP,32
2025-03,continuation,GOLD,64
2025-03,dryup_compression,DRYUP,13
2025-03,fresh_breakout,BASELINE,4
2025-03,fresh_breakout,DRYUP,1
2025-03,fresh_breakout,GOLD,1
2025-03,pullback_reversal,BASELINE,3
2025-03,pullback_reversal,DRYUP,40
2025-03,pullback_reversal,GOLD,20
2025-03,pullback_reversal,PULLBACK,3
2025-03,recovery,COMPRESSION,1
2025-03,recovery,DRYUP,3
2025-03,recovery,GOLD,9
2025-04,continuation,BASELINE,106
2025-04,continuation,COMPRESSION,2
2025-04,continuation,DRYUP,25
2025-04,continuation,GOLD,26
2025-04,dryup_compression,DRYUP,25
2025-04,fresh_breakout,BASELINE,25
2025-04,fresh_breakout,DRYUP,1
2025-04,pullback_reversal,BASELINE,9
2025-04,pullback_reversal,COMPRESSION,3
2025-04,pullback_reversal,DRYUP,50
2025-04,pullback_reversal,GOLD,6
2025-04,pullback_reversal,PULLBACK,1
2025-04,recovery,DRYUP,3
2025-04,recovery,GOLD,3
2025-05,continuation,BASELINE,120
2025-05,continuation,COMPRESSION,3
2025-05,continuation,DRYUP,21
2025-05,continuation,GOLD,26
2025-05,dryup_compression,DRYUP,7
2025-05,dryup_compression,PULLBACK,1
2025-05,fresh_breakout,BASELINE,70
2025-05,fresh_breakout,DRYUP,1
2025-05,pullback_reversal,BASELINE,17
2025-05,pullback_reversal,DRYUP,32
2025-05,pullback_reversal,GOLD,12
2025-05,pullback_reversal,PULLBACK,4
2025-05,recovery,GOLD,1
