entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-10-14,2024-10-11,15,"MAZDOCK,BANDHANBNK,GRSE,RECLTD,LAURUSLABS,JWL,BDL,TARIL,SWANCORP,FACT,DATAPATTNS,NAM-INDIA,CEMPRO,MEDANTA,GRANULES",49.61091233763463,"{""continuation"": 13, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2024-10-15,2024-10-14,15,"RECLTD,FACT,LAURUSLABS,DATAPATTNS,MEDANTA,JWL,BEML,BDL,GRSE,MAZDOCK,BANDHANBNK,TARIL,SWANCORP,CEMPRO,NAM-INDIA",43.40526427105571,"{""continuation"": 9, ""fresh_breakout"": 1, ""pullback_reversal"": 5}"
2024-10-16,2024-10-15,15,"AEGISLOG,BEML,ABREL,PAYTM,RECLTD,ANANDRATHI,FACT,GMDCLTD,TEJASNET,LAURUSLABS,DATAPATTNS,CEATLTD,MEDANTA,JWL,BDL",31.661766004229648,"{""continuation"": 11, ""dryup_compression"": 1, ""pullback_reversal"": 3}"
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,ABREL,PAYTM,TEJASNET,ANANDRATHI,KARURVYSYA,GMDCLTD,CEATLTD,CARTRADE,PGEL,RECLTD,MAZDOCK,BANDHANBNK,FACT",27.066668623209427,"{""continuation"": 10, ""pullback_reversal"": 5}"
2024-10-18,2024-10-17,15,"TITAGARH,BEML,AEGISLOG,FIVESTAR,CARTRADE,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,PGEL,SUNDARMFIN,GMDCLTD,RECLTD,MAZDOCK,BANDHANBNK",22.8704460054717,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-10-21,2024-10-18,15,"BEML,AEGISLOG,TITAGARH,FIVESTAR,RECLTD,MAZDOCK,BANDHANBNK,ANANDRATHI,FACT,GRSE,BDL,TARIL,SWANCORP,ABREL,CEMPRO",40.99784461601389,"{""continuation"": 8, ""fresh_breakout"": 2, ""pullback_reversal"": 5}"
2024-10-22,2024-10-21,15,"HINDPETRO,AEGISLOG,FIVESTAR,GMDCLTD,LTFOODS,BEML,TITAGARH,RECLTD,BANDHANBNK,MAZDOCK,ANANDRATHI,FACT,GRSE,BDL,SWANCORP",38.03792502120537,"{""continuation"": 8, ""dryup_compression"": 1, ""pullback_reversal"": 6}"
2024-10-23,2024-10-22,15,"CUB,SONACOMS,COFORGE,DEEPAKFERT,PERSISTENT,HINDPETRO,ASTERDM,MFSL,RPOWER,IDBI,J&KBANK,AEGISLOG,VBL,THERMAX,FIVESTAR",21.555596296238704,"{""continuation"": 11, ""pullback_reversal"": 4}"
2024-10-24,2024-10-23,15,"COFORGE,RPOWER,SONACOMS,PERSISTENT,MFSL,CUB,ZENSARTECH,DEEPAKFERT,ASTERDM,IDBI,J&KBANK,THERMAX,VBL,PPLPHARMA,GESHIP",22.69899504737928,"{""continuation"": 9, ""fresh_breakout"": 2, ""pullback_reversal"": 4}"
2024-10-25,2024-10-24,15,"ASTERDM,IDBI,SONACOMS,CUB,RPOWER,COFORGE,THERMAX,PERSISTENT,MFSL,ZENSARTECH,PPLPHARMA,GESHIP,DEEPAKFERT,J&KBANK,AEGISLOG",38.03267630375304,"{""continuation"": 12, ""fresh_breakout"": 3}"
2024-10-28,2024-10-25,15,"SONACOMS,CUB,MFSL,COFORGE,ASTERDM,RPOWER,IDBI,PERSISTENT,HINDPETRO,BEML,TITAGARH,THERMAX,ZENSARTECH,BANDHANBNK,RECLTD",41.30507524496111,"{""continuation"": 12, ""pullback_reversal"": 3}"
2024-10-29,2024-10-28,15,"CUB,ZENSARTECH,PERSISTENT,COFORGE,IDBI,ASTERDM,MFSL,RPOWER,DEEPAKFERT,VBL,PPLPHARMA,SONACOMS,GESHIP,BEML,HINDPETRO",29.217697538966338,"{""continuation"": 7, ""dryup_compression"": 2, ""pullback_reversal"": 5, ""recovery"": 1}"
