tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v18_best,2024-10-14,9,2,7,1,77.77777777777779,50.0,"BANDHANBNK,JWL,NAM-INDIA,SWANCORP,IRCON,GRANULES,GRSE,MAZDOCK,NMDC,RECLTD,DATAPATTNS,BDL,MEDANTA,BEML,SARDAEN","LAURUSLABS,DATAPATTNS,MEDANTA,JWL,RECLTD,BEML,FACT,BDL,GRSE",FACT
v18_best,2024-10-15,9,6,1,1,11.11111111111111,16.666666666666664,"BANDHANBNK,RECLTD,JWL,FACT,NAM-INDIA,SWANCORP,IRCON,GRANULES,NMDC,LAURUSLABS,DATAPATTNS,MEDANTA,BEML,SARDAEN,BDL","BEML,TEJASNET,AEGISLOG,PAYTM,ABREL,CEATLTD,ANANDRATHI,GMDCLTD,PGEL","ABREL,AEGISLOG,ANANDRATHI,GMDCLTD,PAYTM"
v18_best,2024-10-16,8,1,6,1,75.0,100.0,"AEGISLOG,BEML,ABREL,PAYTM,ANANDRATHI,RECLTD,GMDCLTD,FACT,TEJASNET,CEATLTD,LAURUSLABS,DATAPATTNS,MEDANTA,JWL,PGEL","BEML,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,CARTRADE,PGEL,GMDCLTD",
v18_best,2024-10-17,10,5,7,3,70.0,60.0,"BEML,AEGISLOG,ABREL,PAYTM,TEJASNET,ANANDRATHI,KARURVYSYA,GMDCLTD,CEATLTD,CARTRADE,PGEL,RECLTD,MAZDOCK,BANDHANBNK,FACT","TITAGARH,KARURVYSYA,TEJASNET,CEATLTD,PAYTM,AEGISLOG,FIVESTAR,CARTRADE,SUNDARMFIN,PGEL","FIVESTAR,TITAGARH"
v18_best,2024-10-18,13,2,7,1,53.84615384615385,50.0,"TITAGARH,BEML,AEGISLOG,FIVESTAR,CARTRADE,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,PGEL,SUNDARMFIN,GMDCLTD,RECLTD,MAZDOCK,BANDHANBNK","BEML,PAYTM,MOTILALOFS,TEJASNET,CEATLTD,FIVESTAR,ABREL,DCMSHRIRAM,HINDPETRO,ANANDRATHI,AEGISLOG,SUNDARMFIN,LTFOODS",ANANDRATHI
v18_best,2024-10-21,5,1,3,1,60.0,100.0,"FIVESTAR,TITAGARH,ANANDRATHI,AEGISLOG,PAYTM,TEJASNET,BEML,CARTRADE,CEATLTD,MOTILALOFS,ABREL,DCMSHRIRAM,KARURVYSYA,HINDPETRO,PGEL","AEGISLOG,HINDPETRO,FIVESTAR,GMDCLTD,LTFOODS",
v18_best,2024-10-22,14,5,0,0,0.0,0.0,"HINDPETRO,FIVESTAR,ANANDRATHI,AEGISLOG,BEML,PAYTM,MOTILALOFS,GMDCLTD,TEJASNET,CEATLTD,ABREL,LTFOODS,DCMSHRIRAM,SUNDARMFIN,TITAGARH","CUB,SONACOMS,ASTERDM,MFSL,COFORGE,RPOWER,IDBI,DEEPAKFERT,J&KBANK,PERSISTENT,VBL,THERMAX,ZENSARTECH,GESHIP","COFORGE,CUB,DEEPAKFERT,PERSISTENT,SONACOMS"
v18_best,2024-10-23,13,6,12,6,92.3076923076923,100.0,"CUB,SONACOMS,COFORGE,DEEPAKFERT,PERSISTENT,HINDPETRO,ASTERDM,MFSL,RPOWER,IDBI,J&KBANK,VBL,THERMAX,AEGISLOG,ZENSARTECH","IDBI,ASTERDM,DEEPAKFERT,RPOWER,J&KBANK,COFORGE,ZENSARTECH,SONACOMS,MFSL,PERSISTENT,THERMAX,PPLPHARMA,AEGISLOG",
v18_best,2024-10-24,7,7,6,6,85.71428571428571,85.71428571428571,"COFORGE,RPOWER,SONACOMS,PERSISTENT,MFSL,ZENSARTECH,CUB,DEEPAKFERT,IDBI,ASTERDM,J&KBANK,THERMAX,PPLPHARMA,VBL,AEGISLOG","ASTERDM,CUB,IDBI,THERMAX,SONACOMS,GESHIP,PPLPHARMA",GESHIP
v18_best,2024-10-25,9,1,8,1,88.88888888888889,100.0,"ASTERDM,IDBI,SONACOMS,CUB,THERMAX,RPOWER,COFORGE,PERSISTENT,MFSL,ZENSARTECH,GESHIP,PPLPHARMA,DEEPAKFERT,J&KBANK,AEGISLOG","COFORGE,J&KBANK,VBL,CUB,PERSISTENT,MFSL,ZENSARTECH,DEEPAKFERT,AEGISLOG",
