entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json,exit_time,exit_reason,n_positions_filled,gross_ret5x_pct,net_ret5x_pct,charges_rs
2024-10-14,2024-10-11,15,"BANDHANBNK,JWL,NAM-INDIA,SWANCORP,IRCON,GRANULES,GRSE,MAZDOCK,NMDC,RECLTD,DATAPATTNS,BDL,MEDANTA,BEML,SARDAEN",43.94509392865353,"{""continuation"": 14, ""pullback_reversal"": 1}",09:31,HARD_STOP,15,-3.1402060000001453,-3.4565320513811013,1581.63025690478
2024-10-15,2024-10-14,15,"BANDHANBNK,RECLTD,JWL,FACT,NAM-INDIA,SWANCORP,IRCON,GRANULES,NMDC,LAURUSLABS,DATAPATTNS,MEDANTA,BEML,SARDAEN,BDL",33.44913423456029,"{""continuation"": 13, ""pullback_reversal"": 2}",13:01,HARD_STOP,15,-3.15331400000006,-3.469866211019248,1582.7610550959398
2024-10-16,2024-10-15,15,"AEGISLOG,BEML,ABREL,PAYTM,ANANDRATHI,RECLTD,GMDCLTD,FACT,TEJASNET,CEATLTD,LAURUSLABS,DATAPATTNS,MEDANTA,JWL,PGEL",29.29996772479029,"{""continuation"": 10, ""dryup_compression"": 1, ""pullback_reversal"": 4}",15:29,EOD,15,1.5418099999999628,1.224199294344303,1588.0535282782996
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,ABREL,PAYTM,TEJASNET,ANANDRATHI,KARURVYSYA,GMDCLTD,CEATLTD,CARTRADE,PGEL,RECLTD,MAZDOCK,BANDHANBNK,FACT",26.931607260139213,"{""continuation"": 10, ""pullback_reversal"": 5}",09:42,HARD_STOP,15,-3.1775020000000485,-3.493622094626277,1580.6004731311396
2024-10-18,2024-10-17,15,"TITAGARH,BEML,AEGISLOG,FIVESTAR,CARTRADE,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,PGEL,SUNDARMFIN,GMDCLTD,RECLTD,MAZDOCK,BANDHANBNK",22.966739629110936,"{""continuation"": 9, ""pullback_reversal"": 6}",09:18,HARD_STOP,15,-3.714713999999966,-4.0308820741090825,1580.84037054558
2024-10-21,2024-10-18,15,"FIVESTAR,TITAGARH,ANANDRATHI,AEGISLOG,PAYTM,TEJASNET,BEML,CARTRADE,CEATLTD,MOTILALOFS,ABREL,DCMSHRIRAM,KARURVYSYA,HINDPETRO,PGEL",10.713677572500691,"{""continuation"": 10, ""fresh_breakout"": 4, ""pullback_reversal"": 1}",09:29,HARD_STOP,15,-3.1771300000000746,-3.4934941824748544,1581.8209123739
2024-10-22,2024-10-21,15,"HINDPETRO,FIVESTAR,ANANDRATHI,AEGISLOG,BEML,PAYTM,MOTILALOFS,GMDCLTD,TEJASNET,CEATLTD,ABREL,LTFOODS,DCMSHRIRAM,SUNDARMFIN,TITAGARH",12.928118680157521,"{""continuation"": 10, ""fresh_breakout"": 1, ""pullback_reversal"": 4}",09:20,HARD_STOP,15,-3.0822700000001118,-3.3986769404478117,1582.0347022385
2024-10-23,2024-10-22,15,"CUB,SONACOMS,COFORGE,DEEPAKFERT,PERSISTENT,HINDPETRO,ASTERDM,MFSL,RPOWER,IDBI,J&KBANK,VBL,THERMAX,AEGISLOG,ZENSARTECH",19.984705796467008,"{""continuation"": 11, ""pullback_reversal"": 4}",09:44,TRAIL,15,3.834015999999922,3.5160127774541534,1590.0161127288402
2024-10-24,2024-10-23,15,"COFORGE,RPOWER,SONACOMS,PERSISTENT,MFSL,ZENSARTECH,CUB,DEEPAKFERT,IDBI,ASTERDM,J&KBANK,THERMAX,PPLPHARMA,VBL,AEGISLOG",23.825711439316663,"{""continuation"": 10, ""fresh_breakout"": 2, ""pullback_reversal"": 3}",15:29,EOD,15,12.324424000000022,12.003825231455647,1602.9938427218804
2024-10-25,2024-10-24,15,"ASTERDM,IDBI,SONACOMS,CUB,THERMAX,RPOWER,COFORGE,PERSISTENT,MFSL,ZENSARTECH,GESHIP,PPLPHARMA,DEEPAKFERT,J&KBANK,AEGISLOG",37.91483290496333,"{""continuation"": 12, ""fresh_breakout"": 3}",09:31,HARD_STOP,15,-3.5057359999999407,-3.821854086150004,1580.5904307503197
2024-10-28,2024-10-25,15,"MFSL,ASTERDM,IDBI,CUB,SONACOMS,THERMAX,COFORGE,J&KBANK,VBL,GESHIP,PPLPHARMA,PERSISTENT,ZENSARTECH,DEEPAKFERT,AEGISLOG",29.44590401210479,"{""continuation"": 15}",09:36,HARD_STOP,15,-3.450564000000153,-3.766739847795249,1580.8792389754801
2024-10-29,2024-10-28,15,"CUB,ZENSARTECH,PERSISTENT,COFORGE,MFSL,IDBI,ASTERDM,RPOWER,VBL,DEEPAKFERT,J&KBANK,PPLPHARMA,SONACOMS,GESHIP,AEGISLOG",26.310378585055663,"{""continuation"": 9, ""dryup_compression"": 1, ""pullback_reversal"": 5}",10:52,HARD_STOP,15,-3.014636000000033,-3.3311430380562737,1582.5351902812001
2024-10-30,2024-10-29,15,"PHOENIXLTD,MAHABANK,ESCORTS,CUB,ZENSARTECH,PERSISTENT,COFORGE,GPIL,IDBI,ASTERDM,MFSL,RPOWER,BEML,DEEPAKFERT,VBL",30.43651399809269,"{""continuation"": 7, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 2, ""recovery"": 3}",14:16,TRAIL,15,2.6920520000000487,2.3741860434426885,1589.3297827868
