entry_date,signal_date,n_positions,symbols,avg_score,lane_counts_json
2024-10-14,2024-10-11,15,"BANDHANBNK,JWL,NAM-INDIA,SWANCORP,IRCON,GRANULES,GRSE,MAZDOCK,NMDC,RECLTD,DATAPATTNS,BDL,MEDANTA,BEML,SARDAEN",43.94509392865353,"{""continuation"": 14, ""pullback_reversal"": 1}"
2024-10-15,2024-10-14,15,"BANDHANBNK,RECLTD,JWL,FACT,NAM-INDIA,SWANCORP,IRCON,GRANULES,NMDC,LAURUSLABS,DATAPATTNS,MEDANTA,BEML,SARDAEN,BDL",33.44913423456029,"{""continuation"": 13, ""pullback_reversal"": 2}"
2024-10-16,2024-10-15,15,"AEGISLOG,BEML,ABREL,PAYTM,ANANDRATHI,RECLTD,GMDCLTD,FACT,TEJASNET,CEATLTD,LAURUSLABS,DATAPATTNS,MEDANTA,JWL,PGEL",29.29996772479029,"{""continuation"": 10, ""dryup_compression"": 1, ""pullback_reversal"": 4}"
2024-10-17,2024-10-16,15,"BEML,AEGISLOG,ABREL,PAYTM,TEJASNET,ANANDRATHI,KARURVYSYA,GMDCLTD,CEATLTD,CARTRADE,PGEL,RECLTD,MAZDOCK,BANDHANBNK,FACT",26.931607260139213,"{""continuation"": 10, ""pullback_reversal"": 5}"
2024-10-18,2024-10-17,15,"TITAGARH,BEML,AEGISLOG,FIVESTAR,CARTRADE,KARURVYSYA,TEJASNET,PAYTM,CEATLTD,PGEL,SUNDARMFIN,GMDCLTD,RECLTD,MAZDOCK,BANDHANBNK",22.966739629110936,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-10-21,2024-10-18,15,"FIVESTAR,TITAGARH,ANANDRATHI,AEGISLOG,PAYTM,TEJASNET,BEML,CARTRADE,CEATLTD,MOTILALOFS,ABREL,DCMSHRIRAM,KARURVYSYA,HINDPETRO,PGEL",10.713677572500691,"{""continuation"": 10, ""fresh_breakout"": 4, ""pullback_reversal"": 1}"
2024-10-22,2024-10-21,15,"HINDPETRO,FIVESTAR,ANANDRATHI,AEGISLOG,BEML,PAYTM,MOTILALOFS,GMDCLTD,TEJASNET,CEATLTD,ABREL,LTFOODS,DCMSHRIRAM,SUNDARMFIN,TITAGARH",12.928118680157521,"{""continuation"": 10, ""fresh_breakout"": 1, ""pullback_reversal"": 4}"
2024-10-23,2024-10-22,15,"CUB,SONACOMS,COFORGE,DEEPAKFERT,PERSISTENT,HINDPETRO,ASTERDM,MFSL,RPOWER,IDBI,J&KBANK,VBL,THERMAX,AEGISLOG,ZENSARTECH",19.984705796467008,"{""continuation"": 11, ""pullback_reversal"": 4}"
2024-10-24,2024-10-23,15,"COFORGE,RPOWER,SONACOMS,PERSISTENT,MFSL,ZENSARTECH,CUB,DEEPAKFERT,IDBI,ASTERDM,J&KBANK,THERMAX,PPLPHARMA,VBL,AEGISLOG",23.825711439316663,"{""continuation"": 10, ""fresh_breakout"": 2, ""pullback_reversal"": 3}"
2024-10-25,2024-10-24,15,"ASTERDM,IDBI,SONACOMS,CUB,THERMAX,RPOWER,COFORGE,PERSISTENT,MFSL,ZENSARTECH,GESHIP,PPLPHARMA,DEEPAKFERT,J&KBANK,AEGISLOG",37.91483290496333,"{""continuation"": 12, ""fresh_breakout"": 3}"
2024-10-28,2024-10-25,15,"MFSL,ASTERDM,IDBI,CUB,SONACOMS,THERMAX,COFORGE,J&KBANK,VBL,GESHIP,PPLPHARMA,PERSISTENT,ZENSARTECH,DEEPAKFERT,AEGISLOG",29.44590401210479,"{""continuation"": 15}"
2024-10-29,2024-10-28,15,"CUB,ZENSARTECH,PERSISTENT,COFORGE,MFSL,IDBI,ASTERDM,RPOWER,VBL,DEEPAKFERT,J&KBANK,PPLPHARMA,SONACOMS,GESHIP,AEGISLOG",26.310378585055663,"{""continuation"": 9, ""dryup_compression"": 1, ""pullback_reversal"": 5}"
2024-10-30,2024-10-29,15,"PHOENIXLTD,MAHABANK,ESCORTS,CUB,ZENSARTECH,PERSISTENT,COFORGE,GPIL,IDBI,ASTERDM,MFSL,RPOWER,BEML,DEEPAKFERT,VBL",30.43651399809269,"{""continuation"": 7, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 2, ""recovery"": 3}"
2024-10-31,2024-10-30,15,"GPIL,EMAMILTD,FACT,NBCC,IFCI,RVNL,ARE&M,PHOENIXLTD,JWL,MAHABANK,ACE,NSLNISP,ESCORTS,GRAVITA,BEML",40.88148744899296,"{""continuation"": 11, ""pullback_reversal"": 1, ""recovery"": 3}"
2024-11-01,2024-10-31,15,"GRAVITA,INDIANB,BHEL,GPIL,HUDCO,EMAMILTD,FACT,NBCC,IFCI,RVNL,TECHNOE,ARE&M,JWL,ACE,NSLNISP",44.15212287209188,"{""continuation"": 15}"
2024-11-04,2024-11-01,15,"BHEL,IFCI,DATAPATTNS,NBCC,CEMPRO,GRAVITA,INDIANB,BRIGADE,JUBLINGREA,HUDCO,TECHNOE,RVNL,PHOENIXLTD,COCHINSHIP,GPIL",40.026594034029806,"{""continuation"": 13, ""pullback_reversal"": 1, ""recovery"": 1}"
2024-11-05,2024-11-04,15,"BHEL,IFCI,DATAPATTNS,NBCC,CEMPRO,RVNL,BRIGADE,JUBLINGREA,GRSE,ENGINERSIN,PHOENIXLTD,KEC,SCI,HUDCO,INDIANB",22.146576743105204,"{""continuation"": 7, ""dryup_compression"": 1, ""pullback_reversal"": 7}"
2024-11-06,2024-11-05,15,"GLAND,SUPREMEIND,VOLTAS,ITI,COROMANDEL,PGEL,INDHOTEL,PAYTM,VIJAYA,LATENTVIEW,MAPMYINDIA,BEL,DCMSHRIRAM,BHEL,RVNL",28.880322678300914,"{""continuation"": 9, ""dryup_compression"": 2, ""pullback_reversal"": 3, ""recovery"": 1}"
2024-11-07,2024-11-06,15,"MAPMYINDIA,DCMSHRIRAM,ITI,LATENTVIEW,DIXON,GLAND,INDHOTEL,PGEL,VOLTAS,JSWENERGY,SUPREMEIND,CARTRADE,BEL,COROMANDEL,PAYTM",47.288625201645296,"{""continuation"": 12, ""fresh_breakout"": 2, ""pullback_reversal"": 1}"
2024-11-08,2024-11-07,15,"MAPMYINDIA,DCMSHRIRAM,DIXON,LATENTVIEW,INDHOTEL,ITI,PGEL,JSWENERGY,CARTRADE,VOLTAS,BEL,GLAND,ECLERX,SUPREMEIND,IFCI",45.75035840031448,"{""continuation"": 12, ""dryup_compression"": 1, ""fresh_breakout"": 2}"
2024-11-11,2024-11-08,15,"INDHOTEL,CARTRADE,PAYTM,PGEL,SUPREMEIND,VOLTAS,BLUEJET,LATENTVIEW,BEL,GLAND,GRANULES,ITI,MAPMYINDIA,DCMSHRIRAM,DIXON",38.883315541805295,"{""continuation"": 12, ""fresh_breakout"": 3}"
2024-11-12,2024-11-11,15,"SUPREMEIND,GLAND,JSWENERGY,INDHOTEL,CARTRADE,PAYTM,KALYANKJIL,PGEL,VOLTAS,BLUEJET,COROMANDEL,DCMSHRIRAM,TARIL,LATENTVIEW,BEL",30.112389672350183,"{""continuation"": 10, ""pullback_reversal"": 5}"
2024-11-13,2024-11-12,15,"NEULANDLAB,AEGISLOG,UNOMINDA,SUPREMEIND,GLAND,JSWENERGY,RAINBOW,DCMSHRIRAM,SAREGAMA,DEEPAKNTR,KALYANKJIL,EICHERMOT,POLYMED,NUVAMA,VOLTAS",23.69825983514559,"{""continuation"": 8, ""dryup_compression"": 1, ""pullback_reversal"": 6}"
2024-11-14,2024-11-13,15,"NEULANDLAB,AEGISLOG,ETERNAL,EICHERMOT,UNOMINDA,SAREGAMA,RAINBOW,DEEPAKNTR,DCMSHRIRAM,POLYMED,NUVAMA,POLICYBZR,COHANCE,BLUESTARCO,MEDANTA",10.541236258797332,"{""continuation"": 11, ""pullback_reversal"": 4}"
2024-11-18,2024-11-14,15,"NEULANDLAB,DCMSHRIRAM,ETERNAL,DEEPAKNTR,EICHERMOT,SAREGAMA,AEGISLOG,NUVAMA,POLYMED,ZYDUSWELL,RAINBOW,POLICYBZR,MEDANTA,COHANCE,GLAND",39.00145605691926,"{""continuation"": 13, ""dryup_compression"": 1, ""recovery"": 1}"
2024-11-19,2024-11-18,15,"NEULANDLAB,DCMSHRIRAM,DEEPAKNTR,ETERNAL,SAREGAMA,EICHERMOT,POLYMED,NUVAMA,AEGISLOG,ZYDUSWELL,RAINBOW,POLICYBZR,MEDANTA,COHANCE,GLAND",36.64403173548536,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-11-21,2024-11-19,15,"PTCIL,CRAFTSMAN,EIDPARRY,NLCINDIA,VIJAYA,UNOMINDA,KFINTECH,PAYTM,CONCORDBIO,MRPL,POLYMED,COHANCE,NEULANDLAB,ETERNAL,AEGISLOG",34.18829679766212,"{""continuation"": 11, ""pullback_reversal"": 4}"
2024-11-22,2024-11-21,15,"CONCORDBIO,FORTIS,PHOENIXLTD,NLCINDIA,PTCIL,CRAFTSMAN,EIDPARRY,VIJAYA,UNOMINDA,SWANCORP,KFINTECH,MRPL,PAYTM,NEULANDLAB,ETERNAL",38.2143431174673,"{""continuation"": 11, ""dryup_compression"": 1, ""fresh_breakout"": 2, ""pullback_reversal"": 1}"
2024-11-25,2024-11-22,15,"SWANCORP,CRAFTSMAN,CCL,MRPL,CONCORDBIO,EIDPARRY,FORTIS,PHOENIXLTD,NLCINDIA,OIL,PTCIL,GVT&D,NEULANDLAB,ETERNAL,AEGISLOG",39.51802323890057,"{""continuation"": 12, ""pullback_reversal"": 3}"
2024-11-26,2024-11-25,15,"SWANCORP,UNOMINDA,GVT&D,CRAFTSMAN,CCL,MRPL,EIDPARRY,PTCIL,SUZLON,CONCORDBIO,SAMMAANCAP,OIL,FORTIS,NEULANDLAB,NLCINDIA",31.476277270220223,"{""continuation"": 11, ""pullback_reversal"": 4}"
2024-11-27,2024-11-26,15,"FACT,RPOWER,SONATSOFTW,PCBL,UNOMINDA,HBLENGINE,GVT&D,ADANIGREEN,ADANIENSOL,SUZLON,PTCIL,ADANIENT,CONCORDBIO,EIDPARRY,SAMMAANCAP",26.822884041298035,"{""continuation"": 8, ""pullback_reversal"": 6, ""recovery"": 1}"
2024-11-28,2024-11-27,15,"ADANIENT,ADANIGREEN,ADANIENSOL,GALLANTT,HONASA,ATGL,FACT,ADANIPOWER,RPOWER,SONATSOFTW,PCBL,HBLENGINE,SWANCORP,UNOMINDA,CRAFTSMAN",52.99427372463192,"{""continuation"": 6, ""pullback_reversal"": 3, ""recovery"": 6}"
2024-11-29,2024-11-28,15,"FACT,ADANIENT,ADANIGREEN,ADANIENSOL,GALLANTT,HONASA,ATGL,ADANIPOWER,BALRAMCHIN,UNOMINDA,SWANCORP,PCBL,RPOWER,SONATSOFTW,CRAFTSMAN",46.23931323347397,"{""continuation"": 11, ""pullback_reversal"": 2, ""recovery"": 2}"
2024-12-02,2024-11-29,15,"HSCL,MAZDOCK,BALRAMCHIN,KFINTECH,FACT,PPLPHARMA,ADANIENT,PCBL,ADANIGREEN,HONASA,GALLANTT,ADANIENSOL,SWANCORP,RPOWER,UNOMINDA",45.5998536500771,"{""continuation"": 12, ""pullback_reversal"": 2, ""recovery"": 1}"
2024-12-03,2024-12-02,15,"BDL,CAMS,HSCL,GRSE,COCHINSHIP,MAZDOCK,BALRAMCHIN,KFINTECH,ADANIENT,ADANIPOWER,SONATSOFTW,PPLPHARMA,RPOWER,PCBL,FACT",35.44295729249019,"{""continuation"": 10, ""fresh_breakout"": 2, ""pullback_reversal"": 3}"
2024-12-04,2024-12-03,15,"GRSE,KPITTECH,ZEEL,KPIL,BLS,UCOBANK,TATAELXSI,HSCL,BDL,ANGELONE,CAMS,COCHINSHIP,PNBHOUSING,FINCABLES,ADANIPOWER",38.768125192986886,"{""continuation"": 11, ""dryup_compression"": 1, ""pullback_reversal"": 3}"
2024-12-05,2024-12-04,15,"FINCABLES,PNBHOUSING,HSCL,GRSE,KPIL,KPITTECH,ZEEL,BLS,UCOBANK,TATAELXSI,ANGELONE,BLUESTARCO,MMTC,FLUOROCHEM,RPOWER",36.8336828529882,"{""continuation"": 14, ""pullback_reversal"": 1}"
2024-12-06,2024-12-05,15,"KPIL,CASTROLIND,FINCABLES,CESC,PNBHOUSING,FLUOROCHEM,IGL,HSCL,ANGELONE,INOXWIND,MMTC,BLUESTARCO,RPOWER,GRSE,KPITTECH",31.187296789372194,"{""continuation"": 13, ""pullback_reversal"": 2}"
2024-12-09,2024-12-06,15,"MMTC,INOXWIND,GRSE,ZEEL,IREDA,KPIL,GABRIEL,MAZDOCK,CASTROLIND,CESC,FLUOROCHEM,IGL,J&KBANK,ANGELONE,BANKINDIA",35.020074210787016,"{""continuation"": 14, ""fresh_breakout"": 1}"
2024-12-10,2024-12-09,15,"INOXWIND,MMTC,MAXHEALTH,GRSE,CASTROLIND,ZEEL,IREDA,GABRIEL,MAZDOCK,J&KBANK,IGL,BANKINDIA,KPIL,FINCABLES,HSCL",34.682942575983546,"{""continuation"": 8, ""pullback_reversal"": 7}"
2024-12-11,2024-12-10,15,"CLEAN,SYRMA,KPRMILL,RPOWER,CRISIL,INOXWIND,MAXHEALTH,CASTROLIND,TARIL,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA",30.521881640953417,"{""continuation"": 9, ""pullback_reversal"": 6}"
2024-12-12,2024-12-11,15,"CLEAN,POWERINDIA,CHALET,TITAGARH,MAXHEALTH,KPRMILL,SYRMA,RPOWER,CRISIL,PGEL,TARIL,INOXWIND,KPIL,GRSE,CASTROLIND",40.70986026149904,"{""continuation"": 7, ""fresh_breakout"": 3, ""pullback_reversal"": 5}"
2024-12-13,2024-12-12,15,"CHALET,POWERINDIA,PGEL,BLS,MAXHEALTH,CRISIL,TITAGARH,KPRMILL,JBMA,MANAPPURAM,RPOWER,CLEAN,INOXWIND,CASTROLIND,KPIL",38.0415354548587,"{""continuation"": 10, ""dryup_compression"": 1, ""fresh_breakout"": 3, ""pullback_reversal"": 1}"
2024-12-16,2024-12-13,15,"PGEL,JBMA,KPRMILL,CHALET,GODFRYPHLP,POWERINDIA,CRISIL,DELHIVERY,BLS,MAXHEALTH,TITAGARH,SYRMA,LATENTVIEW,MANAPPURAM,RPOWER",33.78023315540783,"{""continuation"": 11, ""fresh_breakout"": 4}"
2024-12-17,2024-12-16,15,"MANAPPURAM,TITAGARH,TARIL,PGEL,BLS,POWERINDIA,JBMA,KPRMILL,GODFRYPHLP,MAXHEALTH,DELHIVERY,LATENTVIEW,CRISIL,SYRMA,CHALET",41.865895281714636,"{""continuation"": 9, ""fresh_breakout"": 2, ""pullback_reversal"": 4}"
2024-12-18,2024-12-17,15,"AEGISLOG,MANAPPURAM,TARIL,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CARTRADE,BLUEJET,LATENTVIEW,KFINTECH,MANKIND,KPRMILL,CHALET,SYRMA",27.813339454573306,"{""continuation"": 12, ""dryup_compression"": 1, ""fresh_breakout"": 1, ""pullback_reversal"": 1}"
2024-12-19,2024-12-18,15,"KFINTECH,GICRE,CARTRADE,KPRMILL,AEGISLOG,HONASA,TECHNOE,POWERINDIA,BLUEJET,MANKIND,PGEL,BLS,MANAPPURAM,TARIL,TITAGARH",38.42044059288192,"{""continuation"": 10, ""fresh_breakout"": 2, ""pullback_reversal"": 2, ""recovery"": 1}"
