feature,pos_mean,universe_mean,direction,weight
ret_std_20d__pct,0.650624674727511,0.5010592459605027,hi,0.1495654287670083
trend3_20__pct,0.63257681600356,0.5010590938464853,hi,0.1315177221570747
ret3_pct__pct,0.6245162976516788,0.5010587517496321,hi,0.12345754590204672
day_range_pct__pct,0.6162918784716879,0.5010585617913018,hi,0.11523331668038606
intra_range_pct__pct,0.6158742109020167,0.5010585617913018,hi,0.11481564911071485
ret5_pct__pct,0.6104048743725204,0.5010588277520548,hi,0.10934604662046565
turn_pct_252__pct,0.6010489005999142,0.5010654050344903,hi,0.09998349556542396
ret2_pct__pct,0.5901084263600667,0.5010587137525122,hi,0.08904971260755445
ret10_pct__pct,0.5799549364172111,0.5010591698980325,hi,0.07889576651917862
is_high_tier__pct,0.5775980857289034,0.5010585617913018,hi,0.07653952393760155
last60_vol_pct__pct,0.4264470896658732,0.5010585617913018,lo,0.07461147212542862
vol_ratio_20d__pct,0.5603416162667403,0.5010591698980325,hi,0.05928244636870783
vol_avg20__pct,0.4492393550806743,0.5010590938464853,lo,0.051819738765810974
last60_volume__pct,0.4512543152778351,0.5010585617913018,lo,0.04980424651346671
last30_volume__pct,0.45129833250935364,0.5010585617913018,lo,0.049760229281948176
turnover__pct,0.45416417462241887,0.5010585617913018,lo,0.046894387168882945
close_vs_vwap_pct__pct,0.4547044837689065,0.5010585617913018,lo,0.04635407802239533
last15_volume__pct,0.457604450302927,0.5010585617913018,lo,0.0434541114883748
up_day_streak__pct,0.5407833242251837,0.5010585617913018,hi,0.0397247624338819
last30_ret_pct__pct,0.4614967395637998,0.5010585617913018,lo,0.03956182222750204
first60_green_ratio__pct,0.4650599371027375,0.5010585617913018,lo,0.035998624688564296
day_volume_1m__pct,0.466170350174475,0.5010585617913018,lo,0.034888211616826814
volume__pct,0.4661745836847996,0.5010585617913018,lo,0.034883978106502234
daily_ret_pct__pct,0.46972406943415174,0.5010586377664538,lo,0.031334568332302026
first30_green_ratio__pct,0.4723898922492966,0.5010585617913018,lo,0.0286686695420052
last60_ret_pct__pct,0.4724367367784748,0.5010585617913018,lo,0.028621825012827007
intra_ret_pct__pct,0.4747078338883649,0.5010585617913018,lo,0.02635072790293691
vol_ratio_5d__pct,0.47489931900091914,0.5010587517496321,lo,0.026159432748712963
ret_z_20d__pct,0.47577879225234676,0.5010592459605027,lo,0.025280453708155903
green_ratio_day__pct,0.4765891969133538,0.5010585617913018,lo,0.02446936487794804
down_day_streak__pct,0.47687460987885577,0.5010585617913018,lo,0.024183951912446044
first60_ret_pct__pct,0.4792776491942467,0.5010585617913018,lo,0.021780912597055113
first30_ret_pct__pct,0.480011904066283,0.5010585617913018,lo,0.02104665772501879
intra_close_loc__pct,0.4802106967359164,0.5010585617913018,lo,0.02084786505538544
hour_red_streak__pct,0.5216841272426629,0.5010585617913018,hi,0.020625565451361072
daily_close_loc__pct,0.4804655848029098,0.5010585617913018,lo,0.02059297698839202
last15_green_ratio__pct,0.5207273162300732,0.5010585617913018,hi,0.019668754438771363
vol_ratio_10d__pct,0.5206022595543759,0.5010588277520548,hi,0.0195434318023211
first15_green_ratio__pct,0.48202705228942644,0.5010585617913018,lo,0.019031509501875377
max_red_streak_1m__pct,0.48419064459819666,0.501059055824807,lo,0.01686841122661037
hour_green_streak__pct,0.4843062338861019,0.5010585617913018,lo,0.016752327905199926
ret20_pct__pct,0.5172458902552736,0.5010598548537759,hi,0.016186035401497656
prev_close__pct,0.5168657215438459,0.5010586377664538,hi,0.01580708377739215
last60_green_ratio__pct,0.4877823752463068,0.5010585617913018,lo,0.013276186544995017
first15_ret_pct__pct,0.4896569011064677,0.5010585617913018,lo,0.011401660684834114
vol_avg3__pct,0.49083234413760357,0.5010587137525122,lo,0.010226369614908637
last30_green_ratio__pct,0.4924630991367782,0.5010585617913018,lo,0.0085954626545236
first60_volume__pct,0.4942854476012042,0.5010585617913018,lo,0.006773114190097629
red_ratio_day__pct,0.49498978761935514,0.5010585617913018,lo,0.006068774171946678
open_gap_pct__pct,0.5067091069918449,0.5010586377664538,hi,0.0056504692253911415
green_vol_ratio__pct,0.5066299145809187,0.5010590938464853,hi,0.005570820734433379
last15_ret_pct__pct,0.5062434888781063,0.5010585617913018,hi,0.005184927086804514
end_green_streak_1m__pct,0.49734330084079054,0.5010585617913018,lo,0.003715260950511279
first15_volume__pct,0.5044871771660042,0.5010585617913018,hi,0.003428615374702404
max_green_streak_1m__pct,0.49823252618524305,0.50105897978964,lo,0.002826453604396928
end_red_streak_1m__pct,0.49903503901054025,0.5010585617913018,lo,0.0020235227807615663
first30_volume__pct,0.5013528463999192,0.5010585617913018,hi,0.0002942846086173567
