rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0419,pair,down_day_streak__pct,lo,0.1,ret10_pct__pct,hi,0.95,11,77,0.14285714285714285,8.399035563592525,7.548024041850282,66.23376623376623,283.05892850262643
R0418,pair,down_day_streak__pct,lo,0.1,ret3_pct__pct,hi,0.95,16,113,0.1415929203539823,8.32470781524215,6.610831897515394,63.716814159292035,252.1632710204937
R0416,pair,down_day_streak__pct,lo,0.1,ret5_pct__pct,hi,0.95,12,93,0.12903225806451613,7.586225670341635,6.147997462102029,64.51612903225806,193.72179285959916
R0417,pair,down_day_streak__pct,lo,0.1,trend3_20__pct,hi,0.95,7,59,0.11864406779661017,6.9754702138310805,7.63784485866489,66.10169491525424,180.25448990671873
R0421,pair,down_day_streak__pct,lo,0.1,trend3_20__pct,hi,0.9,13,104,0.125,7.34915611814346,5.573243950451275,60.57692307692307,175.7977064508423
R0427,pair,down_day_streak__pct,lo,0.1,trend3_20__pct,hi,0.8,19,188,0.10106382978723404,5.941870904030882,5.359347738157345,62.23404255319149,153.66236095407106
R0425,pair,down_day_streak__pct,lo,0.1,ret2_pct__pct,hi,0.95,14,136,0.10294117647058823,6.052246214941673,6.022254427079662,63.970588235294116,152.48508250912397
R0455,pair,down_day_streak__pct,lo,0.1,last60_vol_pct__pct,lo,0.2,14,183,0.07650273224043716,4.4978441815959975,6.941237515553186,71.58469945355192,145.26871952896866
R0450,pair,down_day_streak__pct,lo,0.1,last60_vol_pct__pct,lo,0.1,10,106,0.09433962264150944,5.546532919353555,6.143101180561245,68.86792452830188,142.87309081967442
R0423,pair,down_day_streak__pct,lo,0.1,ret5_pct__pct,hi,0.9,16,158,0.10126582278481013,5.95374672862255,5.345390029854743,62.0253164556962,135.1674729648767
R0442,pair,down_day_streak__pct,lo,0.1,turn_pct_252__pct,hi,0.8,20,236,0.0847457627118644,4.982478724165057,5.460389405547517,65.2542372881356,134.35348170201144
R0443,pair,down_day_streak__pct,lo,0.1,turn_pct_252__pct,hi,0.9,12,145,0.08275862068965517,4.865648188563946,6.796836854972463,62.758620689655174,130.61634103809547
R0448,pair,down_day_streak__pct,lo,0.1,last60_vol_pct__pct,lo,0.3,16,228,0.07017543859649122,4.125842031238434,6.824477335879075,69.2982456140351,129.3313513559429
R0615,pair,ret3_pct__pct,hi,0.95,volume__pct,lo,0.1,9,63,0.14285714285714285,8.399035563592525,3.490974802404369,61.904761904761905,116.78234619554398
R0614,pair,ret3_pct__pct,hi,0.95,day_volume_1m__pct,lo,0.1,9,63,0.14285714285714285,8.399035563592525,3.35306561520556,61.904761904761905,112.41890312015207
R0446,pair,down_day_streak__pct,lo,0.1,turn_pct_252__pct,hi,0.7,23,316,0.07278481012658228,4.279255461197457,5.236664371949714,64.55696202531645,109.73201699904068
R0434,pair,down_day_streak__pct,lo,0.1,ret20_pct__pct,hi,0.95,5,57,0.08771929824561403,5.157302539048041,7.420141524660263,63.1578947368421,107.5482321629124
R0420,pair,down_day_streak__pct,lo,0.1,ret3_pct__pct,hi,0.9,17,193,0.08808290155440414,5.178679958899018,4.97114472120154,61.13989637305699,106.92080925194755
R0428,pair,down_day_streak__pct,lo,0.1,ret10_pct__pct,hi,0.8,18,235,0.07659574468085106,4.503312685160248,5.380504644617014,64.68085106382979,104.25303116205922
R0435,pair,down_day_streak__pct,lo,0.1,trend3_20__pct,hi,0.7,19,249,0.07630522088353414,4.486231847220104,4.86137425246699,63.45381526104418,100.62518924157713
R0432,pair,down_day_streak__pct,lo,0.1,ret5_pct__pct,hi,0.8,20,259,0.07722007722007722,4.540019223563527,4.871777143270425,63.32046332046332,96.91412453622144
R0431,pair,down_day_streak__pct,lo,0.1,ret10_pct__pct,hi,0.9,12,142,0.08450704225352113,4.968443572829381,5.197147106830548,60.56338028169014,93.16041145706629
R0433,pair,down_day_streak__pct,lo,0.1,ret10_pct__pct,hi,0.7,21,313,0.0670926517571885,3.944594977150483,5.165077917744205,65.814696485623,89.98859778069466
R0430,pair,down_day_streak__pct,lo,0.1,ret2_pct__pct,hi,0.9,18,239,0.07531380753138076,4.427943435199407,4.780700231776403,62.34309623430963,87.75522988878097
R0447,pair,down_day_streak__pct,lo,0.1,first15_ret_pct__pct,lo,0.2,6,56,0.10714285714285714,6.299276672694393,4.201485500447224,67.85714285714286,86.23672481081253
R0609,pair,ret3_pct__pct,hi,0.95,down_day_streak__pct,lo,0.2,31,247,0.12550607287449392,7.378909786637967,2.17165850898546,51.821862348178136,76.07905845746907
R0440,pair,down_day_streak__pct,lo,0.1,ret20_pct__pct,hi,0.9,8,102,0.0784313725490196,4.611235211384131,5.080796449815305,58.82352941176471,73.94383751334955
