symbol,teacher_trades,teacher_win_pct,teacher_avg_stock_ret,symbol_prior_score
AAVAS,1,100.0,1.16,0.7933333333333333
ABREL,1,0.0,-3.76,0.0
ACUTAAS,2,50.0,3.295,0.7491666666666668
ADANIENSOL,4,75.0,2.4875000000000003,1.0645833333333334
ADANIGREEN,2,50.0,0.695,0.31583333333333335
ADANIPOWER,1,100.0,10.77,2.395
AFFLE,1,0.0,-0.76,0.0
ANANTRAJ,2,100.0,5.595,1.6325
ANURAS,1,0.0,-1.48,0.0
APARINDS,6,50.0,1.5716666666666665,0.8619444444444444
ARE&M,2,0.0,-0.8,0.0
ASTERDM,3,66.66666666666666,0.7966666666666665,0.5994444444444442
ATUL,6,66.66666666666666,0.915,0.9191666666666665
AUBANK,2,50.0,3.395,0.7658333333333334
BAJAJHLDNG,2,100.0,2.6550000000000002,1.1425
BAYERCROP,2,50.0,0.265,0.24416666666666667
BDL,5,80.0,3.754,1.4256666666666666
BEML,4,50.0,4.145,1.0908333333333333
BLS,1,100.0,0.67,0.7116666666666667
BLUEJET,2,50.0,0.11499999999999999,0.21916666666666668
BLUESTARCO,1,100.0,1.64,0.8733333333333333
BSE,6,50.0,1.0250000000000001,0.7708333333333334
CAPLIPOINT,2,50.0,6.1450000000000005,1.2241666666666666
CCL,2,50.0,-1.9450000000000003,0.0
CEATLTD,3,66.66666666666666,0.8666666666666667,0.6111111111111109
CEMPRO,1,100.0,6.06,1.61
CHENNPETRO,2,50.0,4.19,0.8983333333333334
CHOICEIN,2,50.0,0.26,0.24333333333333335
CHOLAHLDNG,1,0.0,-2.58,0.0
CLEAN,3,100.0,1.3499999999999999,1.025
COFORGE,2,50.0,1.2850000000000001,0.4141666666666667
CONCORDBIO,7,42.857142857142854,-0.5014285714285714,0.5449999999999999
CRAFTSMAN,7,42.857142857142854,1.7871428571428571,0.9264285714285714
CREDITACC,3,100.0,2.39,1.1983333333333333
CUB,5,60.0,0.584,0.6973333333333332
DATAPATTNS,5,40.0,2.8519999999999994,0.8753333333333332
DCMSHRIRAM,3,66.66666666666666,3.0366666666666666,0.9727777777777775
DEEPAKFERT,2,100.0,3.2199999999999998,1.2366666666666666
DELHIVERY,1,100.0,6.79,1.7316666666666667
DIXON,1,0.0,-0.26,0.0
DOMS,3,100.0,3.5833333333333335,1.3972222222222221
ECLERX,2,50.0,4.595,0.9658333333333333
ELECON,5,80.0,1.7220000000000002,1.087
ELGIEQUIP,2,50.0,0.9300000000000002,0.35500000000000004
ENDURANCE,4,75.0,3.1225000000000005,1.1704166666666667
ENGINERSIN,3,33.33333333333333,-0.14333333333333334,0.10944444444444437
ERIS,8,62.5,0.79,1.0566666666666666
FACT,1,100.0,13.43,2.8383333333333334
FLUOROCHEM,1,100.0,0.4,0.6666666666666667
FORCEMOT,3,33.33333333333333,-1.0233333333333334,0.0
FORTIS,2,50.0,1.145,0.39083333333333337
FSL,2,100.0,0.81,0.835
GALLANTT,3,66.66666666666666,5.796666666666667,1.4327777777777777
GESHIP,2,100.0,4.1850000000000005,1.3975000000000002
GICRE,1,100.0,8.59,2.0316666666666667
GLAXO,1,100.0,4.7,1.3833333333333333
GMDCLTD,1,0.0,-1.18,0.0
GMRAIRPORT,2,100.0,6.234999999999999,1.7391666666666665
GODFRYPHLP,6,66.66666666666666,2.4833333333333334,1.1805555555555554
GODREJCP,1,0.0,0.0,0.0
GPIL,1,100.0,7.51,1.8516666666666668
GRANULES,2,100.0,0.8400000000000001,0.8400000000000001
GRAPHITE,3,33.33333333333333,1.9233333333333331,0.4538888888888888
GRAVITA,2,50.0,0.7449999999999999,0.32416666666666666
GRSE,5,60.0,0.2459999999999999,0.641
GVT&D,1,100.0,8.67,2.045
HBLENGINE,2,100.0,5.489999999999999,1.615
HCLTECH,3,33.33333333333333,0.16333333333333325,0.16055555555555548
HEG,2,100.0,4.695,1.4825000000000002
HFCL,1,100.0,0.89,0.7483333333333333
HONASA,5,80.0,4.816,1.6026666666666667
HONAUT,3,33.33333333333333,-0.046666666666666634,0.1255555555555555
HSCL,2,50.0,0.095,0.21583333333333335
IFCI,5,60.0,4.24,1.3066666666666666
IGL,2,50.0,2.935,0.6891666666666667
IIFL,4,50.0,3.9475,1.0579166666666666
INDIACEM,4,75.0,5.5575,1.57625
INDUSINDBK,1,100.0,0.04,0.6066666666666667
IRCON,1,100.0,8.04,1.94
IRFC,2,100.0,5.095000000000001,1.5491666666666668
ITI,1,100.0,9.31,2.151666666666667
JBMA,2,50.0,4.155,0.8925000000000001
JINDALSAW,2,100.0,1.1099999999999999,0.885
JKTYRE,4,25.0,2.5475000000000003,0.5745833333333334
JMFINANCIL,2,50.0,0.2549999999999999,0.2425
JPPOWER,1,100.0,2.05,0.9416666666666667
JSWDULUX,3,33.33333333333333,1.92,0.45333333333333325
JUBLINGREA,4,50.0,0.325,0.4541666666666667
JUBLPHARMA,3,100.0,3.563333333333333,1.3938888888888887
JWL,3,100.0,7.406666666666666,2.0344444444444445
JYOTICNC,4,75.0,5.8575,1.62625
KAJARIACER,3,100.0,4.390000000000001,1.5316666666666667
KALYANKJIL,3,33.33333333333333,0.8066666666666666,0.26777777777777767
KAYNES,1,0.0,-2.1,0.0
KEC,1,100.0,7.48,1.846666666666667
KFINTECH,2,100.0,2.615,1.1358333333333333
KIMS,2,100.0,2.7249999999999996,1.1541666666666666
KPIL,1,100.0,0.57,0.6950000000000001
KPRMILL,2,50.0,1.8650000000000002,0.5108333333333334
LALPATHLAB,4,50.0,-0.3225,0.34625
LEMONTREE,1,100.0,10.73,2.3883333333333336
LINDEINDIA,4,50.0,1.7725,0.6954166666666667
LLOYDSME,1,100.0,5.54,1.5233333333333334
LODHA,1,100.0,2.44,1.0066666666666668
LTFOODS,6,66.66666666666666,0.7233333333333333,0.8872222222222221
M&M,1,100.0,0.5,0.6833333333333333
MANAPPURAM,1,100.0,3.32,1.1533333333333333
MANKIND,1,100.0,1.27,0.8116666666666666
MARUTI,3,33.33333333333333,-0.006666666666666672,0.13222222222222216
MAXHEALTH,1,100.0,1.55,0.8583333333333334
MAZDOCK,2,50.0,1.255,0.4091666666666667
MCX,5,40.0,0.9580000000000002,0.5596666666666668
MEDANTA,2,0.0,-0.43,0.0
MMTC,2,50.0,-0.0050000000000000044,0.1991666666666667
MPHASIS,2,100.0,1.44,0.94
MRPL,4,50.0,0.6625,0.5104166666666667
NAVA,5,80.0,1.7120000000000002,1.0853333333333335
NBCC,2,100.0,5.71,1.6516666666666666
NETWEB,1,100.0,7.03,1.7716666666666667
NEULANDLAB,2,100.0,6.755,1.8258333333333332
NIACL,2,100.0,5.295,1.5825
NUVAMA,3,0.0,-1.04,0.0
OFSS,2,0.0,-1.025,0.0
PARADEEP,8,87.5,2.435,1.5808333333333333
PATANJALI,1,0.0,-0.74,0.0
PCBL,3,100.0,4.753333333333333,1.5922222222222222
PERSISTENT,3,66.66666666666666,1.0933333333333335,0.6488888888888888
PFIZER,2,50.0,3.2649999999999997,0.7441666666666666
PGEL,2,0.0,-0.555,0.0
PIIND,1,100.0,0.63,0.7050000000000001
PNBHOUSING,2,100.0,5.1,1.55
POWERINDIA,3,66.66666666666666,1.16,0.6599999999999999
PPLPHARMA,1,0.0,-1.55,0.0
PTCIL,7,42.857142857142854,1.6414285714285715,0.9021428571428571
RAILTEL,1,100.0,4.05,1.275
REDINGTON,2,100.0,2.9,1.1833333333333333
RHIM,1,100.0,2.83,1.0716666666666668
RITES,2,100.0,9.355,2.2591666666666668
RKFORGE,1,100.0,0.73,0.7216666666666667
RPOWER,10,70.0,2.897,1.6828333333333332
RRKABEL,2,50.0,1.685,0.48083333333333333
RVNL,2,100.0,5.895,1.6824999999999999
SARDAEN,1,0.0,-1.4,0.0
SAREGAMA,2,100.0,3.595,1.2991666666666668
SBFC,3,66.66666666666666,3.533333333333333,1.0555555555555554
SCHAEFFLER,1,0.0,-0.53,0.0
SCI,6,50.0,2.21,0.9683333333333333
SHRIRAMFIN,1,0.0,-0.1,0.0
SHYAMMETL,1,100.0,3.54,1.19
SOLARINDS,2,50.0,2.065,0.5441666666666667
SONATSOFTW,1,0.0,-0.37,0.0
SPLPETRO,6,66.66666666666666,1.965,1.0941666666666665
SUZLON,4,25.0,-0.645,0.04250000000000004
SWANCORP,1,0.0,-0.29,0.0
SYRMA,3,33.33333333333333,1.0033333333333332,0.30055555555555546
TARIL,3,66.66666666666666,4.84,1.2733333333333332
TATACOMM,3,33.33333333333333,2.9433333333333334,0.6238888888888888
TATACONSUM,3,100.0,2.393333333333333,1.198888888888889
TATAELXSI,1,0.0,-0.47,0.0
TATAINVEST,1,0.0,-0.65,0.0
TBOTEK,1,100.0,7.52,1.8533333333333333
TECHM,3,33.33333333333333,-1.3466666666666667,0.0
TECHNOE,1,0.0,-3.55,0.0
TEGA,2,100.0,4.285,1.4141666666666668
TEJASNET,4,100.0,8.77,2.361666666666667
TIINDIA,4,50.0,1.8849999999999998,0.7141666666666666
TIMKEN,6,16.666666666666664,0.03833333333333333,0.2730555555555555
TITAGARH,3,100.0,8.416666666666666,2.2027777777777775
TMPV,3,66.66666666666666,3.936666666666666,1.1227777777777774
TRIDENT,2,100.0,9.095,2.2158333333333333
TRITURBINE,1,100.0,3.58,1.1966666666666668
TTML,3,33.33333333333333,5.496666666666667,1.0494444444444444
UNIONBANK,1,100.0,6.87,1.745
UTIAMC,1,100.0,2.25,0.975
VIJAYA,1,100.0,4.86,1.4100000000000001
VTL,3,100.0,8.363333333333333,2.193888888888889
WELCORP,3,66.66666666666666,1.4933333333333334,0.7155555555555555
