entry_date,signal_date,rank,symbol,entry_px,exit_time,exit_px,exit_reason,qty_1x,qty_5x,deployed_1x_rs,deployed_5x_capital_rs,gross_pnl_1x_rs,charges_1x_rs,net_pnl_1x_rs,gross_pnl_5x_rs,charges_5x_rs,net_pnl_5x_rs,stock_ret_pct,final_score,raw_eod_state_z,pattern_stock_prior_z,watchlist_memory_z,stale_loser_penalty,fired_pair_count,fired_patterns
2025-01-01,2024-12-31,1,ITI,390.0,15:29,383.0,EOD,64,320,24960.0,24960.0,-448.0,26.182060672,-474.182060672,-2240.0,90.54486336000001,-2330.54486336,-1.7948717948717996,8.021570227772353,1.4318105588279284,21.07787278942796,0.0,0.0,44,FALCPAT_6427|FALCPAT_6722|FALCPAT_6810|FALCPAT_6967|FALCPAT_7164|FALCPAT_7180|FALCPAT_7201|FALCPAT_7221|FALCPAT_7313|FALCPAT_7324|FALCPAT_7472|FALCPAT_7509|FALCPAT_7519|FALCPAT_7559|FALCPAT_7603|FALCPAT_7621|FALCPAT_7633
2025-01-01,2024-12-31,2,GODFRYPHLP,1733.0,15:29,1695.0,EOD,14,72,24262.0,24955.2,-532.0,25.388086192,-557.388086192,-2736.0,90.39443641599999,-2826.394436416,-2.1927293710328866,1.3577719294354957,1.8498449968303818,1.5009762310337824,0.0,0.0,6,FALCPAT_6266|FALCPAT_6569|FALCPAT_8406|FALCPAT_9005|FALCPAT_9113|FALCPAT_9301
2025-01-01,2024-12-31,3,RITES,292.0,15:29,295.35,EOD,85,428,24820.0,24995.2,284.75000000000193,26.5027229935,258.2472770065019,1433.8000000000097,91.6584319908,1342.1415680092098,1.1472602739726057,1.2426227279103212,1.05524833749677,2.193602788676499,0.0,0.0,9,FALCPAT_6953|FALCPAT_7179|FALCPAT_7620|FALCPAT_7709|FALCPAT_8364|FALCPAT_8568|FALCPAT_8664|FALCPAT_8890|FALCPAT_9301
2025-01-01,2024-12-31,4,SHYAMMETL,726.8,15:29,738.0,EOD,34,171,24711.199999999997,24856.559999999998,380.80000000000155,26.448839523199993,354.35116047680157,1915.2000000000078,91.5519014608,1823.6480985392077,1.5410016510732039,1.210486745400699,1.2928647348722853,1.7962788991662015,0.0,0.0,6,FALCPAT_6145|FALCPAT_6166|FALCPAT_6791|FALCPAT_8099|FALCPAT_8904|FALCPAT_9016
2025-01-01,2024-12-31,5,INTELLECT,962.75,15:29,971.5,EOD,25,129,24068.75,24838.95,218.75,25.6638035125,193.0861964875,1128.75,91.29576562449999,1037.4542343755,0.9088548428979548,1.1211762715051385,1.7685171327519362,0.9295530336193354,0.0,0.0,4,FALCPAT_6882|FALCPAT_7277|FALCPAT_8497|FALCPAT_9204
2025-01-01,2024-12-31,6,TORNTPOWER,1484.0,15:29,1500.0,EOD,16,84,23744.0,24931.2,256.0,25.343270144000005,230.656729856,1344.0,91.519944256,1252.480055744,1.0781671159029615,1.0968947349480869,2.3305598964821304,0.13755080437465175,0.0,0.0,1,FALCPAT_9369
2025-01-01,2024-12-31,7,ZENTEC,2453.7,15:29,2475.95,EOD,10,50,24537.0,24536.999999999996,222.5,26.162761009000004,196.337238991,1112.5,90.75900004500001,1021.740999955,0.9067938215755689,1.094954428097836,2.1522897450872773,0.36121155088160334,0.0,0.0,2,FALCPAT_7253|FALCPAT_8881
2025-01-01,2024-12-31,8,REDINGTON,198.7,15:29,199.5,EOD,125,629,24837.5,24996.46,100.00000000000142,26.40299915,73.59700085000142,503.20000000000715,91.3942905228,411.80570947720713,0.4026170105686955,1.083721057273784,1.661675935494713,0.959905389431895,0.0,0.0,4,FALCPAT_6882|FALCPAT_7209|FALCPAT_8224|FALCPAT_8890
2025-01-01,2024-12-31,9,COHANCE,1111.0,15:29,1120.0,EOD,22,112,24442.0,24886.4,198.0,26.046332532,171.953667468,1008.0,91.344823072,916.655176928,0.8100810081008047,1.0724972811926925,1.6406984389883992,0.9548085247083227,0.0,0.0,4,FALCPAT_6320|FALCPAT_6882|FALCPAT_8546|FALCPAT_8621
2025-01-01,2024-12-31,10,GICRE,435.4,15:29,443.75,EOD,57,287,24817.8,24991.96,475.9500000000013,26.6228012103,449.3271987897013,2396.4500000000066,91.92825772730001,2304.5217422727064,1.917776757005063,1.0472193931522964,2.4193322249423748,-0.11851459449077853,0.0,0.0,0,
2025-01-01,2024-12-31,11,KAYNES,7439.0,15:29,7599.0,EOD,3,16,22317.0,23804.8,480.0,23.973415764,456.026584236,2560.0,89.882985408,2470.117014592,2.150826724022048,0.9879363263849154,1.5797615580098578,0.7915532150870838,0.0,0.0,4,FALCPAT_6236|FALCPAT_6824|FALCPAT_8908|FALCPAT_9270
2025-01-01,2024-12-31,12,HEG,513.85,15:29,530.35,EOD,48,243,24664.800000000003,24973.11,792.0,26.662895481600003,765.3371045184,4009.5,92.35673597559999,3917.1432640244,3.211053809477482,0.9716390612151208,2.2513759317486515,-0.11851459449077853,0.0,0.0,0,
2025-01-01,2024-12-31,13,TARIL,597.95,15:29,598.4,EOD,41,209,24515.95,24994.31,18.449999999997203,26.009800379099996,-7.559800379102793,94.04999999998574,91.2733922959,2.776607704085748,0.07525712852243238,0.9678596344125896,1.505022327526307,0.8302845343592898,0.0,0.0,3,FALCPAT_6894|FALCPAT_7829|FALCPAT_8354
2025-01-01,2024-12-31,14,JWL,504.5,15:29,506.5,EOD,49,247,24720.5,24922.3,98.0,26.277645814,71.722354186,494.0,91.260968042,402.739031958,0.3964321110009994,0.9441668929555519,2.1903266689496097,-0.11851459449077853,0.0,0.0,0,
