entry_date,signal_date,n_eod_positions,n_confirmed,symbols
2025-01-01,2024-12-31,1,1,ITI
2025-01-02,2025-01-01,1,0,
2025-01-03,2025-01-02,1,1,ITI
2025-01-06,2025-01-03,1,1,ITI
2025-01-07,2025-01-06,1,0,
2025-01-08,2025-01-07,2,0,
2025-01-16,2025-01-15,1,1,CREDITACC
2025-01-17,2025-01-16,3,2,"RVNL,BDL"
2025-01-20,2025-01-17,5,4,"CREDITACC,JUBLPHARMA,BDL,RVNL"
2025-01-21,2025-01-20,1,1,ITI
2025-01-23,2025-01-22,5,3,"POLICYBZR,NUVAMA,NAVA"
2025-01-24,2025-01-23,2,1,AEGISLOG
2025-01-27,2025-01-24,3,0,
2025-01-28,2025-01-27,5,1,NUVAMA
2025-01-29,2025-01-28,8,7,"GRAVITA,PGEL,CAPLIPOINT,DATAPATTNS,CGPOWER,NEWGEN,AEGISLOG"
2025-01-30,2025-01-29,5,1,JUBLPHARMA
2025-01-31,2025-01-30,5,3,"PGEL,BDL,NUVAMA"
2025-02-01,2025-01-31,1,0,
2025-02-03,2025-02-01,2,2,"WOCKPHARMA,AEGISLOG"
2025-02-04,2025-02-03,2,2,"CGPOWER,NUVAMA"
2025-02-06,2025-02-05,4,0,
2025-02-07,2025-02-06,4,3,"KFINTECH,GODFRYPHLP,ERIS"
2025-02-10,2025-02-07,3,0,
2025-02-11,2025-02-10,1,0,
2025-02-12,2025-02-11,5,1,NAVA
2025-02-13,2025-02-12,4,0,
2025-02-14,2025-02-13,5,1,GRAVITA
2025-02-17,2025-02-14,5,4,"VIJAYA,PPLPHARMA,NAVA,GRAVITA"
2025-02-18,2025-02-17,7,0,
2025-02-19,2025-02-18,8,6,"RVNL,MAZDOCK,GRSE,JBMA,KFINTECH,AEGISLOG"
2025-02-20,2025-02-19,7,1,VIJAYA
2025-02-21,2025-02-20,6,5,"CREDITACC,AMBER,GRSE,KFINTECH,VIJAYA"
2025-02-24,2025-02-21,5,0,
2025-02-25,2025-02-24,5,2,"VIJAYA,GRAVITA"
2025-02-27,2025-02-25,3,2,"BDL,CREDITACC"
2025-02-28,2025-02-27,7,4,"BLS,KAYNES,FINCABLES,POLYCAB"
2025-03-03,2025-02-28,6,1,WELSPUNLIV
2025-03-04,2025-03-03,11,9,"ACE,OLECTRA,HBLENGINE,SAREGAMA,JBMA,DATAPATTNS,BLS,NUVAMA,GRAVITA"
2025-03-05,2025-03-04,9,9,"ACE,JBMA,CAPLIPOINT,HBLENGINE,BDL,OLECTRA,BLS,NUVAMA,GRAVITA"
2025-03-06,2025-03-05,7,3,"GPIL,JYOTICNC,GRAVITA"
2025-03-07,2025-03-06,9,8,"ANURAS,TARIL,JBMA,INOXWIND,ZENTEC,PPLPHARMA,BLS,GRAVITA"
2025-03-10,2025-03-07,8,1,ANURAS
2025-03-11,2025-03-10,7,2,"NEWGEN,KFINTECH"
2025-03-12,2025-03-11,6,2,"INDUSINDBK,NUVAMA"
2025-03-13,2025-03-12,7,0,
2025-03-17,2025-03-13,8,6,"360ONE,POLICYBZR,INDUSINDBK,KEC,KAYNES,NUVAMA"
2025-03-18,2025-03-17,8,5,"HBLENGINE,POLICYBZR,OLECTRA,BLS,KAYNES"
2025-03-19,2025-03-18,5,4,"HBLENGINE,POLICYBZR,JBMA,GRAVITA"
2025-03-20,2025-03-19,6,1,POLICYBZR
2025-03-21,2025-03-20,6,5,"TARIL,RVNL,BSE,KFINTECH,GRSE"
2025-03-24,2025-03-21,8,2,"KAYNES,GRSE"
2025-03-26,2025-03-25,2,1,INDUSINDBK
2025-03-27,2025-03-26,2,1,INDUSINDBK
2025-03-28,2025-03-27,3,1,ERIS
2025-04-01,2025-03-28,2,2,"KFINTECH,INDUSINDBK"
2025-04-02,2025-04-01,4,3,"360ONE,POLICYBZR,INDUSINDBK"
2025-04-03,2025-04-02,4,2,"KFINTECH,INDUSINDBK"
2025-04-04,2025-04-03,3,1,GALLANTT
2025-04-07,2025-04-04,7,7,"NEWGEN,REDINGTON,GALLANTT,360ONE,KFINTECH,KAYNES,GRAVITA"
2025-04-08,2025-04-07,10,1,KFINTECH
2025-04-09,2025-04-08,6,0,
2025-04-11,2025-04-09,8,4,"WELSPUNLIV,BLS,NEWGEN,KAYNES"
2025-04-15,2025-04-11,8,5,"INTELLECT,ZENSARTECH,JUBLPHARMA,ELGIEQUIP,KAYNES"
2025-04-16,2025-04-15,2,0,
2025-04-17,2025-04-16,4,2,"MAZDOCK,INTELLECT"
2025-04-21,2025-04-17,4,1,INTELLECT
2025-04-22,2025-04-21,3,2,"TATAELXSI,KFINTECH"
2025-04-23,2025-04-22,2,1,ATUL
2025-04-24,2025-04-23,2,0,
2025-04-25,2025-04-24,2,0,
2025-04-29,2025-04-28,2,2,"SONATSOFTW,GRSE"
2025-04-30,2025-04-29,2,0,
2025-05-02,2025-04-30,2,1,SONATSOFTW
2025-05-05,2025-05-02,1,0,
2025-05-07,2025-05-06,1,1,BLS
2025-05-08,2025-05-07,2,2,"BLS,KFINTECH"
2025-05-09,2025-05-08,2,0,
2025-05-12,2025-05-09,1,0,
2025-05-14,2025-05-13,1,1,BDL
2025-05-15,2025-05-14,5,1,INTELLECT
2025-05-16,2025-05-15,6,6,"VIJAYA,ERIS,COCHINSHIP,BDL,MAZDOCK,GRSE"
2025-05-19,2025-05-16,5,0,
2025-05-20,2025-05-19,1,0,
2025-05-22,2025-05-21,2,0,
2025-05-23,2025-05-22,4,4,"JUBLPHARMA,BDL,ERIS,GRSE"
