config_id,signal_date,entry_date,n_positions,symbols,avg_rank,max_rank,avg_score,avg_lift,avg_n_fires,n_premium,n_gold,n_normal_context,regime_mode
v3_rank12_premium_gold_top10,2025-02-28,2025-03-03,10,"PATANJALI,HOMEFIRST,CRAFTSMAN,FIVESTAR,CARTRADE,CHOLAHLDNG,COHANCE,ABREL,PGEL,JBCHEPHARM",5.5,10,1223.1504,14.54601,84.3,3,7,9,risk_off
v3_rank12_premium_gold_top10,2025-03-03,2025-03-04,10,"SHYAMMETL,NAVA,DCMSHRIRAM,CAPLIPOINT,NEULANDLAB,DEEPAKFERT,VIJAYA,JYOTICNC,INDIACEM,JUBLINGREA",5.5,10,1788.9127,18.05688,99.1,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-04,2025-03-05,10,"NAVA,NEULANDLAB,DCMSHRIRAM,POLYMED,DEEPAKFERT,TARIL,TRITURBINE,PCBL,SHYAMMETL,LLOYDSME",5.5,10,1737.2702999999997,18.04557,96.3,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-05,2025-03-06,10,"NEULANDLAB,DEEPAKFERT,NAVA,JYOTICNC,GPIL,JUBLINGREA,TARIL,GRAVITA,POLYMED,DATAPATTNS",5.5,10,1762.9270000000001,17.973270000000003,98.1,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-06,2025-03-07,10,"TARIL,TRITURBINE,GRAVITA,CAPLIPOINT,JUBLINGREA,PARADEEP,ANANTRAJ,NEULANDLAB,DATAPATTNS,HSCL",5.5,10,1742.6634000000001,17.85608,97.6,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-07,2025-03-10,10,"GRAVITA,NEULANDLAB,CAPLIPOINT,TITAGARH,ECLERX,LTFOODS,TARIL,ELECON,HBLENGINE,HSCL",5.5,10,1610.0642,16.94546,95.0,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-10,2025-03-11,10,"GODFRYPHLP,KIMS,SARDAEN,AAVAS,CHENNPETRO,ADANIGREEN,JYOTICNC,GRAPHITE,TATACOMM,MRPL",5.5,10,1309.8333,15.129809999999997,86.4,4,6,10,risk_off
v3_rank12_premium_gold_top10,2025-03-11,2025-03-12,10,"KIMS,GODFRYPHLP,SARDAEN,JYOTICNC,CHENNPETRO,AAVAS,ADANIGREEN,MRPL,GRAPHITE,KALYANKJIL",5.5,10,1291.8644,14.72942,87.5,3,7,10,risk_off
v3_rank12_premium_gold_top10,2025-03-12,2025-03-13,10,"GODFRYPHLP,SARDAEN,JYOTICNC,KIMS,CHENNPETRO,MRPL,ADANIGREEN,AAVAS,GRAPHITE,TATACOMM",5.5,10,1249.9973,14.626619999999999,85.0,3,7,9,risk_off
v3_rank12_premium_gold_top10,2025-03-13,2025-03-17,10,"CHENNPETRO,KIMS,SARDAEN,GODFRYPHLP,JYOTICNC,AAVAS,ADANIGREEN,MRPL,TATACOMM,GRAPHITE",5.5,10,1229.8696,14.54928,84.2,5,5,9,risk_off
v3_rank12_premium_gold_top10,2025-03-17,2025-03-18,10,"TARIL,BSE,BLS,KFINTECH,NUVAMA,MAXHEALTH,JPPOWER,TEJASNET,NIACL,RPOWER",5.5,10,1797.914,18.10802,99.3,10,0,10,risk_off
v3_rank12_premium_gold_top10,2025-03-18,2025-03-19,10,"RPOWER,POLICYBZR,TEJASNET,RHIM,MFSL,BSE,KFINTECH,NUVAMA,LODHA,ANGELONE",5.5,10,1679.9169000000002,17.98717,93.4,10,0,10,risk_on
v3_rank12_premium_gold_top10,2025-03-19,2025-03-20,10,"JMFINANCIL,TEJASNET,MFSL,BLS,OLECTRA,MRPL,MANKIND,ABREL,NUVOCO,RAILTEL",5.5,10,1628.7094,17.701620000000002,92.0,10,0,9,risk_on
