entry_date,selected_n,manual_n,overlap_n,manual_coverage_pct,selected_symbols,manual_symbols
2025-03-03,10,6,4,66.66666666666666,"ABREL,CARTRADE,CHOLAHLDNG,COHANCE,CRAFTSMAN,FIVESTAR,HOMEFIRST,JBCHEPHARM,PATANJALI,PGEL","ABREL,CHOLAHLDNG,PATANJALI,PGEL,SHRIRAMFIN,TATAINVEST"
2025-03-04,10,15,10,66.66666666666666,"CAPLIPOINT,DCMSHRIRAM,DEEPAKFERT,INDIACEM,JUBLINGREA,JYOTICNC,NAVA,NEULANDLAB,SHYAMMETL,VIJAYA","ACUTAAS,CAPLIPOINT,DCMSHRIRAM,DEEPAKFERT,INDIACEM,JINDALSAW,JUBLINGREA,JYOTICNC,NAVA,NEULANDLAB,SAREGAMA,SHYAMMETL,TARIL,VIJAYA,WELCORP"
2025-03-05,10,5,4,80.0,"DCMSHRIRAM,DEEPAKFERT,LLOYDSME,NAVA,NEULANDLAB,PCBL,POLYMED,SHYAMMETL,TARIL,TRITURBINE","DATAPATTNS,LLOYDSME,NAVA,PCBL,TRITURBINE"
2025-03-06,10,2,2,100.0,"DATAPATTNS,DEEPAKFERT,GPIL,GRAVITA,JUBLINGREA,JYOTICNC,NAVA,NEULANDLAB,POLYMED,TARIL","DATAPATTNS,JYOTICNC"
2025-03-07,10,9,5,55.55555555555556,"ANANTRAJ,CAPLIPOINT,DATAPATTNS,GRAVITA,HSCL,JUBLINGREA,NEULANDLAB,PARADEEP,TARIL,TRITURBINE","ANANTRAJ,DATAPATTNS,HSCL,NEULANDLAB,PARADEEP,PCBL,RPOWER,SAREGAMA,TITAGARH"
2025-03-10,10,8,6,75.0,"CAPLIPOINT,ECLERX,ELECON,GRAVITA,HBLENGINE,HSCL,LTFOODS,NEULANDLAB,TARIL,TITAGARH","CAPLIPOINT,ECLERX,GRAVITA,HBLENGINE,HSCL,JINDALSAW,LTFOODS,SWANCORP"
2025-03-11,10,12,8,66.66666666666666,"AAVAS,ADANIGREEN,CHENNPETRO,GODFRYPHLP,GRAPHITE,JYOTICNC,KIMS,MRPL,SARDAEN,TATACOMM","ADANIGREEN,CHENNPETRO,GODFRYPHLP,GRAPHITE,JYOTICNC,KALYANKJIL,KIMS,MCX,MRPL,TATACOMM,TIINDIA,ZFCVINDIA"
2025-03-12,10,6,4,66.66666666666666,"AAVAS,ADANIGREEN,CHENNPETRO,GODFRYPHLP,GRAPHITE,JYOTICNC,KALYANKJIL,KIMS,MRPL,SARDAEN","AAVAS,ADANIGREEN,DOMS,JYOTICNC,MRPL,ZFCVINDIA"
2025-03-13,10,9,4,44.44444444444444,"AAVAS,ADANIGREEN,CHENNPETRO,GODFRYPHLP,GRAPHITE,JYOTICNC,KIMS,MRPL,SARDAEN,TATACOMM","CHENNPETRO,GRAPHITE,KALYANKJIL,MCX,MRPL,TATACOMM,TIINDIA,ZENTEC,ZFCVINDIA"
2025-03-17,10,7,3,42.857142857142854,"AAVAS,ADANIGREEN,CHENNPETRO,GODFRYPHLP,GRAPHITE,JYOTICNC,KIMS,MRPL,SARDAEN,TATACOMM","GRAPHITE,KALYANKJIL,MCX,SARDAEN,TATACOMM,TIINDIA,ZENTEC"
