config_id,top_n,profile_weight,rule_weight,prior_weight,outcome_weight,cv_avg_sum5x,cv_median_sum5x,cv_worst_sum5x,cv_avg_win_pct,cv_avg_worst_month,cv_score
C0057,15,1.0,1.5,1.5,0.5,-53.74173671145989,-26.995833881628016,-235.03800741875278,45.71862422025717,-34.06462049615624,-135.37111274695297
C0061,15,1.75,0.75,0.0,0.5,-47.375701742285116,-32.513572222607564,-226.99952643808007,49.09678347905523,-32.06323241466306,-136.19397874583655
C0055,15,1.0,1.5,0.0,0.5,-51.295074326688635,-36.68799367736685,-218.8357063011006,48.611569815539525,-33.5838088062932,-136.38353286480927
C0067,15,1.75,1.5,0.0,0.5,-52.08354876460024,-33.17097325092503,-236.83053736366801,47.85111953248951,-33.88449288569587,-142.01601802626112
C0036,12,1.75,0.75,0.0,0.0,-55.74431396483992,-35.94603171759372,-235.19264048484587,47.8168586629517,-36.646058826225946,-143.9789802274263
C0049,15,1.0,0.75,0.0,0.5,-53.004384973715304,-34.49869510310327,-239.9372715894198,45.82292402018594,-32.944637369971936,-145.30274609377597
C0048,15,1.0,0.75,0.0,0.0,-53.13508901148249,-36.61270392745607,-240.86238055374056,48.749067614550036,-34.172976644131445,-147.29408068141635
C0054,15,1.0,1.5,0.0,0.0,-58.581917838779155,-36.036406366891946,-242.56790192321589,46.76437552969121,-36.4329081369315,-147.96748222256164
C0060,15,1.75,0.75,0.0,0.0,-53.48959945926592,-33.787706572235734,-248.9410375224826,48.25520166792175,-33.79578852004737,-148.60718499989267
C0069,15,1.75,1.5,1.5,0.5,-58.23662696603513,-35.84508137977445,-245.6135040487603,46.36127356614326,-36.85950705161973,-149.37957869092594
C0068,15,1.75,1.5,1.5,0.0,-61.05981579419693,-33.50101106652139,-252.29530708970455,46.15590561595128,-36.185720935414864,-150.41748348818342
C0063,15,1.75,0.75,1.5,0.5,-54.43860238651775,-33.08550055351449,-257.658126089116,47.79747765678468,-34.047907681220124,-152.35506806671557
C0031,12,1.0,1.5,0.0,0.5,-51.55348537535941,-44.501897302109185,-234.44006893915656,44.72653434836489,-36.49864511456667,-152.7766249020145
C0024,12,1.0,0.75,0.0,0.0,-58.17070656058963,-45.79161896791118,-233.97396637949356,47.09885078983793,-39.68442724758543,-153.35883199969038
C0035,12,1.0,1.5,3.0,0.5,-67.49913210930825,-27.270617524201676,-270.8280876651593,44.08110087127007,-39.309304914861556,-153.8684411825273
C0056,15,1.0,1.5,1.5,0.0,-62.74519940777131,-34.10745219618889,-258.044365345619,45.85161605530014,-37.52810816963923,-153.95931165793834
C0042,12,1.75,1.5,0.0,0.0,-55.90260722786812,-43.346662077843625,-240.05708237044632,46.583202637244014,-38.39322008387528,-154.05856273561798
C0043,12,1.75,1.5,0.0,0.5,-58.44571612669277,-43.830918616233646,-239.35530004741338,45.38443479464699,-36.82838880151259,-154.43168168101093
C0027,12,1.0,0.75,1.5,0.5,-63.567883060770285,-37.00540089664712,-252.80968549812488,44.52081522566172,-38.59511325610816,-154.5060806005772
C0066,15,1.75,1.5,0.0,0.0,-56.57058305451636,-36.39995597512487,-255.86808969008325,48.14749098138469,-35.36435127335865,-154.70450262388957
C0071,15,1.75,1.5,3.0,0.5,-62.00958386744885,-31.9845332373582,-264.4867654538775,45.686882590211255,-37.27488704456759,-155.0905394462547
C0012,10,1.75,0.75,0.0,0.0,-57.506390462505394,-38.81023325790361,-252.63586093156866,47.68188863428713,-37.12358898959276,-155.5917859968305
