tag,baskets,avg_names,win_pct,sum_ret5x_pct,sum_ret1x_pct,avg_day5x_pct,compounded_ret_pct,end_equity,max_dd_pct,config_id,top_n,profile_weight,rule_weight,prior_weight,outcome_weight,top_features,top_rules
train_C0061,163,15.0,36.809815950920246,-10.88536882402164,-2.177073764804328,-0.06678140382835362,-37.305625902134366,313471.87048932817,76.25462897852677,C0061,15,1.75,0.75,0.0,0.5,70,160
train_C0055,163,14.993865030674847,37.423312883435585,-14.642633294088512,-2.9285266588177024,-0.08983210609870253,-37.53409394591739,312329.53027041303,70.57069585578787,C0055,15,1.0,1.5,0.0,0.5,70,160
train_C0049,163,15.0,36.809815950920246,-17.346297403482723,-3.4692594806965444,-0.10641900247535413,-40.97432782208897,295128.36088955513,72.2917867709919,C0049,15,1.0,0.75,0.0,0.5,70,160
train_C0057,163,15.0,33.74233128834356,-25.3913927868837,-5.0782785573767395,-0.15577541587045216,-46.4017033843555,267991.4830782225,80.47811043540003,C0057,15,1.0,1.5,1.5,0.5,70,160
train_C0067,163,15.0,33.12883435582822,-47.18332939451342,-9.436665878902684,-0.28946827849394735,-55.38306105863071,223084.69470684644,81.10422707715539,C0067,15,1.75,1.5,0.0,0.5,70,160
train_C0060,163,15.0,34.96932515337423,-55.68793050992606,-11.137586101985212,-0.3416437454596691,-58.521531951913786,207392.3402404311,87.91392336661426,C0060,15,1.75,0.75,0.0,0.0,70,160
train_C0069,163,15.0,31.901840490797547,-63.699843125629336,-12.739968625125867,-0.390796583592818,-62.494536705428295,187527.31647285854,82.9727425418141,C0069,15,1.75,1.5,1.5,0.5,70,160
train_C0054,163,14.987730061349692,36.809815950920246,-68.75532761620208,-13.751065523240417,-0.4218118258662704,-61.713500079314656,191432.49960342672,79.22323492195073,C0054,15,1.0,1.5,0.0,0.0,70,160
train_C0048,163,15.0,35.58282208588957,-76.8918480233431,-15.37836960466862,-0.471729128977565,-65.5229976494459,172385.0117527705,85.48855244269095,C0048,15,1.0,0.75,0.0,0.0,70,160
train_C0036,163,12.0,29.447852760736197,-132.9386205738233,-26.58772411476466,-0.8155743593486092,-80.79689052243744,96015.5473878128,91.21256767109725,C0036,12,1.75,0.75,0.0,0.0,70,160
