symbol,train_selected_n,train_avg_rank,train_avg_stock_ret,symbol_prior
VTL,3,1.3333333333333333,8.363333333333333,2.114141414141414
TBOTEK,1,1.0,7.52,1.9854545454545454
NEULANDLAB,4,4.25,7.5249999999999995,1.9057765151515151
ITI,4,6.5,8.125,1.8151515151515152
RPOWER,22,6.136363636363637,1.2313636363636364,1.8114962121212121
AEGISLOG,18,7.333333333333333,2.6338888888888885,1.7251957070707071
TRIDENT,2,6.5,9.095,1.7242424242424241
WELSPUNLIV,2,1.0,4.965,1.7115340909090908
PGEL,20,8.1,2.003,1.6861325757575758
TITAGARH,7,5.571428571428571,4.857142857142857,1.6205627705627705
CEMPRO,5,7.4,6.448,1.6066060606060608
GLAND,3,3.6666666666666665,5.1499999999999995,1.6023358585858585
FACT,6,5.5,4.806666666666667,1.573560606060606
GODFRYPHLP,17,6.411764705882353,1.2276470588235295,1.5653988413547237
ADANIPOWER,3,9.666666666666666,10.073333333333332,1.5585858585858587
TTML,3,5.0,5.496666666666667,1.556780303030303
PTCIL,17,7.0,1.3423529411764705,1.5405213903743313
INTELLECT,2,6.5,6.23,1.5029924242424242
JWL,9,9.11111111111111,5.073333333333333,1.5025168350168352
HONASA,13,6.923076923076923,2.3123076923076926,1.4850757575757576
VIJAYA,14,7.642857142857143,2.3007142857142857,1.4810957792207793
YESBANK,4,3.0,3.4375,1.4781723484848486
TEJASNET,8,6.25,3.68375,1.4741051136363637
BDL,15,8.8,2.417333333333333,1.4639848484848483
TARIL,14,7.357142857142857,2.0007142857142854,1.4626433982683982
GRSE,15,6.0,0.8726666666666667,1.4575681818181818
JYOTICNC,7,5.857142857142857,3.6314285714285717,1.4483008658008658
SRF,4,1.5,2.3825,1.4462973484848485
GPIL,4,5.25,4.38,1.4459848484848483
SHYAMMETL,8,2.625,1.31125,1.4192092803030303
AJANTPHARM,3,1.3333333333333333,2.3966666666666665,1.4137247474747474
CAPLIPOINT,5,7.0,4.465999999999999,1.3855227272727273
IFCI,7,8.571428571428571,4.281428571428571,1.3485984848484849
GRAVITA,8,6.25,2.6775,1.3483238636363637
CHENNPETRO,2,5.0,4.19,1.3479924242424244
CRAFTSMAN,11,7.818181818181818,2.411818181818182,1.3469318181818182
CGCL,4,1.5,1.5775,1.3456723484848485
SUPREMEIND,3,1.0,1.6233333333333333,1.3392803030303029
PARADEEP,12,7.5,1.7750000000000001,1.333996212121212
BEML,11,7.818181818181818,2.269090909090909,1.329090909090909
RVNL,7,7.285714285714286,3.391428571428571,1.3230627705627707
ACE,3,5.666666666666667,3.9466666666666668,1.3185858585858585
IDEA,1,1.0,2.18,1.3179545454545454
PCBL,7,5.428571428571429,2.3242857142857143,1.3134794372294372
ENDURANCE,4,5.0,3.1225000000000005,1.3054640151515151
FIVESTAR,10,6.2,1.53,1.2991287878787878
DELHIVERY,2,6.5,4.58,1.2967424242424244
ZENTEC,8,6.625,2.44875,1.2947301136363636
RAILTEL,5,5.0,2.654,1.2923560606060605
CONCORDBIO,12,3.8333333333333335,-0.5641666666666666,1.2860448232323232
JBMA,4,3.75,2.2475,1.2794223484848486
SAREGAMA,9,7.222222222222222,2.2244444444444444,1.27233164983165
COFORGE,10,6.0,1.2029999999999998,1.271587121212121
DCMSHRIRAM,14,9.428571428571429,1.51,1.2632088744588745
PERSISTENT,10,7.2,1.7599999999999998,1.2612121212121212
APARINDS,6,4.166666666666667,1.5716666666666665,1.258074494949495
ATGL,2,13.5,8.96,1.2575757575757576
DEVYANI,4,5.5,2.995,1.256193181818182
KPIL,4,2.5,1.3575,1.2515056818181818
