feature,pos_mean,universe_mean,delta,abs_delta
atr_20_pct__pct,0.6710740354040902,0.501059677961283,0.17001435744280713,0.17001435744280713
range_compress_7__pct,0.33619056803898867,0.5010581464371435,-0.16486757839815486,0.16486757839815486
ret_std_20d__pct,0.6567734893129614,0.501059677961283,0.1557138113516784,0.1557138113516784
lower_wick_pct__pct,0.6181531989733176,0.5010576960284804,0.11709550294483717,0.11709550294483717
turn_pct_252__pct,0.6086107601445451,0.5010719374615998,0.10753882268294523,0.10753882268294523
range_pct__pct,0.6082040908847262,0.5010574641493861,0.10714662673534003,0.10714662673534003
range_vs_prev_pct__pct,0.6077377037866168,0.5010576960284804,0.10668000775813646,0.10668000775813646
ret3_pct__pct,0.6068903148466611,0.5010581464371435,0.10583216840951759,0.10583216840951759
upper_wick_pct__pct,0.5949383905633147,0.5010576960284804,0.09388069453483427,0.09388069453483427
ret5_pct__pct,0.5928835342165409,0.5010585835635537,0.09182495065298724,0.09182495065298724
rs_market_5d__pct,0.5928835342165409,0.5010585835635537,0.09182495065298724,0.09182495065298724
rs_sector_5d__pct,0.5868755801820482,0.5010585835635537,0.08581699661849451,0.08581699661849451
ret2_pct__pct,0.5828558528637406,0.5010579280092892,0.08179792485445148,0.08179792485445148
dist_high_120__pct,0.4302660223922837,0.5010668609567921,-0.07080083856450842,0.07080083856450842
vol_ratio_20d__pct,0.5699542621722287,0.501059677961283,0.06889458421094563,0.06889458421094563
vol_ratio_60d__pct,0.5693495457776738,0.5010643406928599,0.06828520508481395,0.06828520508481395
dist_high_60__pct,0.4344333282909825,0.5010619973320555,-0.06662866904107295,0.06662866904107295
vol_dry_count_7__pct,0.4370338414762246,0.5010581464371435,-0.06402430496091893,0.06402430496091893
dist_high_252__pct,0.43998424922196416,0.50107898996013,-0.06109474073816584,0.06109474073816584
vol_avg60__pct,0.450579864255472,0.5010643406928599,-0.050484476437387904,0.050484476437387904
vol_avg20__pct,0.45443787218968557,0.501059677961283,-0.04662180577159747,0.04662180577159747
dist_high_20__pct,0.4596132819207538,0.5010588022622214,-0.041445520341467645,0.041445520341467645
ret10_pct__pct,0.5410183894655347,0.501059677961283,0.039958711504251676,0.039958711504251676
dist_sma_200__pct,0.5393398970392509,0.5010736638122921,0.03826623322695877,0.03826623322695877
true_range__pct,0.5385527172981066,0.5010576960284804,0.03749502126962623,0.03749502126962623
daily_ret_pct__pct,0.46617926822327305,0.5010576960284804,-0.034878427805207335,0.034878427805207335
dist_sma_20__pct,0.5352802715047317,0.5010594589007468,0.03422081260398491,0.03422081260398491
vol_ratio_10d__pct,0.5345284318275111,0.5010585835635537,0.03346984826395738,0.03346984826395738
body_pct__pct,0.4677246139418199,0.5010576960284804,-0.03333308208666047,0.03333308208666047
vol_avg10__pct,0.46916700692178387,0.5010585835635537,-0.03189157664176984,0.03189157664176984
turnover__pct,0.46950413657438783,0.5010574641493861,-0.03155332757499829,0.03155332757499829
ret60_pct__pct,0.4711776785374776,0.5010722177909699,-0.02989453925349228,0.02989453925349228
volume__pct,0.477021372282742,0.5010574641493861,-0.024036091866644127,0.024036091866644127
ret_z_20d__pct,0.48039241622024287,0.501059677961283,-0.020667261741040166,0.020667261741040166
down_day_streak__pct,0.48134563051492213,0.5010574641493861,-0.019711833634463993,0.019711833634463993
rs_sector_20d__pct,0.48148242198314195,0.5010619973320555,-0.019579575348913525,0.019579575348913525
ret20_pct__pct,0.48320446970624226,0.5010619973320555,-0.01785752762581322,0.01785752762581322
rs_market_20d__pct,0.48320446970624226,0.5010619973320555,-0.01785752762581322,0.01785752762581322
dist_high_10__pct,0.4843935659711857,0.5010585835635537,-0.016665017592367992,0.016665017592367992
up_day_streak__pct,0.5177064791451277,0.5010574641493861,0.016649014995741562,0.016649014995741562
vol_ratio_5d__pct,0.48478555405629714,0.5010581464371435,-0.016272592380846385,0.016272592380846385
ret40_pct__pct,0.4848128105788226,0.5010668609567921,-0.01625405037796951,0.01625405037796951
dist_sma_100__pct,0.48498390566107175,0.5010648106065525,-0.016080904945480756,0.016080904945480756
vol_avg5__pct,0.48667403139662374,0.5010581464371435,-0.014384115040519785,0.014384115040519785
close_loc__pct,0.4869688194671109,0.5010574641493861,-0.01408864468227522,0.01408864468227522
dist_sma_50__pct,0.4880220309111819,0.5010608432410055,-0.013038812329823624,0.013038812329823624
sector_ret20_mean__pct,0.5130772958864032,0.5010574641493861,0.01201983173701704,0.01201983173701704
sector_ret5_mean__pct,0.5091878350237514,0.5010574641493861,0.0081303708743653,0.0081303708743653
high__pct,0.5090242980857436,0.5010574641493861,0.007966833936357443,0.007966833936357443
prev_close__pct,0.5089648289528226,0.5010576960284804,0.007907132924342197,0.007907132924342197
open__pct,0.5087010940999644,0.5010574641493861,0.007643629950578323,0.007643629950578323
close__pct,0.5080649579462074,0.5010574641493861,0.007007493796821307,0.007007493796821307
low__pct,0.5074910695279112,0.5010574641493861,0.006433605378525109,0.006433605378525109
open_gap_pct__pct,0.5006325816775232,0.5010576960284804,-0.00042511435095715644,0.00042511435095715644
market_ret5__pct,0.5010580102285709,0.5010574641493861,5.460791847600177e-07,5.460791847600177e-07
market_ret1__pct,0.5010580102285709,0.5010574641493861,5.460791847600177e-07,5.460791847600177e-07
market_adv_pct__pct,0.5010580102285709,0.5010574641493861,5.460791847600177e-07,5.460791847600177e-07
market_ret20__pct,0.5010580102285709,0.5010574641493861,5.460791847600177e-07,5.460791847600177e-07
