rule_id,feature,direction,threshold,selected_n,fired_n,precision,lift,rank_mean,outcome_mean_5x,score
R0189,down_day_streak__pct,lo,0.05,9,218,0.04128440366972477,2.230911357606368,8.666666666666666,3.0127767016539346,9.126504040601109
R0041,ret3_pct__pct,hi,0.95,278,3936,0.07063008130081301,3.816682246961843,8.147482014388489,-0.8160326445601814,3.89223164097284
R0046,ret5_pct__pct,hi,0.95,269,3937,0.0683261366522733,3.6921825369783146,8.096654275092936,-0.7097725490667641,3.7224693736311307
R0210,rs_market_5d__pct,hi,0.95,269,3937,0.0683261366522733,3.6921825369783146,8.096654275092936,-0.7097725490667641,3.7224693736311307
R0197,rs_sector_5d__pct,hi,0.95,261,3936,0.0663109756097561,3.5832880088382772,8.25287356321839,-0.7909260163559688,3.4824876913526532
R0040,ret3_pct__pct,hi,0.9,439,7832,0.05605209397344229,3.028922351969763,8.328018223234624,-0.7088115754174307,2.960807959639174
R0037,ret2_pct__pct,hi,0.95,217,3936,0.05513211382113821,2.979208804283165,7.829493087557604,-1.0027911264185048,2.7210443522267345
R0196,rs_sector_5d__pct,hi,0.9,403,7828,0.051481859989780276,2.781957735921618,8.094292803970223,-0.7998899861659738,2.642054651912987
R0045,ret5_pct__pct,hi,0.9,396,7829,0.050581172563545794,2.733286721440833,8.106060606060606,-0.7865721122237745,2.558592837061602
R0209,rs_market_5d__pct,hi,0.9,396,7829,0.050581172563545794,2.733286721440833,8.106060606060606,-0.7865721122237745,2.558592837061602
R0106,dist_sma_20__pct,hi,0.95,203,3937,0.05156210312420625,2.7862938847828915,7.822660098522167,-1.1200731929303687,2.427577566361702
R0052,ret10_pct__pct,hi,0.95,196,3936,0.049796747967479675,2.690898274836407,8.107142857142858,-0.7460263023357006,2.2034292138254985
R0069,ret60_pct__pct,lo,0.05,141,3745,0.0376502002670227,2.0345276163804935,7.843971631205674,-0.08670818549622474,2.1602488151384103
R0036,ret2_pct__pct,hi,0.9,345,7830,0.044061302681992334,2.380968400817013,8.060869565217391,-0.9103543921208547,2.0030791301013853
