entry_date,picked_n,manual_n,overlap_n,manual_coverage_pct
2024-10-01,15,12,0,0.0
2024-10-03,15,10,0,0.0
2024-10-04,15,6,0,0.0
2024-10-07,15,10,4,40.0
2024-10-08,15,15,3,20.0
2024-10-09,15,6,0,0.0
2024-10-10,15,11,3,27.27272727272727
2024-10-11,15,9,0,0.0
2024-10-14,15,9,4,44.44444444444444
2024-10-15,15,9,0,0.0
2024-10-16,15,8,0,0.0
2024-10-17,15,10,2,20.0
2024-10-18,15,13,2,15.384615384615385
2024-10-21,15,5,1,20.0
2024-10-22,15,14,0,0.0
2024-10-23,15,13,1,7.6923076923076925
2024-10-24,15,7,0,0.0
2024-10-25,15,9,1,11.11111111111111
2024-10-28,15,13,3,23.076923076923077
2024-10-29,15,5,1,20.0
2024-10-30,15,11,0,0.0
2024-10-31,15,5,2,40.0
2024-11-01,15,11,2,18.181818181818183
2024-11-04,15,10,1,10.0
2024-11-05,15,14,0,0.0
2024-11-06,15,12,0,0.0
2024-11-07,15,1,0,0.0
2024-11-08,15,10,2,20.0
2024-11-11,15,10,3,30.0
2024-11-12,15,13,1,7.6923076923076925
2024-11-13,15,10,1,10.0
2024-11-14,15,13,3,23.076923076923077
2024-11-18,15,2,0,0.0
2024-11-19,15,10,2,20.0
2024-11-21,15,6,1,16.666666666666664
2024-11-22,15,8,2,25.0
2024-11-25,15,8,3,37.5
2024-11-26,15,10,2,20.0
2024-11-27,15,7,1,14.285714285714285
2024-11-28,15,2,0,0.0
2024-11-29,15,7,2,28.57142857142857
2024-12-02,15,10,5,50.0
2024-12-03,15,11,1,9.090909090909092
2024-12-04,15,8,0,0.0
2024-12-05,15,8,1,12.5
2024-12-06,15,9,0,0.0
2024-12-09,15,9,1,11.11111111111111
2024-12-10,15,7,1,14.285714285714285
2024-12-11,15,7,2,28.57142857142857
2024-12-12,15,10,0,0.0
2024-12-13,15,9,0,0.0
2024-12-16,15,9,4,44.44444444444444
2024-12-17,15,7,1,14.285714285714285
2024-12-18,15,8,1,12.5
2024-12-19,15,8,1,12.5
2024-12-20,15,8,3,37.5
2024-12-23,15,7,4,57.14285714285714
2024-12-24,15,7,0,0.0
2024-12-26,15,8,2,25.0
2024-12-27,15,9,1,11.11111111111111
2024-12-30,15,7,3,42.857142857142854
2024-12-31,15,14,1,7.142857142857142
2025-01-01,15,10,2,20.0
2025-01-02,15,10,0,0.0
2025-01-03,15,8,1,12.5
2025-01-06,15,7,4,57.14285714285714
2025-01-07,15,12,2,16.666666666666664
2025-01-08,15,6,0,0.0
2025-01-09,15,13,2,15.384615384615385
2025-01-10,15,8,2,25.0
2025-01-13,15,10,5,50.0
2025-01-14,15,15,0,0.0
2025-01-16,15,11,1,9.090909090909092
2025-01-17,15,2,1,50.0
2025-01-20,15,10,5,50.0
2025-01-21,15,12,0,0.0
2025-01-22,15,15,0,0.0
2025-01-23,15,12,0,0.0
2025-01-24,15,2,0,0.0
2025-01-27,15,9,2,22.22222222222222
2025-01-28,15,15,2,13.333333333333334
2025-01-29,15,12,4,33.33333333333333
2025-01-30,15,2,0,0.0
2025-01-31,15,12,2,16.666666666666664
2025-02-01,15,6,0,0.0
2025-02-03,15,9,2,22.22222222222222
2025-02-04,15,14,1,7.142857142857142
2025-02-05,15,7,1,14.285714285714285
2025-02-06,15,6,0,0.0
2025-02-07,15,11,3,27.27272727272727
2025-02-10,15,11,0,0.0
2025-02-11,15,12,0,0.0
2025-02-12,15,13,2,15.384615384615385
2025-02-13,15,9,0,0.0
2025-02-14,15,7,1,14.285714285714285
2025-02-17,15,12,1,8.333333333333332
2025-02-18,15,11,2,18.181818181818183
2025-02-19,15,13,1,7.6923076923076925
2025-02-20,15,2,0,0.0
2025-02-21,15,6,2,33.33333333333333
2025-02-24,15,7,2,28.57142857142857
2025-02-25,15,14,1,7.142857142857142
2025-02-27,15,14,1,7.142857142857142
2025-02-28,15,10,0,0.0
2025-03-03,15,6,1,16.666666666666664
2025-03-04,15,15,0,0.0
2025-03-05,15,5,1,20.0
2025-03-06,15,2,2,100.0
2025-03-07,15,9,1,11.11111111111111
2025-03-10,15,8,0,0.0
2025-03-11,15,12,1,8.333333333333332
2025-03-12,15,6,1,16.666666666666664
2025-03-13,15,9,2,22.22222222222222
2025-03-17,15,7,2,28.57142857142857
2025-03-18,15,12,1,8.333333333333332
2025-03-20,15,4,0,0.0
2025-03-21,15,12,2,16.666666666666664
2025-03-24,15,1,0,0.0
2025-03-25,15,11,1,9.090909090909092
2025-03-26,15,13,1,7.6923076923076925
2025-03-27,15,10,0,0.0
2025-03-28,15,7,1,14.285714285714285
2025-04-01,15,6,1,16.666666666666664
2025-04-02,15,7,0,0.0
2025-04-03,15,9,2,22.22222222222222
2025-04-04,15,5,2,40.0
2025-04-07,15,15,8,53.333333333333336
2025-04-08,15,15,1,6.666666666666667
2025-04-09,15,7,0,0.0
2025-04-11,15,14,0,0.0
2025-04-15,15,3,0,0.0
2025-04-16,15,4,0,0.0
2025-04-17,15,3,2,66.66666666666666
2025-04-21,15,8,3,37.5
2025-04-22,15,5,0,0.0
2025-04-23,15,12,0,0.0
2025-04-24,15,3,2,66.66666666666666
2025-04-25,15,9,1,11.11111111111111
2025-04-28,15,12,2,16.666666666666664
2025-04-29,15,7,1,14.285714285714285
2025-04-30,15,7,0,0.0
2025-05-02,15,8,1,12.5
2025-05-05,15,9,3,33.33333333333333
2025-05-06,15,11,1,9.090909090909092
2025-05-07,15,15,0,0.0
2025-05-08,15,5,1,20.0
2025-05-09,15,10,1,10.0
2025-05-12,15,6,3,50.0
2025-05-13,15,1,0,0.0
2025-05-14,15,11,0,0.0
2025-05-15,15,6,0,0.0
2025-05-16,15,9,1,11.11111111111111
2025-05-19,15,4,1,25.0
2025-05-20,15,12,2,16.666666666666664
2025-05-21,15,14,2,14.285714285714285
2025-05-22,15,8,1,12.5
2025-05-23,15,8,1,12.5
2025-05-26,15,8,4,50.0
2025-05-27,15,10,0,0.0
2025-05-28,15,8,1,12.5
2025-05-29,15,5,0,0.0
2025-05-30,15,6,1,16.666666666666664
2025-06-02,15,0,0,0.0
2025-06-03,15,0,0,0.0
2025-06-04,15,0,0,0.0
2025-06-05,15,0,0,0.0
2025-06-06,15,0,0,0.0
2025-06-09,15,0,0,0.0
2025-06-10,15,0,0,0.0
2025-06-11,15,0,0,0.0
2025-06-12,15,0,0,0.0
2025-06-13,15,0,0,0.0
2025-06-16,15,0,0,0.0
2025-06-17,15,0,0,0.0
2025-06-18,15,0,0,0.0
2025-06-19,15,0,0,0.0
2025-06-20,15,0,0,0.0
2025-06-23,15,0,0,0.0
2025-06-24,15,0,0,0.0
2025-06-25,15,0,0,0.0
2025-06-26,15,0,0,0.0
2025-06-27,15,0,0,0.0
2025-06-30,15,0,0,0.0
2025-07-01,15,0,0,0.0
2025-07-02,15,0,0,0.0
2025-07-03,15,0,0,0.0
2025-07-04,15,0,0,0.0
2025-07-07,15,0,0,0.0
2025-07-08,15,0,0,0.0
2025-07-09,15,0,0,0.0
2025-07-10,15,0,0,0.0
2025-07-11,15,0,0,0.0
2025-07-14,15,0,0,0.0
2025-07-15,15,0,0,0.0
2025-07-16,15,0,0,0.0
2025-07-17,15,0,0,0.0
2025-07-18,15,0,0,0.0
2025-07-21,15,0,0,0.0
2025-07-22,15,0,0,0.0
2025-07-23,15,0,0,0.0
2025-07-24,15,0,0,0.0
2025-07-25,15,0,0,0.0
2025-07-28,15,0,0,0.0
2025-07-29,15,0,0,0.0
2025-07-30,15,0,0,0.0
2025-07-31,15,0,0,0.0
2025-08-01,15,0,0,0.0
2025-08-04,15,0,0,0.0
2025-08-05,15,0,0,0.0
2025-08-06,15,0,0,0.0
2025-08-07,15,0,0,0.0
2025-08-08,15,0,0,0.0
2025-08-11,15,0,0,0.0
2025-08-12,15,0,0,0.0
2025-08-13,15,0,0,0.0
2025-08-14,15,0,0,0.0
2025-08-18,15,0,0,0.0
2025-08-19,15,0,0,0.0
2025-08-20,15,0,0,0.0
2025-08-21,15,0,0,0.0
2025-08-22,15,0,0,0.0
2025-08-25,15,0,0,0.0
2025-08-26,15,0,0,0.0
2025-08-28,15,0,0,0.0
2025-08-29,15,0,0,0.0
2025-09-01,15,0,0,0.0
2025-09-02,15,0,0,0.0
2025-09-03,15,0,0,0.0
2025-09-04,15,0,0,0.0
2025-09-05,15,0,0,0.0
2025-09-08,15,0,0,0.0
2025-09-09,15,0,0,0.0
2025-09-10,15,0,0,0.0
2025-09-11,15,0,0,0.0
2025-09-12,15,0,0,0.0
2025-09-15,15,0,0,0.0
2025-09-16,15,0,0,0.0
2025-09-17,15,0,0,0.0
2025-09-18,15,0,0,0.0
2025-09-19,15,0,0,0.0
2025-09-22,15,0,0,0.0
2025-09-23,15,0,0,0.0
2025-09-24,15,0,0,0.0
2025-09-25,15,0,0,0.0
2025-09-26,15,0,0,0.0
2025-09-29,15,0,0,0.0
2025-09-30,15,0,0,0.0
2025-10-01,15,0,0,0.0
2025-10-03,15,0,0,0.0
2025-10-06,15,0,0,0.0
2025-10-07,15,0,0,0.0
2025-10-08,15,0,0,0.0
2025-10-09,15,0,0,0.0
2025-10-10,15,0,0,0.0
2025-10-13,15,0,0,0.0
2025-10-14,15,0,0,0.0
2025-10-15,15,0,0,0.0
2025-10-16,15,0,0,0.0
2025-10-17,15,0,0,0.0
2025-10-20,15,0,0,0.0
2025-10-21,15,0,0,0.0
2025-10-23,15,0,0,0.0
2025-10-24,15,0,0,0.0
2025-10-27,15,0,0,0.0
2025-10-28,15,0,0,0.0
2025-10-29,15,0,0,0.0
2025-10-30,15,0,0,0.0
2025-10-31,15,0,0,0.0
