entry_date,signal_date,n_positions,symbols,avg_score,avg_rule_score,avg_profile_score
2024-12-02,2024-11-29,15,"GRSE,ATGL,LTFOODS,MAZDOCK,HUDCO,PREMIERENE,BDL,AEGISLOG,JPPOWER,JUBLINGREA,HBLENGINE,PCBL,WOCKPHARMA,NAVA,BEML",7.35744279191202,2.722027366148465,1.7012828760560064
2024-12-03,2024-12-02,15,"LTFOODS,PREMIERENE,FACT,PGEL,HUDCO,JUBLINGREA,OLAELEC,CARTRADE,WOCKPHARMA,BDL,GRSE,GALLANTT,POLICYBZR,NEULANDLAB,JPPOWER",7.832478897884931,3.0001981954995056,1.809996761968208
2024-12-04,2024-12-03,15,"PGEL,MAZDOCK,PREMIERENE,FACT,CAPLIPOINT,OLAELEC,INOXWIND,LLOYDSME,NEULANDLAB,LTFOODS,GALLANTT,JPPOWER,GRSE,ADANIPORTS,BDL",7.651328094319582,2.9248789029377416,1.8283689301862915
2024-12-05,2024-12-04,15,"GALLANTT,LTFOODS,SARDAEN,POLICYBZR,PREMIERENE,MAZDOCK,PGEL,CAPLIPOINT,GRAPHITE,NEULANDLAB,GRSE,AFFLE,OLAELEC,HEG,INOXWIND",8.219956873467384,2.9233772943138736,1.8569351063250115
2024-12-06,2024-12-05,15,"HEG,KEC,NEWGEN,CAPLIPOINT,JYOTICNC,PREMIERENE,SWANCORP,GALLANTT,GRAPHITE,SARDAEN,NIVABUPA,LODHA,POLICYBZR,PGEL,HSCL",8.15026703504787,2.8360758813906113,1.9765035125845791
2024-12-09,2024-12-06,15,"KFINTECH,PGEL,SWANCORP,NEWGEN,FINCABLES,POLICYBZR,ANGELONE,CDSL,BSE,CARTRADE,HEG,KEC,UCOBANK,KPIL,PCBL",8.298245024982933,3.0176194749641128,1.8090803892409109
2024-12-10,2024-12-09,15,"POLICYBZR,NEWGEN,PGEL,BSE,PCBL,GPIL,ANGELONE,HEG,CDSL,GABRIEL,BLUESTARCO,ABDL,ZENTEC,HBLENGINE,KFINTECH",8.350743309679954,2.9167940426640047,1.789299783029146
2024-12-11,2024-12-10,15,"POLICYBZR,NEWGEN,PGEL,ZENTEC,ANGELONE,CARTRADE,GABRIEL,GPIL,AIIL,ITI,BSE,ASAHIINDIA,BLS,PCBL,SWANCORP",8.200943180929679,3.1241053180510123,1.8213651242533568
2024-12-12,2024-12-11,15,"ZENTEC,GABRIEL,AIIL,GPIL,BLS,NAM-INDIA,NEWGEN,POLICYBZR,SARDAEN,CARTRADE,ASAHIINDIA,PGEL,NUVAMA,PCBL,BLUESTARCO",8.253961901591348,2.8231075655190456,1.7358426310537363
2024-12-13,2024-12-12,15,"ZENTEC,JUBLINGREA,SWANCORP,AIIL,PGEL,BLS,JWL,CARTRADE,GPIL,SYRMA,TARIL,WAAREEENER,TITAGARH,DELHIVERY,EIHOTEL",8.621225352895415,3.077052938565137,1.9527060545510697
