tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
fit_all_decjan_in_sample,2024-12-02,10,5,3,2,30.0,40.0,"GRSE,ATGL,LTFOODS,MAZDOCK,HUDCO,PREMIERENE,BDL,AEGISLOG,JPPOWER,JUBLINGREA,HBLENGINE,PCBL,WOCKPHARMA,NAVA,BEML","ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW","CAMS,COCHINSHIP,SONATSOFTW"
fit_all_decjan_in_sample,2024-12-03,11,9,1,1,9.090909090909092,11.11111111111111,"LTFOODS,PREMIERENE,FACT,PGEL,HUDCO,JUBLINGREA,OLAELEC,CARTRADE,WOCKPHARMA,BDL,GRSE,GALLANTT,POLICYBZR,NEULANDLAB,JPPOWER","GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE","ANGELONE,BLS,HSCL,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
fit_all_decjan_in_sample,2024-12-04,8,4,0,0,0.0,0.0,"PGEL,MAZDOCK,PREMIERENE,FACT,CAPLIPOINT,OLAELEC,INOXWIND,LLOYDSME,NEULANDLAB,LTFOODS,GALLANTT,JPPOWER,GRSE,ADANIPORTS,BDL","FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO","BLUESTARCO,FINCABLES,HSCL,PNBHOUSING"
fit_all_decjan_in_sample,2024-12-05,8,6,1,0,12.5,0.0,"GALLANTT,LTFOODS,SARDAEN,POLICYBZR,PREMIERENE,MAZDOCK,PGEL,CAPLIPOINT,GRAPHITE,NEULANDLAB,GRSE,AFFLE,OLAELEC,HEG,INOXWIND","INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE","ANGELONE,CASTROLIND,CESC,FLUOROCHEM,IGL,KPIL"
fit_all_decjan_in_sample,2024-12-06,9,7,0,0,0.0,0.0,"HEG,KEC,NEWGEN,CAPLIPOINT,JYOTICNC,PREMIERENE,SWANCORP,GALLANTT,GRAPHITE,SARDAEN,NIVABUPA,LODHA,POLICYBZR,PGEL,HSCL","GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL","GABRIEL,GRSE,INOXWIND,IREDA,MAZDOCK,MMTC,ZEEL"
fit_all_decjan_in_sample,2024-12-09,9,3,0,0,0.0,0.0,"KFINTECH,PGEL,SWANCORP,NEWGEN,FINCABLES,POLICYBZR,ANGELONE,CDSL,BSE,CARTRADE,HEG,KEC,UCOBANK,KPIL,PCBL","INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH","CASTROLIND,INOXWIND,MAXHEALTH"
fit_all_decjan_in_sample,2024-12-10,7,6,0,0,0.0,0.0,"POLICYBZR,NEWGEN,PGEL,BSE,PCBL,GPIL,ANGELONE,HEG,CDSL,GABRIEL,BLUESTARCO,ABDL,ZENTEC,HBLENGINE,KFINTECH","CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
fit_all_decjan_in_sample,2024-12-11,7,4,1,0,14.285714285714285,0.0,"POLICYBZR,NEWGEN,PGEL,ZENTEC,ANGELONE,CARTRADE,GABRIEL,GPIL,AIIL,ITI,BSE,ASAHIINDIA,BLS,PCBL,SWANCORP","PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER","CHALET,MAXHEALTH,POWERINDIA,TITAGARH"
fit_all_decjan_in_sample,2024-12-12,10,7,2,2,20.0,28.57142857142857,"ZENTEC,GABRIEL,AIIL,GPIL,BLS,NAM-INDIA,NEWGEN,POLICYBZR,SARDAEN,CARTRADE,ASAHIINDIA,PGEL,NUVAMA,PCBL,BLUESTARCO","PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM","CHALET,CRISIL,MANAPPURAM,MAXHEALTH,POWERINDIA"
fit_all_decjan_in_sample,2024-12-13,9,7,4,3,44.44444444444444,42.857142857142854,"ZENTEC,JUBLINGREA,SWANCORP,AIIL,PGEL,BLS,JWL,CARTRADE,GPIL,SYRMA,TARIL,WAAREEENER,TITAGARH,DELHIVERY,EIHOTEL","PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA","CRISIL,GODFRYPHLP,JBMA,KPRMILL"
