feature,direction,threshold,fired_n,selected_n,profitable_n,precision,selected_precision,lift,rank_mean,score
ret3_pct__pct,hi,0.9,2111,138,69,0.03268593083846518,0.06537186167693036,2.8941653144118447,8.028985507246377,0.2795543204966688
ret4_pct__pct,hi,0.9,2110,135,67,0.03175355450236967,0.06398104265402843,2.8116083492991835,7.614814814814815,0.273400188939284
range_avg3__pct,hi,0.9,2112,128,66,0.03125,0.06060606060606061,2.7670212765957447,7.5703125,0.25305347362025365
ret5_pct__pct,hi,0.9,2109,129,65,0.030820293978188716,0.06116642958748222,2.7289730940346844,7.736434108527132,0.24409328729342744
rs_market_5d__pct,hi,0.9,2109,129,65,0.030820293978188716,0.06116642958748222,2.7289730940346844,7.736434108527132,0.24409328729342744
rs_sector_5d__pct,hi,0.9,2109,131,64,0.030346135609293504,0.06211474632527264,2.686988892587997,7.7251908396946565,0.24130504612357656
range_avg3__pct,hi,0.85,3151,171,91,0.028879720723579815,0.05426848619485877,2.557145654537229,7.631578947368421,0.2131765660281671
range_avg5__pct,hi,0.9,2112,115,64,0.030303030303030304,0.054450757575757576,2.6831721470019345,7.765217391304348,0.21003229568064807
dist_sma_10__pct,hi,0.9,2110,120,62,0.029383886255924172,0.05687203791469194,2.601786830694767,7.883333333333334,0.20422975538143417
range_avg5__pct,hi,0.85,3151,163,89,0.02824500158679784,0.05172960964773088,2.5009446511408067,7.852760736196319,0.1897654894688967
dist_low_252__pct,hi,0.9,2058,105,59,0.028668610301263362,0.05102040816326531,2.5384529495688852,7.219047619047619,0.18813209795187458
ret3_pct__pct,hi,0.85,3150,169,86,0.027301587301587302,0.05365079365079365,2.417410334346505,7.78698224852071,0.1859486509129455
lower_wick_pct__pct,hi,0.9,2112,107,61,0.028882575757575756,0.050662878787878785,2.557398452611219,7.682242990654205,0.18057315364391172
dist_low_10__pct,hi,0.9,2109,117,55,0.026078710289236605,0.05547652916073969,2.30913107956781,7.119658119658119,0.17307513234420652
range_avg60__pct,hi,0.9,2084,96,60,0.028790786948176585,0.046065259117082535,2.5492710417772697,7.510416666666667,0.1660466773782031
ret4_pct__pct,hi,0.85,3149,160,82,0.02604001270244522,0.05080978088281994,2.3057046140956605,7.7875,0.16050357890773842
range_avg60__pct,hi,0.85,3104,141,86,0.027706185567010308,0.04542525773195876,2.4532353586312787,7.914893617021277,0.15890502080170013
ret7_pct__pct,hi,0.9,2107,107,57,0.027052681537731372,0.05078310393925012,2.395371052923891,7.747663551401869,0.1582953063187745
lower_wick_pct__pct,hi,0.85,3152,148,84,0.0266497461928934,0.046954314720812185,2.3596932714115995,7.743243243243243,0.15612660260720657
dist_low_252__pct,hi,0.85,3069,139,81,0.026392961876832845,0.045291625936787226,2.3369563860984592,7.309352517985611,0.15460068336618898
rs_sector_5d__pct,hi,0.85,3148,154,80,0.025412960609911054,0.04891994917407878,2.250182486685231,7.883116883116883,0.14543263902478296
range_avg40__pct,hi,0.9,2094,95,57,0.027220630372492838,0.04536771728748806,2.4102420288971533,8.294736842105262,0.13344743104270074
dist_low_10__pct,hi,0.85,3148,154,76,0.0241423125794155,0.04891994917407878,2.137673362350969,7.785714285714286,0.13238918096979022
ret5_pct__pct,hi,0.85,3148,149,77,0.02445997458703939,0.047331639135959336,2.165800643434535,7.805369127516778,0.13133258951960225
