feature,direction,threshold,edge,fired_n
ret3_pct__pct,hi,0.9,0.02139219765891885,2111
ret4_pct__pct,hi,0.9,0.02045982132282334,2110
range_avg3__pct,hi,0.9,0.01995626682045367,2112
rs_market_5d__pct,hi,0.9,0.019526560798642387,2109
ret5_pct__pct,hi,0.9,0.019526560798642387,2109
rs_sector_5d__pct,hi,0.9,0.01905240242974718,2109
range_avg5__pct,hi,0.9,0.019009297123483974,2112
lower_wick_pct__pct,hi,0.9,0.01758884257802943,2112
range_avg60__pct,hi,0.9,0.017497053768630255,2084
dist_low_252__pct,hi,0.9,0.017374877121717036,2058
range_avg40__pct,hi,0.9,0.01592689719294651,2094
dist_low_10__pct,hi,0.9,0.014784977109690277,2109
range_avg3__pct,hi,0.8,0.01428599428877784,4183
dist_high_120__pct,lo,0.1,0.013336808692374856,2030
range_avg40__pct,hi,0.8,0.013231393052721046,4159
lower_wick_pct__pct,hi,0.8,0.013084851906495736,4184
range_avg10__pct,hi,0.9,0.012888343634109433,2109
range_avg5__pct,hi,0.8,0.012851617047563402,4183
range_avg60__pct,hi,0.8,0.012141879287233088,4139
dry_count_3__pct,lo,0.1,0.012120900966795136,1025
ret2_pct__pct,hi,0.9,0.011918014807189818,2111
range_avg10__pct,hi,0.8,0.011689268975110126,4177
ret3_pct__pct,hi,0.8,0.011188926471254917,4181
dist_low_252__pct,hi,0.8,0.01099926045102692,4082
ret4_pct__pct,hi,0.8,0.010960394602219646,4179
dry_count_7__pct,lo,0.1,0.010489448178103116,1974
dist_low_10__pct,hi,0.8,0.010252831340444095,4177
rs_sector_5d__pct,hi,0.8,0.010252831340444095,4177
range_avg3__pct,hi,0.7,0.010223640107033206,6274
lower_wick_pct__pct,hi,0.7,0.01021678307284373,6276
rs_sector_20d__pct,lo,0.1,0.010169681454600015,2050
range_avg60__pct,hi,0.7,0.010024096277818013,6192
rs_market_5d__pct,hi,0.8,0.010013425067999756,4177
ret5_pct__pct,hi,0.8,0.010013425067999756,4177
range_avg40__pct,hi,0.7,0.00989746926065274,6229
turn_pct_252__pct,hi,0.9,0.009580053228220661,2060
range_avg10__pct,hi,0.7,0.009443226463139906,6269
range_avg5__pct,hi,0.7,0.009423398294557258,6275
ret2_pct__pct,hi,0.8,0.009265673944527304,4183
range_avg20__pct,hi,0.7,0.008997048095417725,6259
atr_14_pct__pct,hi,0.7,0.008817998664029091,6265
dist_high_60__pct,lo,0.1,0.008706266820453673,2050
atr_14_pct__pct,hi,0.9,0.008639821637729419,2107
dist_low_120__pct,hi,0.9,0.008484366193343204,2073
dry_count_5__pct,lo,0.1,0.008406079203192885,2132
dist_high_40__pct,lo,0.1,0.008152061667318038,2057
range_avg20__pct,hi,0.9,0.007717673664560136,2104
range_avg20__pct,hi,0.8,0.007402335852093175,4172
ret_std_20d__pct,hi,0.8,0.007402335852093175,4172
atr_14_pct__pct,hi,0.8,0.007149380592908762,4175
dist_high_20__pct,lo,0.1,0.0071260438442054905,2063
range_ratio_3d__pct,lo,0.1,0.007081508599950772,2068
vol_ratio_60d__pct,hi,0.8,0.007068189990301463,4139
dry_count_3__pct,lo,0.2,0.007062910177097028,4576
dry_count_10__pct,lo,0.1,0.0070106984196829595,2076
vol_ratio_60d__pct,hi,0.9,0.006949185687472397,2083
dry_count_5__pct,lo,0.2,0.006947969379359169,3947
ret_std_20d__pct,hi,0.7,0.00692003898853164,6259
ret3_pct__pct,hi,0.7,0.006879389728153338,6273
dry_count_10__pct,lo,0.2,0.0068409818463604066,4246
dry_count_7__pct,lo,0.2,0.006763409677596531,4375
dist_low_10__pct,hi,0.7,0.006571955127998736,6269
dist_low_252__pct,hi,0.7,0.006557560629821506,6106
vol_ratio_40d__pct,hi,0.8,0.00650328461747147,4158
rs_sector_20d__pct,lo,0.2,0.0064462425191171,4115
dry_count_5__pct,lo,0.3,0.0064349839972390865,5979
dist_low_120__pct,hi,0.8,0.0064290150603177176,4119
ret5_pct__pct,hi,0.7,0.0064124400538242265,6269
rs_market_5d__pct,hi,0.7,0.0064124400538242265,6269
rs_sector_5d__pct,hi,0.7,0.0064124400538242265,6269
vol_ratio_40d__pct,hi,0.9,0.0063673646724823115,2095
ret4_pct__pct,hi,0.7,0.0062473288520275855,6271
atr_20_pct__pct,hi,0.8,0.0062038698885265395,4172
dist_high_20__pct,lo,0.2,0.006131242619098398,4132
dist_high_120__pct,lo,0.2,0.006129579703889254,4075
dist_high_252__pct,lo,0.1,0.006084618359679094,2014
atr_20_pct__pct,hi,0.7,0.005961419400738062,6259
dist_high_60__pct,lo,0.2,0.0059602157876468675,4115
ret2_pct__pct,hi,0.7,0.00591742219893973,6275
rs_sector_20d__pct,hi,0.9,0.0058982438978175695,2094
