feature,profile_delta,loser_delta
m_big_up_bar_pct__pct,0.21139597459772452,0.2224342996254257
m_ret_std__pct,0.21025349018945572,0.2267496954275644
range_avg3__pct,0.2032356647829392,0.26984722689208696
range_avg5__pct,0.20245523491709128,0.26651980580283263
m_big_down_bar_pct__pct,0.19817460553691169,0.20886840567347464
range_avg60__pct,0.18725160967041998,0.21125195710011502
range_avg10__pct,0.18216312236348198,0.2442411575115775
range_avg40__pct,0.1769684009764111,0.20607536372570656
range_avg20__pct,0.1737323491772541,0.22343227510002994
atr_14_pct__pct,0.1697784480965474,0.2183182040843119
atr_20_pct__pct,0.16029067441970424,0.20580137513780639
lower_wick_pct__pct,0.1517911199422871,0.17764727108280298
ret_std_20d__pct,0.14360975718980118,0.19643401654872583
turn_pct_252__pct,0.1305350496381209,0.16321556739953336
dist_low_252__pct,0.12128679437544498,0.17682100545613266
range_pct__pct,0.12105995374113143,0.15941199492360458
range_vs_prev_pct__pct,0.12039614859491554,0.15972641309071933
m_range_open__pct,0.12003516323086738,0.15843776109863217
dry_count_3__pct,-0.1193077523088687,-0.14412529100480398
vol_ratio_40d__pct,0.1117122363089158,0.127106282502643
dry_count_5__pct,-0.11124342229867423,-0.1339783556992945
dry_count_7__pct,-0.10960315702822954,-0.10539278148359699
upper_wick_pct__pct,0.10640675400176647,0.09633014253598637
vol_ratio_20d__pct,0.10499756689683493,0.09745048298272585
dry_count_10__pct,-0.09199516252173673,-0.07551612866090596
vol_ratio_60d__pct,0.08820824390384185,0.11748264342730774
dist_low_120__pct,0.08625187938374523,0.1809846576288816
dist_low_10__pct,0.08536924186059114,0.20336451109978537
m_first15_ret__pct,-0.07642403820393973,-0.03878146793516518
dist_high_120__pct,-0.07600558112241695,-0.01592720711612322
m_vol_last30_share__pct,-0.0747936095178835,-0.09193673034714417
ret3_pct__pct,0.07405970813391172,0.18525888765703136
m_vol_first15_share__pct,0.07324165636080981,0.11830540053977168
vol_ratio_10d__pct,0.06916248725120866,0.05761739025826018
ret4_pct__pct,0.06905629259908042,0.19981413554591398
