memory_days,mode,entry_date,signal_date,n_positions,symbols
1,all_prev_manual,2024-12-02,2024-11-29,15,"ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER,HONASA,ADANIENT,TRITURBINE,PREMIERENE,OLAELEC,FACT,HUDCO,TTML,CAPLIPOINT,WOCKPHARMA,NEULANDLAB"
1,all_prev_manual,2024-12-03,2024-12-02,15,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,ADANIGREEN,ADANIENSOL,OLAELEC,NEULANDLAB,PREMIERENE"
1,all_prev_manual,2024-12-04,2024-12-03,15,"GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,ADANIGREEN,OLAELEC,NEULANDLAB,INOXWIND"
1,all_prev_manual,2024-12-05,2024-12-04,15,"FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO,HONASA,HEG,ADANIGREEN,PREMIERENE,NEULANDLAB,NEWGEN,SWANCORP"
1,all_prev_manual,2024-12-06,2024-12-05,15,"INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE,SWANCORP,KEC,HEG,PGEL,ADANIGREEN,NEWGEN,PREMIERENE"
1,all_prev_manual,2024-12-09,2024-12-06,15,"GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL,SWANCORP,BSE,HEG,PGEL,NEWGEN,POLICYBZR"
1,all_prev_manual,2024-12-10,2024-12-09,15,"INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH,ITI,HEG,PGEL,MAPMYINDIA,NEWGEN,BSE"
1,all_prev_manual,2024-12-11,2024-12-10,15,"CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,ITI,MAPMYINDIA,PGEL,ZENTEC,NEWGEN,SWANCORP,POLICYBZR,BSE"
1,all_prev_manual,2024-12-12,2024-12-11,15,"PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER,ITI,MAPMYINDIA,SWANCORP,ZENTEC,TRITURBINE,CARTRADE,ANGELONE,GABRIEL"
1,all_prev_manual,2024-12-13,2024-12-12,15,"PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM,ITI,SWANCORP,JWL,ZENTEC,MAPMYINDIA"
1,all_prev_manual,2024-12-16,2024-12-13,15,"PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,SWANCORP,ITI,CHALET,ZENTEC,JWL,TTML"
