memory_days,mode,entry_date,manual_n,profitable_n,hit_n,profitable_hit_n,profitable_coverage_pct,picked_symbols,missed_profitable_symbols
1,all_prev_manual,2024-12-02,10,5,2,0,0.0,"ADANIGREEN,ADANIENSOL,ATGL,ADANIPOWER,HONASA,ADANIENT,TRITURBINE,PREMIERENE,OLAELEC,FACT,HUDCO,TTML,CAPLIPOINT,WOCKPHARMA,NEULANDLAB","BDL,CAMS,COCHINSHIP,GRSE,SONATSOFTW"
1,all_prev_manual,2024-12-03,11,9,2,2,22.22222222222222,"ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW,ADANIGREEN,ADANIENSOL,OLAELEC,NEULANDLAB,PREMIERENE","ANGELONE,BLS,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
1,all_prev_manual,2024-12-04,8,4,4,3,75.0,"GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE,ADANIGREEN,OLAELEC,NEULANDLAB,INOXWIND",BLUESTARCO
1,all_prev_manual,2024-12-05,8,6,3,2,33.33333333333333,"FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO,HONASA,HEG,ADANIGREEN,PREMIERENE,NEULANDLAB,NEWGEN,SWANCORP","ANGELONE,CASTROLIND,CESC,IGL"
1,all_prev_manual,2024-12-06,9,7,2,2,28.57142857142857,"INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE,SWANCORP,KEC,HEG,PGEL,ADANIGREEN,NEWGEN,PREMIERENE","GABRIEL,GRSE,IREDA,MAZDOCK,ZEEL"
1,all_prev_manual,2024-12-09,9,3,6,1,33.33333333333333,"GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL,SWANCORP,BSE,HEG,PGEL,NEWGEN,POLICYBZR","CASTROLIND,MAXHEALTH"
1,all_prev_manual,2024-12-10,7,6,1,0,0.0,"INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH,ITI,HEG,PGEL,MAPMYINDIA,NEWGEN,BSE","CLEAN,CRISIL,KPRMILL,RPOWER,SYRMA,TARIL"
1,all_prev_manual,2024-12-11,7,4,4,1,25.0,"CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL,ITI,MAPMYINDIA,PGEL,ZENTEC,NEWGEN,SWANCORP,POLICYBZR,BSE","CHALET,POWERINDIA,TITAGARH"
1,all_prev_manual,2024-12-12,10,7,6,4,57.14285714285714,"PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER,ITI,MAPMYINDIA,SWANCORP,ZENTEC,TRITURBINE,CARTRADE,ANGELONE,GABRIEL","BLS,CRISIL,MANAPPURAM"
1,all_prev_manual,2024-12-13,9,7,4,4,57.14285714285714,"PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM,ITI,SWANCORP,JWL,ZENTEC,MAPMYINDIA","DELHIVERY,GODFRYPHLP,SYRMA"
1,all_prev_manual,2024-12-16,9,6,4,1,16.666666666666664,"PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA,SWANCORP,ITI,CHALET,ZENTEC,JWL,TTML","BLS,MANAPPURAM,MAXHEALTH,POWERINDIA,TARIL"
1,all_prev_manual,2024-12-17,7,1,1,0,0.0,"LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA,PGEL,SWANCORP,WOCKPHARMA,ZENTEC,JUBLINGREA,JWL",AEGISLOG
1,all_prev_manual,2024-12-18,8,5,5,3,60.0,"AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,POWERINDIA,KPRMILL,PGEL,JYOTICNC,ZENTEC,CHALET,SWANCORP,WOCKPHARMA,KAYNES,TEGA","GICRE,HONASA"
1,all_prev_manual,2024-12-19,8,7,4,3,42.857142857142854,"TECHNOE,KFINTECH,AEGISLOG,GICRE,CARTRADE,KPRMILL,HONASA,POWERINDIA,JYOTICNC,ZENTEC,PGEL,CRAFTSMAN,BHARTIHEXA,BLUEJET,CHALET","ANANTRAJ,FIVESTAR,GVT&D,NEWGEN"
1,all_prev_manual,2024-12-20,8,6,5,4,66.66666666666666,"AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA,PGEL,KFINTECH,BLUEJET,CRAFTSMAN,JYOTICNC,KAYNES,KPRMILL","GICRE,TECHNOE"
1,all_prev_manual,2024-12-23,7,2,3,1,50.0,"ACE,AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,KPRMILL,CARTRADE,KFINTECH,KEC,JYOTICNC,BLUEJET,GRAVITA,GVT&D",ANANTRAJ
1,all_prev_manual,2024-12-24,7,5,0,0,0.0,"ACE,ANANTRAJ,KFINTECH,POWERINDIA,IPCALAB,KPRMILL,HONASA,ZENTEC,CARTRADE,TECHNOE,AEGISLOG,GICRE,GRAVITA,KAYNES,MANKIND","ACUTAAS,ELECON,HSCL,SIGNATURE,SOLARINDS"
1,all_prev_manual,2024-12-26,8,3,3,1,33.33333333333333,"AJANTPHARM,GRSE,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE,KFINTECH,ZENTEC,CARTRADE,INTELLECT,GICRE,AEGISLOG,AMBER,MANKIND","AWL,DEVYANI"
1,all_prev_manual,2024-12-27,9,8,7,6,75.0,"AJANTPHARM,GRSE,PTCIL,PGEL,INTELLECT,DEVYANI,CAPLIPOINT,AWL,KFINTECH,CARTRADE,GICRE,ZENTEC,AMBER,ACUTAAS,SARDAEN","CEATLTD,DCMSHRIRAM"
1,all_prev_manual,2024-12-30,7,1,4,1,100.0,"GRSE,AJANTPHARM,PTCIL,PGEL,DEVYANI,CAPLIPOINT,ACUTAAS,CEATLTD,DCMSHRIRAM,INTELLECT,GICRE,KFINTECH,CARTRADE,AMBER,NEWGEN",
1,all_prev_manual,2024-12-31,14,10,1,0,0.0,"INTELLECT,AMBER,ACUTAAS,SOLARINDS,HSCL,ELECON,KFINTECH,ITI,NEWGEN,PGEL,CAPLIPOINT,BLUESTARCO,BAJAJHLDNG,PTCIL,POWERINDIA","DMART,HUDCO,LATENTVIEW,MAHABANK,OIL,RAILTEL,SAMMAANCAP,SAREGAMA,SHYAMMETL,TARIL"
1,all_prev_manual,2025-01-01,10,8,8,6,75.0,"MAHABANK,DMART,CHOLAHLDNG,SAMMAANCAP,RAILTEL,SHYAMMETL,SAREGAMA,OIL,LATENTVIEW,SUNDARMFIN,PTCIL,HUDCO,TARIL,VIJAYA,ITI","AWL,POLYMED"
1,all_prev_manual,2025-01-02,10,10,3,3,30.0,"CHOLAHLDNG,SHYAMMETL,DMART,SAREGAMA,SAMMAANCAP,AWL,SUNDARMFIN,POLYMED,PTCIL,VIJAYA,ITI,TARIL,BLUESTARCO,CRISIL,INTELLECT","CARTRADE,EICHERMOT,FORCEMOT,HUDCO,IGL,MAHABANK,OIL"
1,all_prev_manual,2025-01-03,8,7,4,4,57.14285714285714,"FORCEMOT,OIL,DMART,CHOLAHLDNG,SUNDARMFIN,HUDCO,EICHERMOT,CARTRADE,IGL,MAHABANK,ITI,BLUESTARCO,TARIL,AIIL,CRISIL","IREDA,SAREGAMA,SHYAMMETL"
1,all_prev_manual,2025-01-06,7,1,4,0,0.0,"DMART,SAREGAMA,SHYAMMETL,IREDA,RITES,ITI,MAHABANK,HUDCO,BLUESTARCO,AIIL,SUNDARMFIN,CRISIL,CARTRADE,TARIL,CHOLAHLDNG",AWL
1,all_prev_manual,2025-01-07,12,10,1,1,10.0,"TARIL,FORCEMOT,SUNDARMFIN,AWL,RITES,CREDITACC,HUDCO,ITI,AIIL,PTCIL,VIJAYA,SAREGAMA,PARADEEP,DEVYANI,BLUESTARCO","ANANDRATHI,BDL,JSWDULUX,LLOYDSME,NAVINFLUOR,RKFORGE,SHYAMMETL,SRF,UBL"
1,all_prev_manual,2025-01-08,6,1,5,1,100.0,"SRF,SHYAMMETL,JSWDULUX,ANANDRATHI,LLOYDSME,VIJAYA,BDL,AARTIIND,RKFORGE,NAVINFLUOR,UBL,MARICO,ITI,AEGISLOG,PTCIL",
1,all_prev_manual,2025-01-09,13,11,7,5,45.45454545454545,"SRF,ANANDRATHI,AARTIIND,CONCORDBIO,RKFORGE,UBL,ITI,AEGISLOG,ACUTAAS,VIJAYA,PTCIL,TARIL,SAREGAMA,CARTRADE,BLUEJET","BDL,JSWDULUX,LLOYDSME,MARICO,NAVINFLUOR,SHYAMMETL"
1,all_prev_manual,2025-01-10,8,2,7,2,100.0,"SHYAMMETL,SRF,JSWDULUX,ANANDRATHI,AARTIIND,PTCIL,VIJAYA,LLOYDSME,UBL,RKFORGE,BDL,NAVINFLUOR,MARICO,ITI,AEGISLOG",
1,all_prev_manual,2025-01-13,10,2,8,1,50.0,"SHYAMMETL,LLOYDSME,PTCIL,VIJAYA,UBL,RKFORGE,BDL,INDIAMART,AEGISLOG,PHOENIXLTD,AMBER,CREDITACC,ACUTAAS,JSWDULUX,ANANTRAJ",SRF
1,all_prev_manual,2025-01-14,15,9,1,0,0.0,"SHYAMMETL,SRF,LLOYDSME,JSWDULUX,PTCIL,VIJAYA,UBL,BDL,CONCORDBIO,INDIAMART,SUNDARMFIN,CREDITACC,PHOENIXLTD,INTELLECT,AEGISLOG","ADANIENSOL,ADANIGREEN,GMDCLTD,HUDCO,IDEA,IRCON,NBCC,RVNL,SWANCORP"
1,all_prev_manual,2025-01-16,11,10,8,7,70.0,"IDEA,RAILTEL,RPOWER,NBCC,RVNL,ADANIGREEN,BDL,GMDCLTD,IRCON,BLS,INOXWIND,MINDACORP,SWANCORP,ADANIENSOL,HUDCO","IDBI,JWL,SAMMAANCAP"
1,all_prev_manual,2025-01-17,2,0,0,0,0.0,"RAILTEL,GMDCLTD,ADANIENSOL,RPOWER,JWL,RVNL,HUDCO,BDL,IDBI,SWANCORP,SAMMAANCAP,ADANIPOWER,ADANIGREEN,THERMAX,IRCON",
1,all_prev_manual,2025-01-20,10,0,4,0,0.0,"INOXWIND,NBCC,IDBI,ADANIPOWER,JWL,ADANIGREEN,IRCON,THERMAX,BDL,GMDCLTD,PARADEEP,RVNL,BLS,SWANCORP,RPOWER",
1,all_prev_manual,2025-01-21,12,4,0,0,0.0,"HFCL,INOXWIND,SWANCORP,PAYTM,NIACL,JWL,MINDACORP,ADANIGREEN,RAILTEL,BSE,IDBI,BDL,IRCON,IDEA,ADANIPOWER","CGCL,MPHASIS,NAVA,ULTRACEMCO"
1,all_prev_manual,2025-01-22,15,3,12,2,66.66666666666666,"CGCL,ZENSARTECH,COFORGE,FIVESTAR,ULTRACEMCO,MPHASIS,WOCKPHARMA,POLICYBZR,MCX,KFINTECH,KEI,NAVA,BLS,PARADEEP,REDINGTON",PERSISTENT
1,all_prev_manual,2025-01-23,12,12,12,12,100.0,"PERSISTENT,CGCL,COFORGE,ZENSARTECH,AMBER,FIVESTAR,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KEI,NAVA,KFINTECH,MCX",
1,all_prev_manual,2025-01-24,2,2,1,1,50.0,"CGCL,COFORGE,PERSISTENT,ZENSARTECH,AMBER,WOCKPHARMA,MPHASIS,POLICYBZR,ULTRACEMCO,LAURUSLABS,KFINTECH,NAVA,CREDITACC,BBTC,PARADEEP",FIVESTAR
1,all_prev_manual,2025-01-27,9,2,4,1,50.0,"CGCL,FIVESTAR,AMBER,GODIGIT,ZENSARTECH,BBTC,PERSISTENT,REDINGTON,PARADEEP,COFORGE,CREDITACC,AIIL,PCBL,NEULANDLAB,DCMSHRIRAM",POLICYBZR
1,all_prev_manual,2025-01-28,15,6,0,0,0.0,"PERSISTENT,ZENSARTECH,COFORGE,WOCKPHARMA,POLICYBZR,ULTRACEMCO,MCX,NAVA,BBTC,GODIGIT,FIVESTAR,REDINGTON,DCMSHRIRAM,CGCL,KFINTECH","BRIGADE,GRAVITA,JMFINANCIL,KPITTECH,OLECTRA,SYRMA"
1,all_prev_manual,2025-01-29,12,12,10,10,83.33333333333334,"POLYMED,ZENTEC,GRAVITA,KPITTECH,PCBL,JMFINANCIL,JUBLFOOD,PGEL,TRENT,KALYANKJIL,BRIGADE,OLECTRA,NETWEB,GODFRYPHLP,SYRMA","JUBLPHARMA,NEWGEN"
1,all_prev_manual,2025-01-30,2,0,1,0,0.0,"ZENTEC,PGEL,JMFINANCIL,KPITTECH,SYRMA,GODFRYPHLP,GRAVITA,NETWEB,NEWGEN,TRENT,KALYANKJIL,JUBLPHARMA,CREDITACC,SOBHA,AMBER",
