tag,entry_date,manual_n,manual_profitable_n,hit_n,profitable_hit_n,coverage_pct,profitable_coverage_pct,picked_symbols,manual_symbols,missed_profitable_symbols
v9_dec_fit,2024-12-02,10,5,7,4,70.0,80.0,"RPOWER,BDL,ADANIPOWER,ATGL,ADANIENT,SONATSOFTW,ADANIENSOL,GRSE,PCBL,COCHINSHIP,JPPOWER,HUDCO,IDEA,JWL,NEWGEN","ADANIPOWER,HSCL,BDL,CAMS,ADANIENT,RPOWER,GRSE,COCHINSHIP,MAZDOCK,SONATSOFTW",CAMS
v9_dec_fit,2024-12-03,11,9,3,3,27.27272727272727,33.33333333333333,"RPOWER,ANGELONE,HSCL,IRB,PCBL,GRSE,GPIL,BDL,MMTC,FLUOROCHEM,CASTROLIND,OLAELEC,MAZDOCK,EIHOTEL,NEWGEN","GRSE,KPIL,PNBHOUSING,KPITTECH,FINCABLES,ZEEL,BLS,UCOBANK,HSCL,TATAELXSI,ANGELONE","BLS,KPIL,KPITTECH,TATAELXSI,UCOBANK,ZEEL"
v9_dec_fit,2024-12-04,8,4,1,0,12.5,0.0,"UCOBANK,KPITTECH,INOXWIND,IOB,J&KBANK,GRSE,IREDA,MMTC,BDL,GPIL,CASTROLIND,OLAELEC,TATAELXSI,MAZDOCK,INTELLECT","FINCABLES,PNBHOUSING,KPIL,MMTC,FLUOROCHEM,HSCL,RPOWER,BLUESTARCO","BLUESTARCO,FINCABLES,HSCL,PNBHOUSING"
v9_dec_fit,2024-12-05,8,6,3,2,37.5,33.33333333333333,"FINCABLES,INOXWIND,KPITTECH,PCBL,RBLBANK,ACE,ANGELONE,IREDA,OLAELEC,J&KBANK,IOB,CASTROLIND,GPIL,MAZDOCK,NEWGEN","INOXWIND,KPIL,CASTROLIND,MMTC,CESC,FLUOROCHEM,IGL,ANGELONE","CESC,FLUOROCHEM,IGL,KPIL"
v9_dec_fit,2024-12-06,9,7,4,3,44.44444444444444,42.857142857142854,"FINCABLES,MAPMYINDIA,IOB,J&KBANK,CASTROLIND,TATAELXSI,ITI,MAZDOCK,INOXWIND,IGL,RBLBANK,RPOWER,UCOBANK,GRSE,NEWGEN","GRSE,MMTC,INOXWIND,ZEEL,J&KBANK,IREDA,MAZDOCK,BANKINDIA,GABRIEL","GABRIEL,IREDA,MMTC,ZEEL"
v9_dec_fit,2024-12-09,9,3,3,1,33.33333333333333,33.33333333333333,"FINCABLES,UCOBANK,RPOWER,MAPMYINDIA,J&KBANK,LODHA,OLAELEC,IOB,PCBL,CASTROLIND,HSCL,MAZDOCK,ITI,TORNTPOWER,IGL","INOXWIND,ZEEL,IGL,GRSE,J&KBANK,IREDA,BANKINDIA,CASTROLIND,MAXHEALTH","INOXWIND,MAXHEALTH"
v9_dec_fit,2024-12-10,7,6,1,1,14.285714285714285,16.666666666666664,"RPOWER,CHALET,DELHIVERY,MANAPPURAM,JWL,TBOTEK,TITAGARH,POWERINDIA,MAPMYINDIA,PGEL,JUBLINGREA,SWANCORP,AIIL,GODFRYPHLP,ADANIGREEN","CLEAN,MAXHEALTH,RPOWER,KPRMILL,SYRMA,CRISIL,TARIL","CLEAN,CRISIL,KPRMILL,SYRMA,TARIL"
v9_dec_fit,2024-12-11,7,4,5,3,71.42857142857143,75.0,"CHALET,RPOWER,TITAGARH,BLS,CLEAN,TRITURBINE,JBMA,JWL,TBOTEK,POWERINDIA,MAPMYINDIA,ZENTEC,PGEL,SWANCORP,JUBLINGREA","PGEL,POWERINDIA,KPRMILL,CHALET,MAXHEALTH,TITAGARH,RPOWER",MAXHEALTH
v9_dec_fit,2024-12-12,10,7,6,4,60.0,57.14285714285714,"CHALET,JWL,TITAGARH,BLS,GODFRYPHLP,JBMA,RPOWER,MAPMYINDIA,TBOTEK,POWERINDIA,SWANCORP,PGEL,ADANIGREEN,GABRIEL,TTML","PGEL,JBMA,POWERINDIA,KPRMILL,CHALET,RPOWER,BLS,CRISIL,MAXHEALTH,MANAPPURAM","CRISIL,MANAPPURAM,MAXHEALTH"
v9_dec_fit,2024-12-13,9,7,5,4,55.55555555555556,57.14285714285714,"POWERINDIA,JWL,JUBLINGREA,JBMA,TBOTEK,PGEL,TITAGARH,CLEAN,GABRIEL,CRISIL,TARIL,MANAPPURAM,NAM-INDIA,TTML,GODFRYPHLP","PGEL,TITAGARH,JBMA,LATENTVIEW,GODFRYPHLP,KPRMILL,DELHIVERY,CRISIL,SYRMA","DELHIVERY,KPRMILL,SYRMA"
v9_dec_fit,2024-12-16,9,6,4,4,44.44444444444444,66.66666666666666,"JWL,TITAGARH,JUBLINGREA,GABRIEL,TBOTEK,SWANCORP,POWERINDIA,PGEL,ZENTEC,AIIL,JBMA,CRISIL,BLS,MANAPPURAM,NAM-INDIA","LATENTVIEW,TARIL,MANAPPURAM,TITAGARH,BLS,POWERINDIA,MAXHEALTH,CHALET,SYRMA","MAXHEALTH,TARIL"
v9_dec_fit,2024-12-17,7,1,4,1,57.14285714285714,100.0,"JWL,AMBER,TECHNOE,AEGISLOG,BLUEJET,FIVESTAR,HONASA,ZENTEC,JPPOWER,ANANTRAJ,TITAGARH,POWERINDIA,GICRE,KPRMILL,BDL","AEGISLOG,CARTRADE,BLUEJET,KFINTECH,MANKIND,POWERINDIA,KPRMILL",
v9_dec_fit,2024-12-18,8,5,4,1,50.0,20.0,"FIRSTCRY,BDL,JWL,TECHNOE,AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,TITAGARH,GVT&D,GICRE,BLUEJET,ANANTRAJ,POWERINDIA,KEC","TECHNOE,KFINTECH,AEGISLOG,GICRE,CARTRADE,KPRMILL,HONASA,POWERINDIA","CARTRADE,HONASA,KFINTECH,KPRMILL"
v9_dec_fit,2024-12-19,8,7,5,4,62.5,57.14285714285714,"ANANTRAJ,BDL,AEGISLOG,ACE,ZENTEC,TECHNOE,IREDA,GVT&D,GICRE,NEWGEN,JPPOWER,KAYNES,BLUEJET,JWL,FIRSTCRY","AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,ANANTRAJ,CARTRADE,GVT&D,POWERINDIA","CARTRADE,FIVESTAR,POWERINDIA"
v9_dec_fit,2024-12-20,8,6,5,5,62.5,83.33333333333334,"CENTRALBK,AEGISLOG,GICRE,ZENTEC,FIVESTAR,FIRSTCRY,NEWGEN,TITAGARH,KFINTECH,GVT&D,BDL,POWERINDIA,ANANTRAJ,KAYNES,JWL","ACE,AEGISLOG,TECHNOE,FIVESTAR,GICRE,ZENTEC,NEWGEN,KPRMILL",TECHNOE
v9_dec_fit,2024-12-23,7,2,4,1,57.14285714285714,50.0,"NIACL,FIVESTAR,ZENTEC,BLUEJET,BDL,TECHNOE,TITAGARH,JPPOWER,HONASA,ANANTRAJ,KPRMILL,GICRE,KFINTECH,MANKIND,NEWGEN","ACE,ANANTRAJ,KFINTECH,POWERINDIA,IPCALAB,KPRMILL,HONASA",ACE
v9_dec_fit,2024-12-24,7,5,3,2,42.857142857142854,40.0,"GRSE,PTCIL,POWERINDIA,AWL,FINCABLES,ELECON,CEATLTD,JUBLINGREA,SOLARINDS,CHALET,INTELLECT,ABDL,COCHINSHIP,SBFC,TARIL","AJANTPHARM,GRSE,ACUTAAS,HSCL,ELECON,SOLARINDS,SIGNATURE","ACUTAAS,HSCL,SIGNATURE"
v9_dec_fit,2024-12-26,8,3,4,2,50.0,66.66666666666666,"GRSE,INTELLECT,PTCIL,DEVYANI,ACUTAAS,JUBLINGREA,CEATLTD,KFINTECH,CHALET,SAPPHIRE,ABDL,AMBER,COCHINSHIP,POWERINDIA,TARIL","AJANTPHARM,GRSE,PTCIL,PGEL,INTELLECT,DEVYANI,CAPLIPOINT,AWL",AWL
v9_dec_fit,2024-12-27,9,8,4,4,44.44444444444444,50.0,"PTCIL,GRSE,DEVYANI,INTELLECT,JUBLINGREA,CEATLTD,AMBER,CHALET,KFINTECH,SAPPHIRE,COCHINSHIP,ABDL,ELECON,TARIL,ADANIENSOL","GRSE,AJANTPHARM,PTCIL,PGEL,DEVYANI,CAPLIPOINT,ACUTAAS,CEATLTD,DCMSHRIRAM","AJANTPHARM,CAPLIPOINT,DCMSHRIRAM,PGEL"
