pattern_id,agent_id,family,target,regime,status,winner_fires_dec,all_fires_dec,manual_precision_dec,winner_precision_dec,weight,hit_pct,real_lift_pp,clean26_lift,rule,parsed_conditions,fire_col
7695,FALCPAT_7695,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,110,953,0.1825813221406086,0.11542497376705142,1338.0239580521643,60.4975548918573,27.79867153835674,12.49,volatility (20d ATR%) >= 2.5871 AND close position in weekly range >= 0.6838 AND weekly range % >= 8.5178,atr_20_pct>=2.5871 AND weekly_close_loc>=0.6838 AND weekly_range_pct>=8.5178,pat_7695
7383,FALCPAT_7383,other,hit_15pc_20d,other,PROMOTED,104,2062,0.08195926285160039,0.0504364694471387,285.0654306819372,31.166241942737223,13.715597136615107,11.72,volatility (20d ATR%) >= 2.4628 AND 20-day return <= 30.2011 AND close position in weekly range >= 0.267 AND weekly range % >= 7.5957,atr_20_pct>=2.4628 AND roc_20<=30.2011 AND weekly_close_loc>=0.267 AND weekly_range_pct>=7.5957,pat_7383
7394,FALCPAT_7394,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,100,928,0.1713362068965517,0.10775862068965517,1173.221052469632,59.34183277245664,26.64294941895608,12.34,volatility (20d ATR%) >= 2.5597 AND 20-day return <= 29.3078 AND close position in weekly range >= 0.7075 AND weekly range % >= 7.8851,atr_20_pct>=2.5597 AND roc_20<=29.3078 AND weekly_close_loc>=0.7075 AND weekly_range_pct>=7.8851,pat_7394
7075,FALCPAT_7075,other,hit_25pc_30d,other,PROMOTED,93,1838,0.08106637649619151,0.05059847660500544,130.72158440431912,15.880246241190935,6.422091199048261,6.74,volatility (20d ATR%) >= 2.1013 AND distance from 200-DMA <= 34.864 AND close position in weekly range >= 0.1023 AND weekly range % >= 8.3165,atr_20_pct>=2.1013 AND dist_sma_200<=34.864 AND weekly_close_loc>=0.1023 AND weekly_range_pct>=8.3165,pat_7075
8737,FALCPAT_8737,continuation,hit_10pc_20d,other,PROMOTED,92,1142,0.1295971978984238,0.08056042031523643,572.3508513315447,53.08293169353499,17.70234444835077,12.19,volatility (20d ATR%) >= 2.9337 AND 60-day return >= -20.5526 AND close position in weekly range >= 0.174 AND weekly range % >= 9.8757,atr_20_pct>=2.9337 AND roc_60>=-20.5526 AND weekly_close_loc>=0.174 AND weekly_range_pct>=9.8757,pat_8737
6427,FALCPAT_6427,fresh_breakout,hit_10pc_20d,breakout,PROMOTED,89,810,0.1765432098765432,0.10987654320987654,1197.3511592481277,61.35762562444902,27.350163672161905,11.69,60-day return >= -14.7778 AND 60d relative strength vs sector >= -15.622 AND close position in weekly range >= 0.6594 AND weekly range % >= 8.9956,roc_60>=-14.7778 AND rs_sector_60d>=-15.622 AND weekly_close_loc>=0.6594 AND weekly_range_pct>=8.9956,pat_6427
6677,FALCPAT_6677,fresh_breakout,hit_15pc_20d,breakout,PROMOTED,89,905,0.15248618784530388,0.09834254143646409,752.8564450996856,37.52965989981545,19.21383795486796,7.04,volatility (20d ATR%) >= 2.673 AND 60-day return >= -15.4153 AND close position in weekly range >= 0.712 AND weekly range % >= 7.2486,atr_20_pct>=2.673 AND roc_60>=-15.4153 AND weekly_close_loc>=0.712 AND weekly_range_pct>=7.2486,pat_6677
6819,FALCPAT_6819,other,hit_10pc_20d,other,PROMOTED,88,898,0.1492204899777283,0.09799554565701558,1004.3502183761068,58.485949951069486,25.787066597568923,16.68,volatility (20d ATR%) >= 2.3312 AND 60d relative strength vs market <= 28.9405 AND close position in weekly range >= 0.3113 AND weekly range % >= 10.1174,atr_20_pct>=2.3312 AND rs_market_60d<=28.9405 AND weekly_close_loc>=0.3113 AND weekly_range_pct>=10.1174,pat_6819
9366,FALCPAT_9366,other,hit_15pc_20d,other,PROMOTED,88,1762,0.07832009080590238,0.049943246311010214,91.91390290851265,24.19286769360625,4.630496270378267,3.43,volatility (20d ATR%) <= 4.3375 AND close position in weekly range >= 0.0701 AND weekly range % >= 8.43,atr_20_pct<=4.3375 AND weekly_close_loc>=0.0701 AND weekly_range_pct>=8.43,pat_9366
7121,FALCPAT_7121,other,hit_15pc_20d,other,PROMOTED,88,3705,0.03805668016194332,0.023751686909581647,74.6612140843609,25.359683258302173,7.909038452180058,8.94,volatility (20d ATR%) >= 2.4454 AND distance from 20-day high <= -2.0303 AND close position in weekly range >= 0.1664 AND weekly range % >= 5.0236,atr_20_pct>=2.4454 AND dist_high_20<=-2.0303 AND weekly_close_loc>=0.1664 AND weekly_range_pct>=5.0236,pat_7121
