entry_date,signal_date,n_positions,symbols,avg_score,avg_pattern_score
2024-12-02,2024-11-29,15,"RPOWER,BDL,ADANIPOWER,ATGL,ADANIENT,SONATSOFTW,ADANIENSOL,GRSE,PCBL,COCHINSHIP,JPPOWER,HUDCO,IDEA,JWL,NEWGEN",6.2103546099290785,39404.06494052124
2024-12-03,2024-12-02,15,"RPOWER,ANGELONE,HSCL,IRB,PCBL,GRSE,GPIL,BDL,MMTC,FLUOROCHEM,CASTROLIND,OLAELEC,MAZDOCK,EIHOTEL,NEWGEN",5.961283687943262,33504.44735189874
2024-12-04,2024-12-03,15,"UCOBANK,KPITTECH,INOXWIND,IOB,J&KBANK,GRSE,IREDA,MMTC,BDL,GPIL,CASTROLIND,OLAELEC,TATAELXSI,MAZDOCK,INTELLECT",5.987716312056738,32761.773805980636
2024-12-05,2024-12-04,15,"FINCABLES,INOXWIND,KPITTECH,PCBL,RBLBANK,ACE,ANGELONE,IREDA,OLAELEC,J&KBANK,IOB,CASTROLIND,GPIL,MAZDOCK,NEWGEN",6.036925531914893,35432.899154290666
2024-12-06,2024-12-05,15,"FINCABLES,MAPMYINDIA,IOB,J&KBANK,CASTROLIND,TATAELXSI,ITI,MAZDOCK,INOXWIND,IGL,RBLBANK,RPOWER,UCOBANK,GRSE,NEWGEN",5.8806666666666665,34502.51561301055
2024-12-09,2024-12-06,15,"FINCABLES,UCOBANK,RPOWER,MAPMYINDIA,J&KBANK,LODHA,OLAELEC,IOB,PCBL,CASTROLIND,HSCL,MAZDOCK,ITI,TORNTPOWER,IGL",6.067510638297873,31062.94226183947
2024-12-10,2024-12-09,15,"RPOWER,CHALET,DELHIVERY,MANAPPURAM,JWL,TBOTEK,TITAGARH,POWERINDIA,MAPMYINDIA,PGEL,JUBLINGREA,SWANCORP,AIIL,GODFRYPHLP,ADANIGREEN",5.91572695035461,29415.08945154644
2024-12-11,2024-12-10,15,"CHALET,RPOWER,TITAGARH,BLS,CLEAN,TRITURBINE,JBMA,JWL,TBOTEK,POWERINDIA,MAPMYINDIA,ZENTEC,PGEL,SWANCORP,JUBLINGREA",5.999159574468084,29033.64519552187
2024-12-12,2024-12-11,15,"CHALET,JWL,TITAGARH,BLS,GODFRYPHLP,JBMA,RPOWER,MAPMYINDIA,TBOTEK,POWERINDIA,SWANCORP,PGEL,ADANIGREEN,GABRIEL,TTML",5.955485815602835,25475.696675266674
2024-12-13,2024-12-12,15,"POWERINDIA,JWL,JUBLINGREA,JBMA,TBOTEK,PGEL,TITAGARH,CLEAN,GABRIEL,CRISIL,TARIL,MANAPPURAM,NAM-INDIA,TTML,GODFRYPHLP",5.840652482269505,22405.160212360774
2024-12-16,2024-12-13,15,"JWL,TITAGARH,JUBLINGREA,GABRIEL,TBOTEK,SWANCORP,POWERINDIA,PGEL,ZENTEC,AIIL,JBMA,CRISIL,BLS,MANAPPURAM,NAM-INDIA",5.881095744680851,23478.86700648798
2024-12-17,2024-12-16,15,"JWL,AMBER,TECHNOE,AEGISLOG,BLUEJET,FIVESTAR,HONASA,ZENTEC,JPPOWER,ANANTRAJ,TITAGARH,POWERINDIA,GICRE,KPRMILL,BDL",5.819797872340426,22818.065528417184
2024-12-18,2024-12-17,15,"FIRSTCRY,BDL,JWL,TECHNOE,AEGISLOG,FIVESTAR,ZENTEC,NEWGEN,TITAGARH,GVT&D,GICRE,BLUEJET,ANANTRAJ,POWERINDIA,KEC",5.846712765957448,26550.764821167144
2024-12-19,2024-12-18,15,"ANANTRAJ,BDL,AEGISLOG,ACE,ZENTEC,TECHNOE,IREDA,GVT&D,GICRE,NEWGEN,JPPOWER,KAYNES,BLUEJET,JWL,FIRSTCRY",5.787602401129944,22191.607808338984
2024-12-20,2024-12-19,15,"CENTRALBK,AEGISLOG,GICRE,ZENTEC,FIVESTAR,FIRSTCRY,NEWGEN,TITAGARH,KFINTECH,GVT&D,BDL,POWERINDIA,ANANTRAJ,KAYNES,JWL",5.764915433403806,23208.204425319454
2024-12-23,2024-12-20,15,"NIACL,FIVESTAR,ZENTEC,BLUEJET,BDL,TECHNOE,TITAGARH,JPPOWER,HONASA,ANANTRAJ,KPRMILL,GICRE,KFINTECH,MANKIND,NEWGEN",5.7423874824191286,22103.012213101378
2024-12-24,2024-12-23,15,"GRSE,PTCIL,POWERINDIA,AWL,FINCABLES,ELECON,CEATLTD,JUBLINGREA,SOLARINDS,CHALET,INTELLECT,ABDL,COCHINSHIP,SBFC,TARIL",5.834539381153305,23574.066349790573
2024-12-26,2024-12-24,15,"GRSE,INTELLECT,PTCIL,DEVYANI,ACUTAAS,JUBLINGREA,CEATLTD,KFINTECH,CHALET,SAPPHIRE,ABDL,AMBER,COCHINSHIP,POWERINDIA,TARIL",5.819275668073137,24232.1514523039
2024-12-27,2024-12-26,15,"PTCIL,GRSE,DEVYANI,INTELLECT,JUBLINGREA,CEATLTD,AMBER,CHALET,KFINTECH,SAPPHIRE,COCHINSHIP,ABDL,ELECON,TARIL,ADANIENSOL",5.787805907172996,21985.511198952492
2024-12-30,2024-12-27,15,"INTELLECT,GRSE,JUBLINGREA,AMBER,CHALET,POWERINDIA,SAPPHIRE,AJANTPHARM,ABDL,DEEPAKFERT,SAGILITY,GODFRYPHLP,FINCABLES,FACT,VIJAYA",5.683931082981714,18190.905338848792
2024-12-31,2024-12-30,15,"IREDA,IGL,CREDITACC,SUNDARMFIN,RPOWER,PNBHOUSING,POWERINDIA,MAHABANK,POLYMED,HUDCO,LATENTVIEW,AIIL,RAILTEL,SAMMAANCAP,CARTRADE",5.813962728551336,40159.44518424775
2025-01-01,2024-12-31,15,"SUNDARMFIN,IREDA,PNBHOUSING,RITES,IGL,IDEA,THERMAX,RPOWER,HUDCO,CHENNPETRO,SHYAMMETL,POLYMED,AIIL,RAILTEL,CARTRADE",5.915221518987343,39260.103271958964
2025-01-02,2025-01-01,15,"SUNDARMFIN,IREDA,PNBHOUSING,RITES,BLUESTARCO,IDEA,RPOWER,SHYAMMETL,HUDCO,POLYMED,ITI,CARTRADE,TARIL,IGL,IRB",5.873639240506328,37087.396644463755
2025-01-03,2025-01-02,15,"SAREGAMA,RITES,CHOLAHLDNG,IREDA,PNBHOUSING,GODFRYPHLP,IGL,OIL,FORCEMOT,RAILTEL,HUDCO,CREDITACC,BBTC,IDEA,THERMAX",6.043034458509143,30513.931761790405
2025-01-06,2025-01-03,15,"IREDA,SAREGAMA,RITES,SHYAMMETL,CHOLAHLDNG,HUDCO,RAILTEL,POLYMED,BBTC,IGL,FORCEMOT,COCHINSHIP,THERMAX,DMART,OIL",6.051736990154711,29910.15360814123
2025-01-07,2025-01-06,15,"SHYAMMETL,PHOENIXLTD,BDL,CONCORDBIO,SUNDARMFIN,PTCIL,ANANDRATHI,MAZDOCK,LLOYDSME,REDINGTON,GVT&D,RKFORGE,NEULANDLAB,JINDALSAW,MINDACORP",5.778611111111109,16493.349671746273
2025-01-08,2025-01-07,15,"SHYAMMETL,JSWDULUX,BDL,PHOENIXLTD,SUNDARMFIN,PTCIL,VIJAYA,LLOYDSME,MAZDOCK,NLCINDIA,CONCORDBIO,AMBER,TITAGARH,JINDALSAW,CRISIL",5.753544303797469,18898.881478611802
2025-01-09,2025-01-08,15,"SHYAMMETL,CREDITACC,BDL,JSWDULUX,PHOENIXLTD,SUNDARMFIN,PTCIL,MAZDOCK,VIJAYA,LLOYDSME,FIRSTCRY,GVT&D,ANANDRATHI,SOBHA,CARTRADE",5.799933192686358,18467.144690505735
2025-01-10,2025-01-09,15,"SHYAMMETL,JSWDULUX,SOBHA,BDL,PHOENIXLTD,SUNDARMFIN,VIJAYA,PTCIL,ANANDRATHI,MAZDOCK,LLOYDSME,GVT&D,SRF,CONCORDBIO,TECHNOE",5.831550632911393,19969.443626169697
2025-01-13,2025-01-10,15,"JSWDULUX,SHYAMMETL,BDL,PHOENIXLTD,RKFORGE,MAZDOCK,ANANDRATHI,VIJAYA,PTCIL,SUNDARMFIN,GVT&D,TECHNOE,NAVINFLUOR,CONCORDBIO,SRF",5.768171589310829,21145.54198601604
2025-01-14,2025-01-13,15,"GMDCLTD,RPOWER,IRCON,RAILTEL,NIACL,PNBHOUSING,PFC,COCHINSHIP,ENGINERSIN,IFCI,JWL,IDBI,DATAPATTNS,RECLTD,IRB",5.982246835443037,49301.22076463999
2025-01-15,2025-01-14,15,"GMDCLTD,IRCON,RAILTEL,INDUSTOWER,JSWENERGY,TITAGARH,DATAPATTNS,GRSE,SCI,JWL,BDL,HUDCO,RVNL,NBCC,IDBI",5.915214486638535,52209.3661206625
2025-01-16,2025-01-15,15,"IRCON,GMDCLTD,RAILTEL,TITAGARH,IFCI,IDEA,SCI,JWL,BHEL,GRSE,DATAPATTNS,TEJASNET,BDL,INDUSTOWER,HUDCO",5.93825246132208,48625.93396628096
2025-01-17,2025-01-16,15,"PFC,GRSE,ADANIGREEN,IDEA,HUDCO,BDL,RVNL,NBCC,ADANIPOWER,HFCL,RPOWER,GMDCLTD,INDUSTOWER,IRCON,SAMMAANCAP",5.804528832630098,47896.58552370062
2025-01-20,2025-01-17,15,"GMDCLTD,HUDCO,NBCC,IRCON,ADANIENSOL,ENGINERSIN,RAILTEL,IRFC,JWL,IDEA,PFC,SAMMAANCAP,BHEL,ADANIGREEN,IDBI",6.03240506329114,40470.57660952434
2025-01-21,2025-01-20,15,"CGCL,TORNTPOWER,RBLBANK,BHARTIHEXA,DEEPAKFERT,GRSE,PERSISTENT,POLICYBZR,NAVA,ZENSARTECH,AMBER,KFINTECH,BDL,DCMSHRIRAM,GODIGIT",5.912514064697609,24775.18524773131
2025-01-22,2025-01-21,15,"DCMSHRIRAM,RBLBANK,BHARTIHEXA,CGCL,POLICYBZR,COFORGE,NAVA,PERSISTENT,MCX,ZENSARTECH,ETERNAL,ZOMATO,FIRSTCRY,AMBER,GODIGIT",5.8802953586497875,28410.571576254835
2025-01-23,2025-01-22,15,"CGCL,BBTC,DCMSHRIRAM,BHARTIHEXA,GRSE,COFORGE,PERSISTENT,POLICYBZR,NAVA,AMBER,MCX,FIRSTCRY,ZENSARTECH,KFINTECH,ETERNAL",5.902605485232067,28679.363685658023
2025-01-24,2025-01-23,15,"BBTC,GODIGIT,CGCL,NAVA,POLICYBZR,MCX,AMBER,ZOMATO,ETERNAL,KFINTECH,FSL,ZENSARTECH,RBLBANK,TORNTPOWER,BHARTIHEXA",5.798899437412095,21757.883336731873
2025-01-27,2025-01-24,15,"KEI,POLICYBZR,NAVA,MCX,FIVESTAR,CGCL,BBTC,AMBER,TORNTPOWER,COFORGE,KFINTECH,ZOMATO,ETERNAL,FSL,GODIGIT",5.770368421052632,23147.9137176026
2025-01-28,2025-01-27,15,"CGPOWER,DATAPATTNS,OLECTRA,RVNL,OLAELEC,JUBLPHARMA,ABSLAMC,SUPREMEIND,BRIGADE,BEML,AEGISLOG,DOMS,KEC,AADHARHFC,JWL",5.906252631578947,56091.834190109825
2025-01-29,2025-01-28,15,"CGPOWER,SYRMA,OLECTRA,OLAELEC,BEML,RAILTEL,ZENTEC,SUPREMEIND,JBMA,HSCL,DOMS,NSLNISP,ENGINERSIN,RVNL,PGEL",5.852326315789474,55406.19830909882
2025-01-30,2025-01-29,15,"OLECTRA,ABSLAMC,OLAELEC,JBMA,JPPOWER,KEC,ENGINERSIN,HSCL,NBCC,TRITURBINE,KALYANKJIL,JYOTICNC,PGEL,IRB,GRSE",5.780294117647059,55251.26896405956
2025-01-31,2025-01-30,15,"ABSLAMC,OLAELEC,KEC,HSCL,OLECTRA,SUZLON,PGEL,BAJAJHFL,JMFINANCIL,GRSE,NBCC,JYOTICNC,IRCON,KALYANKJIL,TITAGARH",5.731768207282913,55914.80548278519
