bucket,rule_family,pairs,patterns,symbols,total_n,edge_score,weighted_avg_d1
1-2%,volatility_expansion|weekly_strength,2532,156,410,29827,38633.899,1.29526600060348
1-2%,volatility_expansion,1139,76,374,13983,18453.456,1.3197065007509117
1-2%,pullback_from_high|volatility_expansion,843,44,321,10946,14308.952,1.3072311346610634
1-2%,volatility_expansion|relative_strength,728,59,302,8898,11470.546,1.289115082040908
1-2%,other,833,53,346,7571,10218.838,1.34973424910844
1-2%,volatility_expansion|recent_weakness|weekly_strength,782,28,314,7331,9826.922,1.3404613286045561
1-2%,volatility_expansion|weekly_strength|relative_strength,576,45,276,6923,8879.945,1.2826729741441572
1-2%,pullback_from_high|volatility_expansion|weekly_strength,522,23,263,5823,7634.827,1.311150094453031
1-2%,pullback_from_high|volatility_expansion|relative_strength,443,21,245,5402,7181.813,1.329472972972973
1-2%,pullback_from_high,470,27,248,5191,6878.737,1.3251275284145636
1-2%,volatility_expansion|weekly_weak_close,434,23,238,5053,6588.6,1.303898674055017
1-2%,volatility_expansion|compression|weekly_strength,328,27,207,4098,5243.478,1.2795212298682284
1-2%,pullback_from_high|volatility_expansion|weekly_weak_close,286,15,181,3717,4903.277,1.319149044928706
1-2%,volatility_expansion|weekly_strength|weekly_weak_close,303,11,198,3252,4161.715,1.279740159901599
1-2%,pullback_from_high|volatility_expansion|weekly_strength|relative_strength,222,8,152,2606,3347.099,1.284381811204912
1-2%,pullback_from_high|volatility_expansion|recent_weakness|weekly_weak_close,196,6,130,2373,3199.551,1.348314791403287
1-2%,volatility_expansion|recent_weakness,201,12,157,2364,3097.737,1.3103794416243655
1-2%,pullback_from_high|volatility_expansion|compression|weekly_strength,193,10,143,2399,3031.096,1.263483117965819
1-2%,volatility_expansion|weekly_weak_close|relative_strength,157,11,122,2002,2614.167,1.3057777222777223
1-2%,volatility_expansion|compression|recent_weakness|weekly_strength,189,5,146,1932,2605.062,1.3483757763975155
1-2%,volatility_expansion|recent_weakness|relative_strength,164,7,130,1901,2504.5,1.3174644923724355
1-2%,oversold|pullback_from_high|volatility_expansion,125,3,104,1871,2498.744,1.3355125601282731
1-2%,pullback_from_high|volatility_expansion|recent_weakness,153,8,120,1880,2457.082,1.3069585106382982
1-2%,pullback_from_high|compression|relative_strength,133,6,108,1789,2343.079,1.3097143655673562
1-2%,compression|weekly_strength,132,9,101,1824,2286.635,1.2536376096491229
1-2%,pullback_from_high|relative_strength,140,7,108,1657,2180.273,1.3157954133977066
1-2%,volatility_expansion|recent_weakness|weekly_strength|relative_strength,145,5,114,1391,1880.075,1.3515995686556435
1-2%,oversold|pullback_from_high|recent_weakness,116,3,94,1303,1752.406,1.3449009976976207
1-2%,recent_weakness,96,3,86,1168,1581.966,1.3544229452054795
1-2%,weekly_strength|relative_strength,104,8,82,1221,1566.54,1.2829975429975429
1-2%,weekly_strength,75,11,64,1140,1493.627,1.3101991228070173
1-2%,volatility_expansion|compression|relative_strength,94,7,84,1125,1441.226,1.2810897777777777
1-2%,pullback_from_high|compression|weekly_strength,87,6,75,1042,1347.72,1.293397312859885
1-2%,pullback_from_high|weekly_strength,83,4,74,939,1301.395,1.3859371671991483
1-2%,compression,70,3,54,945,1260.17,1.3335132275132275
1-2%,volatility_expansion|recent_weakness|weekly_weak_close,89,2,84,883,1231.795,1.3950113250283127
1-2%,pullback_from_high|recent_weakness|relative_strength,53,3,49,930,1222.142,1.314131182795699
1-2%,pullback_from_high|volatility_expansion|weekly_weak_close|relative_strength,61,4,52,879,1166.748,1.3273583617747444
1-2%,volatility_expansion|compression,70,8,65,927,1164.392,1.2560862998921252
1-2%,volatility_expansion|recent_weakness|weekly_weak_close|relative_strength,81,3,77,855,1159.155,1.3557368421052631
1-2%,oversold|pullback_from_high|volatility_expansion|weekly_weak_close,89,2,83,824,1144.331,1.3887512135922329
1-2%,volatility_expansion|compression|weekly_strength|relative_strength,58,4,54,699,906.871,1.2973834048640915
1-2%,oversold|pullback_from_high,56,3,53,699,894.1080000000001,1.2791244635193133
1-2%,pullback_from_high|compression|weekly_weak_close,33,1,33,683,887.798,1.2998506588579797
1-2%,oversold|volatility_expansion,68,3,64,669,863.448,1.2906547085201794
1-2%,compression|weekly_strength|weekly_weak_close,52,3,37,635,834.816,1.3146708661417323
1-2%,compression|recent_weakness,53,2,53,595,826.183,1.3885428571428573
1-2%,relative_strength,55,5,54,575,739.121,1.2854278260869565
1-2%,oversold|volatility_expansion|weekly_weak_close,84,2,76,505,737.107,1.459617821782178
1-2%,volatility_expansion|compression|weekly_weak_close,52,3,45,546,711.191,1.302547619047619
1-2%,weekly_weak_close,44,2,42,514,670.377,1.3042354085603112
1-2%,pullback_from_high|weekly_strength|relative_strength,59,2,54,502,662.254,1.3192310756972112
1-2%,oversold|volatility_expansion|weekly_strength,45,3,44,465,593.021,1.2753139784946235
1-2%,compression|relative_strength,30,2,30,458,584.068,1.2752576419213972
1-2%,pullback_from_high|volatility_expansion|recent_weakness|weekly_strength,34,1,34,443,583.145,1.316354401805869
1-2%,recent_weakness|relative_strength,28,1,28,439,574.498,1.3086514806378131
1-2%,oversold|pullback_from_high|relative_strength,19,1,19,295,377.38599999999997,1.2792745762711868
1-2%,oversold|volatility_expansion|relative_strength,15,1,15,326,375.891,1.1530398773006134
1-2%,pullback_from_high|weekly_weak_close|relative_strength,24,2,24,259,334.506,1.2915289575289575
1-2%,oversold|volatility_expansion|recent_weakness|relative_strength,41,1,41,240,332.802,1.386675
1-2%,pullback_from_high|volatility_expansion|weekly_strength|weekly_weak_close,19,1,19,212,294.606,1.3896509433962263
1-2%,compression|weekly_strength|relative_strength,19,1,19,213,273.049,1.2819201877934272
1-2%,pullback_from_high|volatility_expansion|compression|weekly_weak_close,14,1,14,202,258.423,1.279321782178218
1-2%,pullback_from_high|volatility_expansion|compression,21,2,21,201,257.269,1.2799452736318406
1-2%,weekly_strength|weekly_weak_close,17,1,17,188,254.55700000000002,1.3540265957446809
1-2%,oversold|compression|recent_weakness,35,1,35,184,252.91,1.3745108695652173
1-2%,oversold|compression|weekly_strength,10,2,10,200,243.17,1.2158499999999999
1-2%,pullback_from_high|weekly_weak_close,9,1,9,203,227.438,1.120384236453202
1-2%,compression|weekly_weak_close,16,2,16,183,212.049,1.1587377049180327
1-2%,pullback_from_high|volatility_expansion|compression|relative_strength,12,1,12,134,159.17000000000002,1.1878358208955222
1-2%,volatility_expansion|compression|recent_weakness,10,1,10,115,145.94799999999998,1.269113043478261
1-2%,weekly_weak_close|relative_strength,7,1,7,75,102.147,1.3619599999999998
1-2%,volatility_expansion|weekly_strength|weekly_weak_close|relative_strength,6,2,6,63,82.795,1.314206349206349
1-2%,pullback_from_high|volatility_expansion|recent_weakness|relative_strength,10,1,10,67,81.037,1.2095074626865672
1-2%,pullback_from_high|compression,6,1,6,50,78.644,1.57288
10%+,pullback_from_high|volatility_expansion|weekly_strength,1,1,1,3,34.749,11.583
2-5%,volatility_expansion|weekly_strength,683,118,220,4821,12845.589,2.6645071561916613
2-5%,volatility_expansion,338,61,200,2222,5895.16,2.653087308730873
2-5%,pullback_from_high|volatility_expansion,294,42,175,1877,5094.077,2.7139461907298887
2-5%,other,233,44,144,1373,3741.363,2.7249548434085944
2-5%,volatility_expansion|recent_weakness|weekly_strength,213,26,124,1262,3427.519,2.7159421553090333
2-5%,volatility_expansion|relative_strength,190,46,135,1247,3282.082,2.63198235765838
2-5%,pullback_from_high,174,26,118,1024,2800.045,2.7344189453125
2-5%,pullback_from_high|volatility_expansion|relative_strength,145,20,93,998,2563.812,2.568949899799599
2-5%,volatility_expansion|weekly_strength|relative_strength,140,29,100,976,2561.068,2.624045081967213
2-5%,pullback_from_high|volatility_expansion|weekly_strength,136,20,99,802,2165.319,2.699899002493766
2-5%,volatility_expansion|weekly_weak_close,116,20,94,758,1984.152,2.6176147757255936
2-5%,pullback_from_high|volatility_expansion|weekly_weak_close,100,15,76,608,1644.121,2.704146381578947
2-5%,volatility_expansion|recent_weakness,60,8,53,422,1135.364,2.690436018957346
2-5%,pullback_from_high|volatility_expansion|recent_weakness|weekly_weak_close,65,6,51,416,1071.745,2.5763100961538465
2-5%,pullback_from_high|volatility_expansion|weekly_strength|relative_strength,63,8,56,402,1068.6689999999999,2.6583805970149257
2-5%,volatility_expansion|weekly_strength|weekly_weak_close,69,10,51,415,1061.2169999999999,2.557149397590362
2-5%,volatility_expansion|compression|weekly_strength,66,16,58,409,1020.782,2.4957995110024447
2-5%,pullback_from_high|relative_strength,58,7,41,335,928.249,2.7708925373134328
2-5%,volatility_expansion|recent_weakness|relative_strength,46,6,39,362,919.674,2.54053591160221
2-5%,pullback_from_high|volatility_expansion|recent_weakness,52,8,40,336,904.912,2.6931904761904755
2-5%,oversold|pullback_from_high|volatility_expansion,33,3,28,343,837.3009999999999,2.4411107871720112
2-5%,oversold|volatility_expansion|weekly_weak_close,49,2,46,279,787.029,2.8208924731182794
2-5%,pullback_from_high|compression|relative_strength,49,6,45,283,756.408,2.672819787985866
2-5%,weekly_strength,29,6,26,298,733.535,2.4615268456375836
2-5%,volatility_expansion|recent_weakness|weekly_weak_close,36,2,34,248,707.96,2.854677419354839
2-5%,weekly_strength|relative_strength,34,8,29,236,651.006,2.7584999999999997
2-5%,volatility_expansion|recent_weakness|weekly_strength|relative_strength,36,5,31,250,650.748,2.602992000000001
2-5%,oversold|pullback_from_high|volatility_expansion|weekly_weak_close,37,2,36,242,647.482,2.6755454545454542
2-5%,volatility_expansion|compression|recent_weakness|weekly_strength,43,5,41,225,596.604,2.6515733333333333
2-5%,pullback_from_high|volatility_expansion|compression|weekly_strength,36,7,33,227,594.643,2.6195726872246694
2-5%,oversold|pullback_from_high|recent_weakness,33,3,27,210,563.869,2.685090476190476
2-5%,pullback_from_high|weekly_strength,37,4,35,198,549.177,2.773621212121213
2-5%,recent_weakness,27,3,24,209,544.575,2.6056220095693776
2-5%,compression|weekly_strength,34,7,27,205,516.925,2.5215853658536584
2-5%,volatility_expansion|recent_weakness|weekly_weak_close|relative_strength,29,3,27,180,490.011,2.722283333333333
2-5%,pullback_from_high|compression|weekly_strength,26,6,26,184,448.009,2.4348315217391305
2-5%,volatility_expansion|weekly_weak_close|relative_strength,28,8,24,174,417.24199999999996,2.397942528735632
2-5%,volatility_expansion|compression,22,6,21,168,412.09499999999997,2.452946428571429
2-5%,oversold|volatility_expansion,24,3,24,149,401.765,2.6964093959731543
2-5%,compression|recent_weakness,18,1,18,149,378.662,2.541355704697987
2-5%,pullback_from_high|weekly_strength|relative_strength,23,2,18,134,359.276,2.681164179104478
2-5%,volatility_expansion|compression|relative_strength,21,6,21,147,349.322,2.3763401360544214
2-5%,volatility_expansion|compression|weekly_weak_close,14,3,14,125,323.435,2.5874800000000002
2-5%,weekly_weak_close,19,2,17,122,304.715,2.49766393442623
2-5%,oversold|compression|recent_weakness,23,1,23,105,298.153,2.8395523809523806
2-5%,compression|weekly_strength|weekly_weak_close,18,3,14,123,280.262,2.278552845528455
