bucket,pattern,symbols,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,rule_family,rule,weighted_avg_d1
1-2%,FALCPAT_8890,71,1005,1.4055633802816903,1.97,1375.778,345.96645409435723,volatility_expansion,distance from 200-DMA >= -27.8495 AND daily range % >= 9.3513,1.3689333333333331
1-2%,FALCPAT_6166,44,971,1.3681136363636364,1.972,1269.277,259.4381506391037,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 2.3998 AND distance from 10-day high <= -10.5311 AND distance from year-high <= -22.7827 AND distance from 200-DMA <= 26.4245,1.3071853759011327
1-2%,FALCPAT_6145,52,948,1.3543076923076924,1.993,1252.856,283.7634126021581,pullback_from_high|volatility_expansion|recent_weakness|weekly_weak_close,volatility (20d ATR%) >= 2.3809 AND distance from 10-day high <= -10.5981 AND 60-day return <= -5.3808 AND close position in weekly range <= 0.7418,1.3215780590717299
1-2%,FALCPAT_8178,38,770,1.3336578947368423,1.943,987.44,212.64816926361635,oversold|pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 3.0061 AND short-term vol vs longer-term >= 0.8729 AND distance from year-high <= -15.2403 AND RSI(14) <= 33.6661,1.2823896103896102
1-2%,FALCPAT_6882,24,791,1.1392083333333332,1.462,895.403,150.11052143275444,pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 3.3684 AND short-term vol vs longer-term >= 1.0196 AND distance from 120-day high <= -7.2128 AND weekly range % >= 8.5705,1.1319886219974715
1-2%,FALCPAT_6174,33,683,1.3622727272727273,1.948,887.798,184.55970600137374,pullback_from_high|compression|weekly_weak_close,distance from 10-day high <= -10.804 AND days with sub-3% range in last 7 <= 2.5 AND close position in weekly range <= 0.7438,1.2998506588579797
1-2%,FALCPAT_7801,46,621,1.3803695652173913,1.935,857.87,225.21512326931736,other,distance from 20-DMA <= -7.2311 AND distance from 200-DMA <= 3.487 AND distance from 20-week SMA <= 3.0555,1.3814331723027375
1-2%,FALCPAT_6477,44,609,1.3642045454545455,1.973,793.167,207.919201144496,oversold|pullback_from_high|volatility_expansion,volatility (20d ATR%) >= 2.0373 AND distance from year-high <= -20.1662 AND RSI(14) <= 28.6983 AND weekly range % >= 5.6382,1.3024088669950737
1-2%,FALCPAT_7780,52,573,1.38425,1.975,791.8629999999999,228.75097052569166,compression|recent_weakness,days with sub-2.5% range in last 7 <= 0.5 AND 5-day return <= -6.6651 AND distance from 20-week SMA <= 3.0555,1.3819598603839445
1-2%,FALCPAT_6951,35,591,1.3450285714285715,1.917,783.3969999999999,183.03859380275125,volatility_expansion,volatility (20d ATR%) >= 2.4437 AND distance from 50-DMA <= -2.9357 AND weekly range % >= 10.0261,1.325544839255499
