pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier,prior_score
FALCPAT_9506,VIJAYA,10,6.533,5-10%,65.33,20.659159953880025,hit_10pc_20d,capitulation,58.68804664723032,35.380587245184216,23.307459402046103,PROMOTED,distance from 120-day high <= -24.3888 AND 60-day return <= -18.2025 AND RSI(14) >= 30.1137,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high|recent_weakness,A_high_edge,15.665449817191757
FALCPAT_9426,VIJAYA,18,5.18,5-10%,93.24,21.976878759277895,hit_15pc_20d,mean_reversion,43.16877152698048,19.56237142322798,23.606400103752502,PROMOTED,volatility (20d ATR%) >= 5.1256 AND distance from 20-DMA <= -5.7799 AND distance from 200-DMA <= 1.1002,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,A_high_edge,15.25219391208216
FALCPAT_6458,VIJAYA,12,5.696,5-10%,68.352,19.73152279982465,hit_40pc_40d,other,9.468072067655353,5.215431258203689,4.252640809451661,PROMOTED,distance from 60-day high <= -27.1734,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,A_high_edge,14.609951540100912
FALCPAT_8781,VIJAYA,17,4.928,2-5%,83.776,20.318664523043832,hit_15pc_20d,other,31.96144829382652,19.56237142322798,12.399076870598538,PROMOTED,volatility (20d ATR%) >= 3.6112 AND distance from year-high >= -44.7637 AND 60-day return <= 46.2598 AND distance from 20-week SMA <= -11.7789,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness,A_high_edge,14.243752022912298
FALCPAT_9016,VIJAYA,25,3.969,2-5%,99.225,19.845,hit_25pc_30d,capitulation,18.423409973126308,10.408532325017468,8.014877648108838,PROMOTED,volatility (20d ATR%) >= 2.9391 AND distance from 120-day high <= -23.6189 AND distance from 200-DMA >= -37.0609 AND distance from 20-week SMA <= -10.6066,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,A_high_edge,12.931385159407261
FALCPAT_8970,IOB,10,5.123,5-10%,51.230000000000004,16.200348453042608,,,,,,,,,other,A_high_edge,12.284417482546054
FALCPAT_7801,VIJAYA,24,3.76,2-5%,90.24,18.4201628657295,hit_25pc_30d,mean_reversion,16.007466003021953,7.722364089468664,8.285101913553289,PROMOTED,distance from 20-DMA <= -7.2311 AND distance from 200-DMA <= 3.487 AND distance from 20-week SMA <= 3.0555,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",other,A_high_edge,12.102973101504434
FALCPAT_8464,WOCKPHARMA,18,4.107,2-5%,73.926,17.424525301998905,hit_15pc_20d,momentum,31.09815354713314,15.52565995111252,15.57249359602062,PROMOTED,slope of 50-DMA >= 0.4452 AND volume vs 20-day average >= 1.9044 AND close position in weekly range >= 0.2196 AND weekly range % >= 12.8017,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,12.09281088743657
FALCPAT_8065,RVNL,12,4.712,2-5%,56.544,16.322846810529096,hit_10pc_20d,capitulation,41.82509505703423,30.24927834188964,11.575816715144583,PROMOTED,distance from 20-day high <= -16.1936 AND RSI(14) <= 30.4449 AND close position in weekly range <= 0.4857 AND weekly range % >= 7.862,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",oversold|pullback_from_high|volatility_expansion|weekly_weak_close,A_high_edge,12.08604137235876
FALCPAT_8407,RVNL,15,4.355,2-5%,65.325,16.866842472733303,hit_10pc_20d,breakout,58.27659074900211,30.24927834188964,28.02731240711247,PROMOTED,60-day return <= 31.9685 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA >= 8.8666 AND weekly range % >= 9.4741,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,A_high_edge,12.074623885354248
FALCPAT_9457,ADANIENT,20,3.949,2-5%,78.97999999999999,17.66046488629334,hit_10pc_20d,capitulation,64.83790523690773,35.380587245184216,29.45731799172352,PROMOTED,volatility (20d ATR%) >= 2.5731 AND distance from year-high <= -52.5716 AND volume vs 20-day average >= 0.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,A_high_edge,12.022819106569797
FALCPAT_8292,GMDCLTD,11,4.613,2-5%,50.743,15.29959015790946,hit_25pc_30d,other,18.79457917261056,7.722364089468664,11.072215083141892,PROMOTED,volatility (20d ATR%) >= 4.4758 AND short-term vol vs longer-term >= 0.5644 AND distance from 200-DMA <= 63.9497 AND 60d relative strength vs sector >= 0.7151,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|relative_strength,A_high_edge,11.462874375472047
FALCPAT_9317,VIJAYA,12,4.176,2-5%,50.112,14.466088344815264,hit_25pc_30d,capitulation,21.47957726363896,10.408532325017468,11.071044938621492,PROMOTED,distance from year-high <= -27.2313 AND distance from 60-day high <= -12.4475 AND slope of 50-DMA <= -0.5788 AND weekly range % >= 9.5581,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,A_high_edge,10.711228516759379
FALCPAT_7086,IOB,13,4.056,2-5%,52.728,14.62411597328194,hit_10pc_20d,breakout,52.87215020116227,32.698883353500555,20.173266847661715,PROMOTED,volatility (20d ATR%) >= 2.3175 AND distance from 120-day high >= -4.8089 AND close position in weekly range >= 0.6441 AND weekly range % >= 7.9969,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,10.704016528919489
FALCPAT_8464,RVNL,21,3.335,2-5%,70.035,15.282889942677725,hit_15pc_20d,momentum,31.09815354713314,15.52565995111252,15.57249359602062,PROMOTED,slope of 50-DMA >= 0.4452 AND volume vs 20-day average >= 1.9044 AND close position in weekly range >= 0.2196 AND weekly range % >= 12.8017,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,10.308626581949984
FALCPAT_7964,ITI,10,4.292,2-5%,42.92,13.572495717442685,hit_10pc_20d,breakout,70.96171802054155,30.24927834188964,40.71243967865191,PROMOTED,short-term vol vs longer-term <= 1.2039 AND slope of 50-DMA >= 0.7708 AND close position in weekly range >= 0.6229 AND weekly range % >= 11.7775,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,10.291766510850607
FALCPAT_7834,ITI,16,3.629,2-5%,58.064,14.516,hit_25pc_30d,other,30.0,7.722364089468664,22.27763591053133,PROMOTED,volatility (20d ATR%) >= 6.6596 AND close position in weekly range >= 0.1837 AND weekly range % >= 19.9051,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,10.281731225580009
FALCPAT_7560,ADANIENT,13,3.889,2-5%,50.556999999999995,14.021988910279452,hit_25pc_30d,capitulation,37.03703703703704,9.458155042142677,27.57888199489436,PROMOTED,distance from 120-day high <= -32.6468 AND distance from year-high <= -59.8465 AND distance from 20-week SMA <= 12.5677,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,A_high_edge,10.26329395487374
FALCPAT_9109,VIJAYA,12,3.942,2-5%,47.304,13.655488566873029,hit_10pc_20d,capitulation,63.58071920428462,35.380587245184216,28.200131959100403,PROMOTED,volatility (20d ATR%) >= 3.307 AND 60-day return <= -17.1495 AND 20d relative strength vs market >= -11.4042 AND close position in weekly range <= 0.7784,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_weak_close|relative_strength,A_high_edge,10.111030367113377
FALCPAT_8464,GALLANTT,20,3.317,2-5%,66.34,14.834074962733606,hit_15pc_20d,momentum,31.09815354713314,15.52565995111252,15.57249359602062,PROMOTED,slope of 50-DMA >= 0.4452 AND volume vs 20-day average >= 1.9044 AND close position in weekly range >= 0.2196 AND weekly range % >= 12.8017,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge,10.098680925928594
FALCPAT_7747,VIJAYA,24,3.11,2-5%,74.64,15.235826200111365,hit_15pc_20d,other,26.39691714836224,15.52565995111252,10.871257197249715,PROMOTED,volatility (20d ATR%) >= 3.5078 AND close position in weekly range <= 0.6063 AND distance from 20-week SMA <= -9.6119,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close,A_high_edge,10.010703815340104
FALCPAT_8890,HFCL,16,3.519,2-5%,56.304,14.076,hit_40pc_40d,other,7.41444866920152,4.088422971741112,3.326025697460408,PROMOTED,distance from 200-DMA >= -27.8495 AND daily range % >= 9.3513,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,A_high_edge,9.970077757733826
FALCPAT_7199,MAZDOCK,10,4.098,2-5%,40.98,12.959013851370019,hit_25pc_30d,breakout,16.205910390848427,9.458155042142677,6.747755348705751,PROMOTED,close position in weekly range <= 0.2462 AND distance from 20-week SMA >= 21.4949 AND weekly range % >= 10.7355,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_weak_close,A_high_edge,9.826574827927722
