bucket,symbol,patterns,total_n,avg_d1_mean,max_avg_d1,edge_score,stability_score,weighted_avg_d1
1-2%,ITI,102,2583,1.4073921568627452,1.975,3615.616,688.9200570938865,1.3997739063104915
1-2%,KFINTECH,117,2509,1.3712991452991454,1.964,3230.584,677.7751899574885,1.2875982463132722
1-2%,RVNL,84,2123,1.3358095238095238,1.997,2735.145,523.0770298711554,1.2883396137541216
1-2%,VIJAYA,72,1876,1.4826944444444445,1.999,2702.506,506.82709706692197,1.4405682302771856
1-2%,JUBLPHARMA,96,1893,1.4182083333333333,1.999,2557.188,555.7260486604406,1.35086529318542
1-2%,GRAVITA,85,1720,1.3380235294117646,1.961,2184.514,473.11000488586507,1.2700662790697674
1-2%,BDL,82,1737,1.336951219512195,1.953,2131.227,447.49714226433474,1.2269585492227981
1-2%,GRSE,67,1652,1.350373134328358,1.995,2108.808,415.00437709145314,1.2765181598062953
1-2%,ERIS,92,1605,1.3606521739130435,1.983,2093.05,475.20813054522745,1.3040809968847353
1-2%,LODHA,73,1570,1.3463698630136987,1.973,2035.561,423.76844300877474,1.296535668789809
1-2%,BSE,72,1543,1.2794166666666666,1.938,1849.223,382.38673414967417,1.1984594944912508
1-2%,COCHINSHIP,52,1436,1.3483461538461539,1.969,1829.95,329.78571640852743,1.2743384401114206
1-2%,POLICYBZR,83,1371,1.3734698795180724,1.995,1808.875,430.7010916034362,1.3193836615609047
1-2%,INDIACEM,92,1391,1.3129021739130435,1.997,1791.571,444.1334768343667,1.2879734004313446
1-2%,ANURAS,106,1310,1.3917075471698113,1.958,1737.213,483.5613312750175,1.3261167938931298
1-2%,TARIL,48,1398,1.3132291666666667,1.937,1712.44,304.59493702885385,1.2249213161659513
1-2%,HINDZINC,86,1285,1.349313953488372,1.964,1678.86,422.8404942891207,1.3065058365758757
1-2%,OLECTRA,67,1204,1.3475671641791045,1.989,1613.679,365.90593753729877,1.340264950166113
1-2%,GPIL,77,1165,1.4456103896103896,1.992,1568.483,395.5493380402862,1.3463373390557938
1-2%,HUDCO,62,1143,1.4281612903225807,1.94,1566.423,354.7726269135856,1.370448818897638
1-2%,KAYNES,73,1191,1.385068493150685,1.987,1551.106,376.48125888020445,1.3023560033585224
1-2%,NLCINDIA,72,1135,1.3713333333333333,1.979,1523.249,366.28250865997575,1.342069603524229
1-2%,FACT,48,1163,1.3618125,1.991,1479.318,290.59880399687216,1.2719845227858986
1-2%,DATAPATTNS,56,1095,1.368017857142857,1.975,1450.263,318.472018017324,1.324441095890411
1-2%,MAZDOCK,52,1143,1.3908269230769232,1.994,1448.5,298.1549209733656,1.2672790901137359
1-2%,NAVA,64,1116,1.36359375,1.959,1437.625,337.3353022093686,1.2881944444444444
1-2%,GODREJIND,61,1069,1.4253934426229509,1.951,1430.94,333.82945631294643,1.3385781103835361
1-2%,INTELLECT,60,1079,1.3733666666666666,1.956,1414.108,325.2953695273758,1.3105727525486564
1-2%,POONAWALLA,68,1028,1.3840441176470588,1.96,1377.247,347.70054308101834,1.3397344357976653
1-2%,DOMS,75,1040,1.35276,1.967,1370.135,358.87365042263923,1.3174375
1-2%,GVT&D,52,1100,1.2967307692307695,1.907,1313.9089999999999,268.7799102440215,1.194462727272727
1-2%,HBLENGINE,51,946,1.3877254901960785,1.98,1251.107,284.00065661177257,1.3225232558139537
1-2%,CREDITACC,57,967,1.3172456140350877,1.875,1240.825,287.98489019556405,1.2831695966907963
1-2%,BIKAJI,84,898,1.4572380952380952,1.946,1230.617,375.48870464152094,1.3703975501113588
1-2%,GRANULES,72,902,1.4083333333333334,1.929,1221.753,331.4151849468221,1.3544933481152994
1-2%,TATAINVEST,55,906,1.388709090909091,1.968,1215.142,290.43084383872144,1.3412163355408386
1-2%,WOCKPHARMA,46,882,1.3756739130434783,1.902,1202.7160000000001,258.2681182878312,1.36362358276644
1-2%,ADANIPOWER,42,944,1.2710238095238096,1.872,1187.522,236.56691785173876,1.257968220338983
1-2%,ATUL,100,852,1.43126,1.973,1172.323,390.8075379567221,1.3759659624413143
1-2%,MMTC,44,819,1.4206363636363637,1.949,1120.957,253.75449758919552,1.3686898656898656
1-2%,AEGISLOG,50,847,1.36518,1.982,1120.081,265.10399453996405,1.322409681227863
1-2%,ZENSARTECH,53,816,1.388490566037736,1.981,1074.923,259.8836318195492,1.3173075980392157
1-2%,SAREGAMA,47,778,1.433276595744681,1.986,1069.333,252.77223737286425,1.3744640102827765
1-2%,GODFRYPHLP,55,809,1.3745454545454545,1.973,1061.655,269.7762989938233,1.3123053152039554
1-2%,ACE,62,801,1.3732096774193547,1.964,1051.964,281.07463337055407,1.3133133583021224
1-2%,GALLANTT,48,773,1.362875,1.923,1033.132,244.02924306760204,1.336522639068564
1-2%,SJVN,42,817,1.298904761904762,1.907,1022.255,223.40210340293183,1.2512301101591188
1-2%,BLS,53,781,1.3332641509433962,1.967,1010.447,256.1720353991831,1.293786171574904
1-2%,JBMA,44,775,1.3495454545454546,1.972,989.3149999999999,231.61543062366476,1.2765354838709677
1-2%,SOBHA,49,764,1.337142857142857,1.994,987.626,237.45958798987132,1.2927041884816752
1-2%,APARINDS,49,726,1.3959795918367348,1.999,971.666,243.03760016890232,1.3383829201101929
1-2%,IRCON,46,708,1.4165,1.951,968.8050000000001,235.3814741241137,1.3683686440677967
1-2%,NUVAMA,59,718,1.3715254237288137,1.979,967.861,264.8161597737923,1.3479958217270196
1-2%,NEWGEN,44,726,1.3880227272727272,1.932,957.068,228.2219654091251,1.318275482093664
1-2%,FSL,47,712,1.377872340425532,1.979,949.61,235.0634421610267,1.3337219101123596
1-2%,GMDCLTD,54,720,1.348648148148148,1.871,949.27,253.2588460944848,1.3184305555555556
1-2%,CHAMBLFERT,69,725,1.3515652173913042,1.972,937.25,281.0030612998869,1.2927586206896553
1-2%,RITES,51,674,1.4333725490196079,1.988,934.398,249.00886582415285,1.386347181008902
1-2%,CHOLAHLDNG,58,693,1.363948275862069,1.995,907.772,256.7134876776298,1.309916305916306
1-2%,LAURUSLABS,51,645,1.374156862745098,1.941,901.832,237.52827931617028,1.3981891472868218
1-2%,NATIONALUM,59,645,1.4296610169491524,1.957,897.138,262.39288230366526,1.3909116279069766
1-2%,LTFOODS,47,671,1.3385957446808512,1.993,885.791,222.53493260618993,1.3201058122205662
1-2%,BEML,35,717,1.2946,1.986,880.813,184.98500530218223,1.2284700139470013
1-2%,ELGIEQUIP,42,703,1.3173333333333335,1.935,877.23,208.45128788836436,1.2478378378378379
1-2%,INOXWIND,34,717,1.2900294117647058,1.957,870.371,187.94144555884296,1.2139065550906556
1-2%,WELCORP,53,604,1.4384528301886792,1.981,841.077,242.4096000040293,1.3925115894039732
1-2%,NIACL,41,616,1.4157560975609755,1.963,835.088,213.97576118444223,1.3556623376623376
