pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_9124,OLECTRA,3,11.583,10%+,34.749,20.062344504070303,hit_15pc_20d,capitulation,50.93023255813953,19.56237142322798,31.36786113491156,PROMOTED,volatility (20d ATR%) >= 3.4326 AND distance from year-high <= -21.3469 AND close position in weekly range >= 0.8244 AND distance from 20-week SMA >= 3.36,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength,D_extreme_thin
FALCPAT_6658,GODREJIND,3,8.51,5-10%,25.53,14.739752372411145,hit_25pc_30d,compression,20.35162493340437,10.722915258072424,9.628709675331946,PROMOTED,volatility (20d ATR%) >= 3.2273 AND days with sub-75% volume in last 7 >= 3.5 AND slope of 50-DMA <= -2.14 AND distance from 20-week SMA <= -7.067,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion,ignore
FALCPAT_6674,LODHA,3,8.291,5-10%,24.873,14.360433245553562,hit_15pc_20d,capitulation,45.36082474226804,18.31582194494749,27.04500279732055,PROMOTED,volatility (20d ATR%) >= 2.673 AND distance from 50-DMA <= -9.6156 AND 60-day return <= -15.4153 AND close position in weekly range >= 0.712,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,ignore
FALCPAT_7619,LODHA,3,8.291,5-10%,24.873,14.360433245553562,hit_10pc_20d,breakout,79.67445742904842,30.24927834188964,49.42517908715877,PROMOTED,5-day return <= 3.643 AND close position in weekly range >= 0.5098 AND weekly range % >= 14.1572,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness|weekly_strength,ignore
FALCPAT_7603,ERIS,3,8.185,5-10%,24.555,14.176835859951261,hit_15pc_20d,breakout,34.97835497835498,15.52565995111252,19.452695027242463,PROMOTED,5-day return >= 11.7516 AND close position in weekly range >= 0.5365 AND weekly range % >= 14.9824,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_7807,NIACL,3,8.073,5-10%,24.219,13.982846169503546,hit_25pc_30d,breakout,14.818652849740932,7.722364089468664,7.096288760272268,PROMOTED,60-day return <= 60.2461 AND 20-week breakout flag >= 0.5 AND distance from 20-week SMA >= 21.4514,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",recent_weakness,ignore
FALCPAT_9300,PARADEEP,3,7.924,5-10%,23.772000000000002,13.724770599175784,hit_10pc_20d,capitulation,53.215674543822914,35.380587245184216,17.835087298638697,PROMOTED,volatility (20d ATR%) >= 2.7959 AND distance from year-high <= -23.5637 AND close position in weekly range >= 0.6562 AND weekly range % <= 9.9519,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|compression|weekly_strength,ignore
FALCPAT_8951,CONCORDBIO,3,7.778,5-10%,23.334,13.471891181270726,hit_15pc_20d,other,47.99357945425361,19.56237142322798,28.43120803102564,PROMOTED,volatility (20d ATR%) >= 3.9374 AND distance from 20-day high <= -14.2373 AND 60d relative strength vs sector <= -15.4462 AND close position in weekly range >= 0.1754,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength|relative_strength,ignore
FALCPAT_6329,GODREJIND,3,7.655,5-10%,22.965,13.258848931939756,hit_25pc_30d,breakout,18.579651261215503,10.722915258072424,7.856736003143084,PROMOTED,distance from 200-DMA <= -9.4385 AND days with sub-75% volume in last 7 >= 2.5 AND close position in weekly range >= 0.4553 AND weekly range % >= 5.3895,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8171,GODREJIND,3,7.655,5-10%,22.965,13.258848931939756,hit_40pc_40d,breakout,9.217691592508965,2.9651372889629943,6.2525543035459705,PROMOTED,volatility (20d ATR%) >= 3.3699 AND slope of 50-DMA <= -1.3271 AND close position in weekly range >= 0.5672 AND distance from 20-week SMA <= -0.524,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,ignore
FALCPAT_8746,GODREJIND,3,7.655,5-10%,22.965,13.258848931939756,hit_25pc_30d,capitulation,24.63054187192118,10.408532325017468,14.222009546903712,PROMOTED,volatility (20d ATR%) >= 4.0285 AND distance from year-high <= -34.3354 AND days with sub-75% volume in last 20 >= 15.5 AND close position in weekly range >= 0.5475,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion|weekly_strength,ignore
FALCPAT_8378,PGEL,4,7.636,5-10%,30.544,15.272,hit_40pc_40d,capitulation,8.674863387978142,2.9651372889629943,5.709726099015147,PROMOTED,distance from 10-day high <= -18.52 AND distance from 120-day high <= -15.2508 AND distance from 20-week SMA <= -6.9757,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high,ignore
FALCPAT_7430,FACT,4,7.539,5-10%,30.156,15.078,hit_25pc_30d,breakout,23.0642277540916,9.458155042142677,13.60607271194892,PROMOTED,volatility (20d ATR%) >= 2.5484 AND 60d relative strength vs sector <= 22.4458 AND close position in weekly range >= 0.8325 AND distance from 20-week SMA >= 12.5461,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|relative_strength,ignore
