pattern,symbol,n,avg_d1,bucket,edge_score,stability_score,target,regime,hit_pct,base_pct,real_lift_pp,status,rule,mandate,rule_family,screener_tier
FALCPAT_6868,TARIL,109,1.19,1-2%,129.71,12.423964745603556,hit_40pc_40d,other,18.65715983363042,4.0653742907808095,14.59178554284961,PROMOTED,volatility (20d ATR%) >= 2.6793 AND distance from 200-DMA >= 73.6638 AND 60-day return <= 78.2525,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|recent_weakness,B_broad_edge
FALCPAT_7784,COCHINSHIP,76,1.634,1-2%,124.184,14.244881747490922,hit_10pc_20d,breakout,49.18152720621856,30.24927834188964,18.932248864328923,PROMOTED,volatility (20d ATR%) >= 2.7538 AND days with sub-75% volume in last 20 <= 12.5 AND close position in weekly range >= 0.6908 AND distance from 20-week SMA >= 3.0555,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_7447,TARIL,100,1.132,1-2%,113.19999999999999,11.319999999999999,hit_25pc_30d,other,18.091250360958703,9.458155042142677,8.633095318816029,PROMOTED,volatility (20d ATR%) >= 3.2758 AND days with sub-75% volume in last 20 >= 11.5 AND 60-day return >= 4.3863 AND close position in weekly range >= 0.3227,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_6245,BDL,97,1.039,1-2%,100.78299999999999,10.232963256066151,hit_15pc_20d,breakout,40.17697967650968,18.31582194494749,21.861157731562187,PROMOTED,days with sub-3% range in last 7 <= 2.5 AND close position in weekly range >= 0.7117,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",compression|weekly_strength,B_broad_edge
FALCPAT_6962,COCHINSHIP,81,1.233,1-2%,99.873,11.097000000000001,hit_15pc_20d,breakout,32.77351683996726,17.450644806122114,15.322872033845144,PROMOTED,volatility (20d ATR%) >= 2.4406 AND close position in weekly range >= 0.7215 AND distance from 20-week SMA >= 0.1216 AND weekly range % >= 5.1763,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_6932,COCHINSHIP,81,1.233,1-2%,99.873,11.097000000000001,hit_10pc_20d,breakout,53.3959795408588,32.698883353500555,20.697096187358248,PROMOTED,volatility (20d ATR%) >= 2.4392 AND close position in weekly range >= 0.7182 AND distance from 20-week SMA >= 0.1216 AND weekly range % >= 5.1511,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_9366,RVNL,67,1.484,1-2%,99.428,12.147063513458717,hit_15pc_20d,other,24.19286769360625,19.56237142322798,4.630496270378267,PROMOTED,volatility (20d ATR%) <= 4.3375 AND close position in weekly range >= 0.0701 AND weekly range % >= 8.43,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_9016,VIJAYA,25,3.969,2-5%,99.225,19.845,hit_25pc_30d,capitulation,18.423409973126308,10.408532325017468,8.014877648108838,PROMOTED,volatility (20d ATR%) >= 2.9391 AND distance from 120-day high <= -23.6189 AND distance from 200-DMA >= -37.0609 AND distance from 20-week SMA <= -10.6066,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,A_high_edge
FALCPAT_6721,BDL,98,1.011,1-2%,99.07799999999999,10.008389380914393,hit_15pc_20d,breakout,35.587770758122744,17.450644806122114,18.13712595200063,PROMOTED,volatility (20d ATR%) >= 3.0418 AND 5-day avg volume vs 20-day <= 1.5849 AND close position in weekly range >= 0.6892 AND weekly range % >= 5.6823,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,B_broad_edge
FALCPAT_7514,VIJAYA,67,1.452,1-2%,97.28399999999999,11.885132224758797,hit_15pc_20d,capitulation,32.985991304947895,17.450644806122114,15.535346498825785,PROMOTED,volatility (20d ATR%) >= 3.6302 AND distance from year-high <= -24.7275 AND slope of 50-DMA <= -0.072 AND distance from 20-week SMA <= 13.8145,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long.",pullback_from_high|volatility_expansion,B_broad_edge
FALCPAT_8581,SOBHA,76,1.271,1-2%,96.59599999999999,11.080321114480393,hit_10pc_20d,other,50.5745608241976,30.24927834188964,20.32528248230796,PROMOTED,volatility (20d ATR%) >= 4.2758 AND close position in weekly range <= 0.6707 AND close position in weekly range >= 0.3549,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength|weekly_weak_close,B_broad_edge
FALCPAT_6151,COCHINSHIP,42,2.296,2-5%,96.43199999999999,14.879780643544446,hit_10pc_20d,breakout,52.23380726698262,34.00746195228712,18.226345314695507,PROMOTED,volatility (20d ATR%) >= 2.3809 AND distance from year-high >= -5.3701 AND close position in weekly range >= 0.7418 AND weekly range % >= 4.478,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge
FALCPAT_9044,RVNL,46,2.075,2-5%,95.45,14.073334714984933,hit_10pc_20d,momentum,37.73548261798408,35.380587245184216,2.354895372799859,PROMOTED,volatility (20d ATR%) <= 4.0628 AND 5-day return >= 2.8185 AND close position in weekly range >= 0.4183 AND weekly range % >= 6.2674,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long.",volatility_expansion|weekly_strength,A_high_edge
