pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family
FALCPAT_8890,147,2001,1.4376054421768707,1.262,4.224,0.509,1.2769170414792603,unclassified
FALCPAT_7780,139,1719,1.2546546762589927,1.019,5.509,0.502,1.0988400232693427,unclassified
FALCPAT_8619,131,1091,1.545229007633588,1.243,6.166,0.51,1.4815371219065077,unclassified
FALCPAT_6145,130,2729,1.0259384615384617,0.9365,2.96,0.504,0.9295009160864787,unclassified
FALCPAT_8079,126,1807,1.1569603174603174,0.9005000000000001,4.441,0.512,0.99368345323741,unclassified
FALCPAT_7801,126,2224,1.1059126984126983,0.855,4.289,0.501,0.9493367805755397,unclassified
FALCPAT_6646,123,1372,1.1562439024390243,0.894,6.05,0.505,1.0159919825072885,unclassified
FALCPAT_7466,123,1818,1.0538130081300814,0.876,2.709,0.501,0.9636452145214521,unclassified
FALCPAT_6174,123,3623,0.9636910569105691,0.832,4.874,0.502,0.8455956389732266,unclassified
FALCPAT_9505,122,1418,1.3112950819672131,1.061,4.538,0.505,1.0874485190409027,unclassified
FALCPAT_8397,122,1635,1.233032786885246,0.89,7.21,0.507,1.012092354740061,unclassified
FALCPAT_8455,121,1147,1.305595041322314,1.023,4.694,0.502,1.1166285963382738,unclassified
FALCPAT_6166,121,2768,1.0747190082644629,0.826,5.054,0.503,0.9188316473988438,unclassified
FALCPAT_8065,120,1045,1.4944416666666667,1.2405,7.068,0.505,1.3296220095693778,unclassified
FALCPAT_8178,120,2916,1.0202666666666667,0.8965000000000001,2.897,0.501,0.9181498628257887,unclassified
FALCPAT_6477,119,1700,1.114857142857143,0.952,3.887,0.504,1.0812782352941177,unclassified
FALCPAT_8101,119,1384,1.133655462184874,0.997,4.289,0.502,0.9929841040462429,unclassified
FALCPAT_7618,119,1280,1.0944621848739498,0.945,3.596,0.511,0.9926179687500003,unclassified
FALCPAT_9522,119,1826,1.1626806722689076,0.925,4.943,0.508,0.9705728368017525,unclassified
FALCPAT_7753,118,1280,1.1248728813559323,0.979,3.704,0.507,1.0360554687500003,unclassified
FALCPAT_8486,118,2165,0.986228813559322,0.8205,2.727,0.501,0.8790138568129329,unclassified
FALCPAT_6674,117,866,1.3871282051282052,1.081,8.291,0.502,1.1696016166281755,unclassified
FALCPAT_8068,117,1346,1.1421452991452992,1.003,3.736,0.51,1.0493959881129273,unclassified
FALCPAT_7184,117,1523,1.0528803418803419,0.88,2.57,0.503,0.9986598818122128,unclassified
FALCPAT_7740,116,1173,1.088508620689655,0.9595,3.52,0.51,1.0275549872122762,unclassified
FALCPAT_6288,116,1785,1.1184310344827586,0.9265000000000001,3.584,0.501,0.9162448179271709,unclassified
FALCPAT_9530,115,1458,1.2509304347826087,1.029,4.566,0.503,1.0818964334705075,unclassified
FALCPAT_8571,115,1489,1.2049826086956523,1.003,3.231,0.507,1.0373908663532572,unclassified
FALCPAT_6424,115,1470,1.1813826086956523,0.937,7.251,0.501,1.0016197278911567,unclassified
FALCPAT_8347,113,780,1.8182477876106193,1.626,6.604,0.501,1.6143076923076924,unclassified
FALCPAT_7021,113,1521,1.208132743362832,0.999,5.402,0.502,1.0200092044707432,unclassified
FALCPAT_9111,113,1651,1.1131681415929204,0.86,4.892,0.507,0.9823137492428831,unclassified
FALCPAT_8449,112,793,1.2926071428571428,1.0645,3.817,0.506,1.2134892812105926,unclassified
FALCPAT_6329,112,1480,1.1539553571428571,0.9265000000000001,7.655,0.508,0.9677006756756757,unclassified
FALCPAT_8952,112,2108,1.0338660714285715,0.928,4.777,0.501,0.9023092979127133,unclassified
FALCPAT_7976,112,2013,1.023232142857143,0.8075,4.403,0.514,0.882039741679086,unclassified
FALCPAT_9569,110,1472,1.1308454545454545,0.9435,7.251,0.503,1.0178396739130435,unclassified
FALCPAT_6467,110,1270,1.1280818181818182,0.918,4.445,0.502,1.0145440944881892,unclassified
FALCPAT_8645,108,987,1.2522407407407405,1.0765,4.65,0.504,1.166838905775076,unclassified
FALCPAT_7631,108,1261,1.2607962962962962,1.0194999999999999,5.333,0.505,1.09353766851705,unclassified
FALCPAT_6439,108,1023,1.1565092592592594,0.876,3.634,0.513,1.0723049853372433,unclassified
FALCPAT_7209,108,1733,0.99575,0.807,3.317,0.502,0.9045054818234276,unclassified
FALCPAT_6996,107,1224,1.2778878504672897,1.085,3.205,0.508,1.1883578431372548,unclassified
FALCPAT_9547,107,825,1.1777383177570093,0.945,3.395,0.523,1.1071854545454547,unclassified
FALCPAT_6865,106,1153,1.2355188679245284,1.0735000000000001,4.892,0.509,1.0715915004336514,unclassified
FALCPAT_7972,106,1368,1.0753018867924529,0.9185000000000001,3.737,0.516,0.9367587719298246,unclassified
FALCPAT_9545,106,2079,0.9762169811320754,0.875,3.455,0.503,0.8422982202982202,unclassified
FALCPAT_7764,105,990,1.5010095238095238,1.186,5.604,0.505,1.2653808080808082,unclassified
FALCPAT_9266,104,1068,1.5099615384615386,1.1564999999999999,4.265,0.506,1.2161001872659176,unclassified
FALCPAT_8546,104,1081,1.3435096153846153,1.0835,4.209,0.507,1.124853839037928,unclassified
FALCPAT_8171,104,1953,1.0570576923076922,0.876,7.655,0.507,0.8731607782898105,unclassified
FALCPAT_9185,103,921,1.3791067961165049,1.2,4.876,0.501,1.2067513572204127,unclassified
FALCPAT_6251,103,1349,1.331378640776699,1.021,5.399,0.504,1.0740896960711641,unclassified
FALCPAT_6675,103,880,1.136757281553398,0.882,4.82,0.514,1.0322613636363636,unclassified
FALCPAT_8373,103,1613,1.1186504854368933,0.923,3.566,0.508,0.9971587104773711,unclassified
