pattern,n_symbols,total_n,avg_d1_mean,avg_d1_median,max_pair_avg_d1,min_pair_avg_d1,avg_d1_weighted,family,agent_id,pattern_id,target,regime,mined_year,oos_fires,hit_pct,base_pct,real_lift_pp,clean26_lift,bear_lift,avg_ret,cagr5L,status,rule,mandate
FALCPAT_8890,147,2001,1.4376054421768707,1.262,4.224,0.509,1.2769170414792603,unclassified,FALCPAT_8890,8890.0,hit_40pc_40d,other,2025.0,672.0,7.41444866920152,4.088422971741112,3.326025697460408,3.326025697460408,3.624549183789712,1.5246645575678628,-15.545796656201016,PROMOTED,distance from 200-DMA >= -27.8495 AND daily range % >= 9.3513,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_7780,139,1719,1.2546546762589927,1.019,5.509,0.502,1.0988400232693427,unclassified,FALCPAT_7780,7780.0,hit_10pc_20d,mean_reversion,2024.0,3338.0,55.34799638445315,30.24927834188964,25.098718042563505,20.1151024099882,24.67679185044477,2.87230415754028,-2.8868786115803013,PROMOTED,days with sub-2.5% range in last 7 <= 0.5 AND 5-day return <= -6.6651 AND distance from 20-week SMA <= 3.0555,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_8619,131,1091,1.545229007633588,1.243,6.166,0.51,1.4815371219065077,unclassified,FALCPAT_8619,8619.0,hit_25pc_30d,mean_reversion,2024.0,2043.0,12.61845386533666,7.722364089468664,4.896089775867996,4.386476587638503,7.318546677853694,-0.3013418612288226,-21.18858095370999,PROMOTED,volatility (20d ATR%) >= 3.5234 AND 5-day return <= -6.8433 AND close position in weekly range <= 0.3476 AND weekly range % >= 12.8291,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_6145,130,2729,1.0259384615384617,0.9365,2.96,0.504,0.9295009160864788,unclassified,FALCPAT_6145,6145.0,hit_10pc_20d,other,2022.0,14789.0,43.25451066156369,34.00746195228712,9.247048709276578,9.872275350235633,14.766987787516522,1.4567890753253927,-3.303705219974296,PROMOTED,volatility (20d ATR%) >= 2.3809 AND distance from 10-day high <= -10.5981 AND 60-day return <= -5.3808 AND close position in weekly range <= 0.7418,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_8079,126,1807,1.1569603174603174,0.9005000000000001,4.441,0.512,0.99368345323741,unclassified,FALCPAT_8079,8079.0,hit_15pc_20d,other,2024.0,8022.0,32.34323432343234,15.52565995111252,16.81757437231982,20.578699432815625,17.483952647913913,2.5625056614493213,-15.722515919301204,PROMOTED,volatility (20d ATR%) >= 3.2695 AND 20-day return <= -13.6233 AND 5-day avg volume vs 20-day >= 0.6358 AND distance from 20-week SMA <= 3.4062,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_7801,126,2224,1.1059126984126983,0.855,4.289,0.501,0.9493367805755396,unclassified,FALCPAT_7801,7801.0,hit_25pc_30d,mean_reversion,2024.0,11640.0,16.007466003021953,7.722364089468664,8.285101913553289,8.786184334547935,9.318563063014349,3.4982166308979283,-15.302740420440252,PROMOTED,distance from 20-DMA <= -7.2311 AND distance from 200-DMA <= 3.487 AND distance from 20-week SMA <= 3.0555,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_6646,123,1372,1.1562439024390243,0.894,6.05,0.505,1.0159919825072885,unclassified,FALCPAT_6646,6646.0,hit_10pc_20d,breakout,2022.0,7205.0,58.87578070784178,34.00746195228712,24.868318755554657,33.7220457478303,26.62171557562611,4.426459107432597,-11.018973828539046,PROMOTED,volatility (20d ATR%) >= 2.6723 AND 60-day return <= -11.5307 AND 60d relative strength vs sector >= -13.9058 AND close position in weekly range >= 0.7086,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_7466,123,1818,1.0538130081300814,0.876,2.709,0.501,0.963645214521452,unclassified,FALCPAT_7466,7466.0,hit_15pc_20d,breakout,2023.0,8012.0,23.802300594109468,17.450644806122114,6.351655787987354,16.531378576772024,5.997721597557767,3.0372903477612407,12.861307804482024,PROMOTED,distance from 10-day high <= -5.5767 AND close position in weekly range >= 0.5947 AND distance from 20-week SMA <= -3.5206 AND weekly range % <= 10.0582,"Buy when rule fires; win if +15% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_6174,123,3623,0.9636910569105692,0.832,4.874,0.502,0.8455956389732266,unclassified,FALCPAT_6174,6174.0,hit_25pc_30d,other,2022.0,17389.0,19.16382453251793,10.722915258072424,8.44090927444551,11.883826478969244,9.58400075230652,3.514211818416133,-25.52235369246156,PROMOTED,distance from 10-day high <= -10.804 AND days with sub-3% range in last 7 <= 2.5 AND close position in weekly range <= 0.7438,"Buy when rule fires; win if +25% within 30d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_9505,122,1418,1.3112950819672131,1.061,4.538,0.505,1.087448519040903,unclassified,FALCPAT_9505,9505.0,hit_10pc_20d,capitulation,2025.0,2615.0,54.83998419596997,35.380587245184216,19.45939695078576,19.45939695078576,22.154187220746728,3.3262221303870945,8.627249635436328,PROMOTED,distance from 120-day high <= -24.3888 AND 60-day return <= -18.2025 AND RSI(14) <= 30.1137,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_8397,122,1635,1.233032786885246,0.89,7.21,0.507,1.012092354740061,unclassified,FALCPAT_8397,8397.0,hit_40pc_40d,other,2024.0,6190.0,8.104845663045353,2.9651372889629943,5.139708374082358,6.300495515206143,5.903661540123148,6.125128835357545,61.02077095797023,PROMOTED,distance from 20-day high <= -17.3947 AND distance from year-high <= -10.8368 AND distance from 200-DMA <= 30.4299 AND close position in weekly range >= 0.1992,"Buy when rule fires; win if +40% within 40d, else exit at horizon. Rs5L account, direction=long."
FALCPAT_8455,121,1147,1.305595041322314,1.023,4.694,0.502,1.1166285963382738,unclassified,FALCPAT_8455,8455.0,hit_10pc_20d,breakout,2024.0,3575.0,68.57869454648205,30.24927834188964,38.32941620459241,43.359570235130754,36.52222050370482,5.307064609043091,20.63134349758373,PROMOTED,volatility (20d ATR%) >= 3.5945 AND distance from 60-day high <= -22.0998 AND slope of 20-DMA <= -1.3013 AND close position in weekly range >= 0.7018,"Buy when rule fires; win if +10% within 20d, else exit at horizon. Rs5L account, direction=long."
