pattern,n_consistent,stocks,calc_n_consistent,pair_rows,total_occurrences,weighted_avg_d1,_merge,n_diff
FALCPAT_6145,130,"BEL, AFFLE, MARUTI, CAPLIPOINT, INDHOTEL, LTFOODS, MANKIND, 360ONE, NH, KARURVYSYA, APLAPOLLO, POLICYBZR, ZENSARTECH, INDIANB, LICI, GRAVITA, ABSLAMC, JUBLPHARMA, PPLPHARMA, CEMPRO, CGPOWER, ATUL, NUVAMA, JBCHEPHARM, VIJAYA, CHAMBLFERT, KFINTECH, LAURUSLABS, COHANCE, SBILIFE, IDBI, AJANTPHARM, ERIS, TATAINVEST, ACUTAAS, SARDAEN, GMRAIRPORT, GRANULES, TATACOMM, HINDZINC",130,130,2729,0.9295009160864787,both,0
FALCPAT_6150,20,"ERIS, LODHA, ITI, BSE, HDFCBANK, ANURAS, GODREJIND, HINDUNILVR, BANKINDIA, BLUEJET, PFIZER, PARADEEP, DOMS, LLOYDSME, GRASIM, ELECON, CDSL, GLAXO, BDL, POLICYBZR",20,20,1006,0.6870019880715706,both,0
FALCPAT_6151,48,"UCOBANK, IOB, NIACL, HINDZINC, COCHINSHIP, MMTC, MRPL, GRSE, HONAUT, LINDEINDIA, ADANIGREEN, ABB, CONCORDBIO, BDL, AIIL, CENTRALBK, BAJAJHLDNG, MAZDOCK, ITI, TATAINVEST, GMDCLTD, FLUOROCHEM, BHARTIHEXA, KFINTECH, SBICARD, HUDCO, RELIANCE, MARICO, GICRE, RVNL, DATAPATTNS, ITC, CIPLA, WOCKPHARMA, GMRAIRPORT, JBMA, KALYANKJIL, OFSS, BOSCHLTD, TATACHEM",48,48,993,1.015865055387714,both,0
FALCPAT_6166,121,"RADICO, COHANCE, JBCHEPHARM, UBL, SHYAMMETL, ACUTAAS, PNB, LLOYDSME, FSL, AFFLE, SUNDARMFIN, POLICYBZR, DCMSHRIRAM, PETRONET, CHAMBLFERT, CGPOWER, GLAXO, LTFOODS, FLUOROCHEM, PHOENIXLTD, PPLPHARMA, NLCINDIA, ZOMATO, GPIL, CAPLIPOINT, MFSL, POONAWALLA, BPCL, NUVAMA, 360ONE, NATIONALUM, ABSLAMC, SARDAEN, AJANTPHARM, CEMPRO, APLAPOLLO, JSWSTEEL, PGEL, SJVN, SRF",121,121,2768,0.9188316473988438,both,0
FALCPAT_6170,28,"COHANCE, SOBHA, GMDCLTD, EICHERMOT, ANURAS, MRF, PARADEEP, ABCAPITAL, DEEPAKFERT, POLICYBZR, POWERGRID, IFCI, NMDC, RBLBANK, AUROPHARMA, MAPMYINDIA, GALLANTT, BLUESTARCO, CUMMINSIND, INDIANB, AMBUJACEM, TMPV, ZYDUSWELL, POLYMED, TRENT, TARIL, ADANIENT, LEMONTREE",28,28,696,0.7139698275862069,both,0
FALCPAT_6174,123,"ATUL, APLAPOLLO, ABSLAMC, JUBLPHARMA, DOMS, JBCHEPHARM, REDINGTON, CUMMINSIND, IPCALAB, UPL, LTFOODS, KARURVYSYA, LAURUSLABS, GLAXO, UBL, NH, FORCEMOT, LICHSGFIN, COHANCE, SJVN, NUVAMA, CONCOR, ACUTAAS, NATIONALUM, IRCTC, HUDCO, FORTIS, DLF, AJANTPHARM, CROMPTON, AUBANK, AFFLE, BAJAJHLDNG, PERSISTENT, NUVOCO, CHAMBLFERT, SARDAEN, MANKIND, MAHABANK, SUMICHEM",123,123,3623,0.8455956389732266,both,0
FALCPAT_6197,82,"PPLPHARMA, APLAPOLLO, MAZDOCK, KIMS, GODFRYPHLP, AJANTPHARM, GABRIEL, PARADEEP, AEGISLOG, ZOMATO, JKCEMENT, RAINBOW, NHPC, POLICYBZR, HONASA, VIJAYA, SAREGAMA, NAVA, ANURAS, ETERNAL, PNBHOUSING, COHANCE, ERIS, IGL, CHAMBLFERT, PHOENIXLTD, BHARTIARTL, 3MINDIA, SARDAEN, CREDITACC, SRF, SHYAMMETL, LEMONTREE, DCMSHRIRAM, DOMS, CONCOR, KPITTECH, NLCINDIA, SBFC, CHOLAHLDNG",82,82,1218,0.8772241379310344,both,0
FALCPAT_6199,75,"WOCKPHARMA, POWERINDIA, RITES, GODREJIND, RVNL, SYRMA, TTML, SHYAMMETL, APARINDS, FORCEMOT, NEULANDLAB, KIRLOSENG, PAYTM, DEVYANI, GRSE, ASTERDM, BEL, VEDL, POLICYBZR, FIVESTAR, TATAINVEST, ECLERX, SWANCORP, MMTC, JINDALSTEL, ITI, JWL, LTM, GVT&D, SHRIRAMFIN, CREDITACC, GPIL, BDL, AMBER, FINCABLES, SUNDARMFIN, JSWINFRA, IIFL, NATCOPHARM, NBCC",75,75,775,1.0175303225806451,both,0
FALCPAT_6201,35,"HONAUT, ANURAS, SIEMENS, TATAPOWER, HINDALCO, MMTC, NAUKRI, JUBLFOOD, KAJARIACER, ACC, MPHASIS, LICHSGFIN, CUMMINSIND, VOLTAS, PETRONET, RAILTEL, BSE, NAVINFLUOR, INDUSTOWER, BIOCON, ANANTRAJ, MUTHOOTFIN, GRANULES, SOBHA, TATACHEM, ELECON, MGL, SUNDARMFIN, SUMICHEM, AARTIIND, NUVAMA, EIDPARRY, ERIS, CDSL, LAURUSLABS",35,35,884,0.7010542986425339,both,0
FALCPAT_6205,71,"GLAXO, APLAPOLLO, GODREJIND, SBILIFE, DOMS, INDHOTEL, BEL, SYNGENE, ANURAS, LICI, CIPLA, NLCINDIA, JSWINFRA, POONAWALLA, KFINTECH, FIVESTAR, VEDL, FACT, PRESTIGE, PARADEEP, IPCALAB, WOCKPHARMA, ERIS, LODHA, UPL, BDL, RITES, CLEAN, AEGISLOG, SUNDARMFIN, TATACONSUM, BSE, ELECON, KIMS, GVT&D, ITI, CCL, PATANJALI, MAXHEALTH, SJVN",71,71,2253,0.7278007101642253,both,0
