rule_family,patterns,total_pairs,total_n,weighted_avg
high_volatility|weekly_close_strength,156,8158,140809,0.9602476010862736
high_volatility,79,3625,64152,0.9277623390819322
below_prior_high_pullback|high_volatility,44,2620,47348,0.9859259788342194
high_volatility|relative_strength,67,2501,49316,0.8344489901198698
other_or_unknown,57,2374,29607,0.9703895445938034
high_volatility|negative_momentum|weekly_close_strength,28,2224,27788,1.0212450933531956
high_volatility|weekly_close_strength|relative_strength,47,2073,43795,0.8311283341977697
below_prior_high_pullback|high_volatility|weekly_close_strength,26,1530,22252,1.0248954157651093
below_prior_high_pullback|high_volatility|relative_strength,21,1399,25157,0.9355644637094931
below_prior_high_pullback,27,1398,22634,1.0211591423904343
high_volatility|weekly_low_position,23,1328,21369,1.0291100238276243
high_volatility|compression|weekly_close_strength,29,1228,27085,0.7735557411674304
below_prior_high_pullback|high_volatility|weekly_low_position,15,892,16501,0.9367692656320258
high_volatility|weekly_close_strength|weekly_low_position,11,885,11846,0.9247588060227337
below_prior_high_pullback|high_volatility|compression|weekly_close_strength,10,731,14968,0.8253294525639016
high_volatility|negative_momentum,12,665,11681,0.8763997939837584
below_prior_high_pullback|high_volatility|weekly_close_strength|relative_strength,8,655,9975,0.9834979539041292
below_prior_high_pullback|high_volatility|negative_momentum|weekly_low_position,6,547,7869,1.0272822211926524
high_volatility|compression|negative_momentum|weekly_close_strength,5,503,6263,1.0179572622458641
high_volatility|weekly_low_position|relative_strength,11,493,10159,0.8379241168844427
compression|weekly_close_strength,9,468,9019,0.8712080595209775
high_volatility|negative_momentum|relative_strength,7,454,7639,0.9118156294206626
below_prior_high_pullback|relative_strength,7,447,7645,0.9478306223102339
high_volatility|negative_momentum|weekly_close_strength|relative_strength,5,440,4928,0.9493097365013992
below_prior_high_pullback|high_volatility|negative_momentum,8,429,6565,1.057984959311668
below_prior_high_pullback|compression|relative_strength,6,419,7720,0.9434912879522961
weekly_close_strength|relative_strength,10,386,7221,0.8478319902556084
weekly_close_strength,12,363,9244,0.826750439006743
oversold_mean_reversion|below_prior_high_pullback|high_volatility,3,346,5840,1.062595313752387
below_prior_high_pullback|compression|weekly_close_strength,6,333,6378,0.977140601559387
oversold_mean_reversion|below_prior_high_pullback|negative_momentum,3,326,4913,0.9700424691235053
high_volatility|compression|relative_strength,8,300,6566,0.8557723974257092
high_volatility|compression,10,280,6021,0.7586364074297955
negative_momentum,4,264,4449,0.9328186317953373
below_prior_high_pullback|weekly_close_strength,4,258,3339,1.093694074820594
high_volatility|negative_momentum|weekly_low_position|relative_strength,3,254,3721,0.9796127103958773
compression,3,247,5320,0.8399609445644417
below_prior_high_pullback|high_volatility|weekly_low_position|relative_strength,4,224,4815,0.8415798741026053
high_volatility|negative_momentum|weekly_low_position,2,214,2272,1.2623456142978768
oversold_mean_reversion|below_prior_high_pullback|high_volatility|weekly_low_position,2,208,1872,1.3078557448088728
oversold_mean_reversion|below_prior_high_pullback,3,208,4012,0.7833747938937101
high_volatility|compression|weekly_close_strength|relative_strength,4,202,3716,0.8473727140979712
high_volatility|compression|weekly_low_position,3,198,4350,0.8321500837435772
below_prior_high_pullback|negative_momentum|relative_strength,3,198,4688,0.835225365628991
oversold_mean_reversion|high_volatility|weekly_low_position,2,194,1213,1.5718847930360633
relative_strength,5,191,3914,0.7706067424791598
below_prior_high_pullback|weekly_close_strength|relative_strength,3,183,2056,0.9257418714185116
oversold_mean_reversion|high_volatility,3,181,2713,1.043859075206231
compression|weekly_close_strength|weekly_low_position,3,175,2961,0.8765400594021697
weekly_low_position,2,158,2349,0.944918779624849
compression|negative_momentum,2,142,1801,0.9738834262688176
oversold_mean_reversion|high_volatility|weekly_close_strength,3,129,2235,1.043956378210533
below_prior_high_pullback|compression|weekly_low_position,1,123,3623,0.8455956389732266
compression|relative_strength,3,112,2449,0.7934975363130152
below_prior_high_pullback|high_volatility|negative_momentum|weekly_close_strength,1,102,1647,0.8988129933211899
oversold_mean_reversion|high_volatility|negative_momentum|relative_strength,1,102,668,1.1497619760479043
oversold_mean_reversion|compression|weekly_close_strength,2,93,2860,0.7535342493696899
negative_momentum|relative_strength,1,85,1599,0.9632363977485928
oversold_mean_reversion|compression|negative_momentum,1,82,447,1.5402774049217005
below_prior_high_pullback|high_volatility|weekly_close_strength|weekly_low_position,1,81,1203,0.954640897755611
below_prior_high_pullback|weekly_low_position|relative_strength,2,75,1332,0.8153047439916403
oversold_mean_reversion|below_prior_high_pullback|relative_strength,1,68,1359,0.8636188373804269
below_prior_high_pullback|high_volatility|compression,2,64,991,0.9686496075550487
weekly_close_strength|weekly_low_position,1,60,933,0.8561425509110397
below_prior_high_pullback|high_volatility|compression|weekly_low_position,1,57,1851,0.7722787682333874
compression|weekly_low_position,2,56,1663,0.8171892043142042
below_prior_high_pullback|high_volatility|compression|relative_strength,1,56,1343,0.7024951600893522
compression|weekly_close_strength|relative_strength,1,48,752,0.922502659574468
below_prior_high_pullback|weekly_low_position,1,45,1023,0.8126099706744869
high_volatility|compression|negative_momentum,1,42,1345,0.6947732342007436
oversold_mean_reversion|high_volatility|relative_strength,1,32,542,1.1151217712177124
below_prior_high_pullback|high_volatility|negative_momentum|relative_strength,1,28,303,1.071115511551155
high_volatility|weekly_close_strength|weekly_low_position|relative_strength,2,24,639,0.6835924119241192
weekly_low_position|relative_strength,1,21,320,0.8348687499999997
below_prior_high_pullback|compression,1,20,509,0.7191296660117876
