pattern,symbol,n,avg_d1,family,score_n_x_avg
FALCPAT_8065,MAZDOCK,6,7.068,unclassified,42.408
FALCPAT_9123,GODREJIND,5,6.772,unclassified,33.86
FALCPAT_9108,PPLPHARMA,6,6.576,unclassified,39.455999999999996
FALCPAT_9506,VIJAYA,10,6.533,unclassified,65.33
FALCPAT_8595,IOB,6,6.271,unclassified,37.626
FALCPAT_7992,ITI,7,6.253,unclassified,43.771
FALCPAT_7009,ITI,8,6.098,unclassified,48.784
FALCPAT_8349,ERIS,5,6.083,unclassified,30.415
FALCPAT_9581,RVNL,7,5.939,unclassified,41.573
FALCPAT_8766,UCOBANK,5,5.838,unclassified,29.19
FALCPAT_9582,CRAFTSMAN,6,5.793,unclassified,34.758
FALCPAT_7820,POONAWALLA,6,5.783,unclassified,34.698
FALCPAT_8397,PPLPHARMA,6,5.757,unclassified,34.542
FALCPAT_8545,NCC,5,5.735,unclassified,28.675
FALCPAT_7602,GODFRYPHLP,6,5.716,unclassified,34.296
FALCPAT_6458,VIJAYA,12,5.696,unclassified,68.352
FALCPAT_7351,NIACL,5,5.668,unclassified,28.34
FALCPAT_9529,GODREJIND,6,5.642,unclassified,33.852000000000004
FALCPAT_9210,TRITURBINE,6,5.564,unclassified,33.384
FALCPAT_9540,TTML,5,5.505,unclassified,27.525
FALCPAT_9109,AEGISLOG,5,5.493,unclassified,27.465000000000003
FALCPAT_9541,NUVAMA,6,5.44,unclassified,32.64
FALCPAT_7983,RITES,5,5.417,unclassified,27.085
FALCPAT_7021,PPLPHARMA,8,5.402,unclassified,43.216
FALCPAT_6251,VIJAYA,7,5.399,unclassified,37.793
FALCPAT_8326,MRPL,5,5.378,unclassified,26.89
FALCPAT_6223,NUVAMA,5,5.377,unclassified,26.884999999999998
FALCPAT_8348,NLCINDIA,5,5.373,unclassified,26.865000000000002
FALCPAT_7631,GODREJIND,7,5.333,unclassified,37.331
FALCPAT_8448,ADANIPORTS,5,5.318,unclassified,26.589999999999996
