symbol,n_patterns,total_n,avg_d1_mean,avg_d1_median,best_avg_d1,worst_avg_d1,avg_d1_weighted
KFINTECH,304,8321,1.198720394736842,0.997,4.795,0.504,0.9707729840163442
ANURAS,292,5435,1.2471472602739726,1.0030000000000001,4.728,0.502,0.9481920883164673
ITI,277,7896,1.4186137184115524,1.125,6.617,0.504,1.1233832320162107
BSE,270,11668,1.0266925925925925,0.7925,5.003,0.503,0.7605399382927664
INDIACEM,268,5813,0.9969328358208955,0.8765000000000001,3.505,0.502,0.8646210218475829
JUBLPHARMA,264,7749,1.319056818181818,0.979,7.21,0.51,0.9350160020647826
BDL,261,9615,0.9982298850574713,0.836,5.01,0.501,0.7873869994799791
ERIS,254,6042,1.384011811023622,1.0385,8.185,0.505,1.014535749751738
RVNL,245,7355,1.2868897959183674,1.009,5.939,0.506,1.0045937457511898
GRAVITA,230,6359,1.1475478260869565,0.9544999999999999,4.413,0.503,0.9271371284793206
POONAWALLA,226,3538,1.6785973451327434,1.153,6.296,0.501,1.198889768230639
GPIL,225,4906,1.2457466666666668,0.97,5.442,0.501,0.911974928658785
LODHA,220,5640,1.6106818181818183,1.192,8.291,0.514,1.1107443262411347
GODREJIND,218,4179,1.854545871559633,1.1400000000000001,8.51,0.503,1.1668686288585788
GRSE,218,7946,1.14798623853211,0.8775,6.504,0.501,0.8776880191291216
ATUL,217,2483,1.259820276497696,1.074,5.338,0.501,1.0320547724526783
GRANULES,216,4888,1.0468703703703703,0.9005000000000001,3.085,0.506,0.8431090425531915
NLCINDIA,215,4623,1.2878093023255814,0.948,5.373,0.501,0.965219770711659
POLICYBZR,211,5316,1.1544454976303318,0.987,4.446,0.501,0.8915680963130171
JYOTICNC,207,2786,1.161671497584541,0.839,5.9,0.502,0.9149558506819814
BIKAJI,205,2756,1.4760536585365853,1.104,6.076,0.504,1.0834611756168357
TARIL,205,10204,1.0258146341463414,0.767,4.943,0.501,0.7598376127009016
CREDITACC,202,4689,1.1113613861386138,0.8140000000000001,4.641,0.507,0.8744438046491789
OLECTRA,200,4871,1.27341,0.93,11.583,0.506,0.939121125025662
DOMS,200,3830,1.156105,0.95,7.207,0.505,0.9187997389033943
HINDZINC,199,3108,1.3303718592964822,1.084,6.024,0.502,1.1118172458172455
KAYNES,199,4527,1.076246231155779,0.912,3.967,0.521,0.8952891539650983
GVT&D,197,7372,0.8969187817258883,0.796,2.643,0.501,0.7512137818773739
NAVA,186,4198,1.2770860215053763,0.9404999999999999,6.326,0.501,0.9316200571700809
INDUSINDBK,186,3234,0.9153655913978496,0.7635000000000001,2.851,0.501,0.8030958565244279
GODFRYPHLP,184,3654,1.4043641304347827,0.962,7.484,0.502,0.9765563765736179
RITES,184,3808,1.3461521739130435,0.933,5.897,0.505,0.9312190126050421
